Id	Price_1	Price_2	Price_3	Price_4	Price_5	Price_6
int	int	float	float	float	float	float
1	0	0.0	0.0	0.0	0.0	0.0
2	1	0.99	120.0	300.0	0.9	1.48
3	6	0.99	120.0	1500.0	3.9	1.48
4	12	1.99	250.0	3000.0	7.9	2.98
5	18	2.99	370.0	4400.0	12.9	4.48
6	25	3.99	490.0	5400.0	16.9	5.98
7	30	4.99	610.0	6000.0	19.9	6.98
8	40	5.99	730.0	7500.0	24.9	8.98
9	45	6.99	860.0	8800.0	29.9	9.98
10	50	7.99	980.0	9900.0	34.9	10.98
11	60	8.99	1100.0	12000.0	37.9	12.98
12	66	10.96	1350.0	14900.0	44.6	15.920000000000002
13	68	9.99	1220.0	14000.0	39.9	14.98
14	73	10.99	1340.0	15000.0	44.9	15.98
15	78	11.99	1480.0	16000.0	49.9	16.98
16	88	12.99	1600.0	17000.0	54.9	17.98
17	93	13.99	1720.0	18000.0	57.9	19.98
18	98	14.99	1840.0	19000.0	59.9	21.98
19	108	15.99	1960.0	20000.0	64.9	22.98
20	113	16.99	2080.0	21000.0	69.9	23.98
21	116	17.99	2200.0	22000.0	74.9	25.98
22	118	17.99	2200.0	22000.0	74.9	25.98
23	123	18.99	2320.0	23000.0	77.9	26.98
24	128	19.99	2440.0	25000.0	79.9	28.98
25	138	20.99	2580.0	26000.0	84.9	29.98
26	148	21.99	2700.0	27000.0	89.9	31.98
27	153	22.99	2820.0	29000.0	94.9	32.98
28	158	23.99	2940.0	30000.0	99.9	33.98
29	163	24.99	3060.0	31000.0	104.9	34.98
30	168	25.99	3180.0	32000.0	109.9	36.98
31	178	26.99	3300.0	33000.0	114.9	38.98
32	188	27.99	3420.0	35000.0	119.9	40.98
33	193	28.99	3540.0	36000.0	124.9	42.98
34	198	29.99	3680.0	37000.0	129.9	44.98
35	208	30.99	3800.0	39000.0	134.9	45.98
36	218	31.99	3920.0	40000.0	137.9	46.98
37	223	32.99	4040.0	41000.0	139.9	47.98
38	228	33.99	4160.0	42000.0	144.9	48.98
39	233	34.99	4280.0	43000.0	149.9	49.98
40	238	35.99	4400.0	44000.0	154.9	51.98
41	243	36.99	4520.0	45000.0	157.9	53.98
42	248	37.99	4640.0	47000.0	159.9	55.98
43	253	38.99	4780.0	48000.0	164.9	57.98
44	258	39.99	4900.0	49000.0	167.9	58.98
45	263	40.99	5020.0	50000.0	169.9	59.98
46	268	41.99	5140.0	52000.0	174.9	60.98
47	273	42.99	5260.0	54000.0	177.9	61.98
48	278	43.99	5380.0	55000.0	179.9	62.98
49	283	44.99	5500.0	56000.0	184.9	63.98
50	288	45.99	5620.0	58000.0	187.9	64.98
51	298	46.99	5740.0	59000.0	189.9	65.98
52	308	47.99	5860.0	60000.0	194.9	66.98
53	318	48.99	5980.0	63000.0	197.9	67.98
54	328	49.99	6100.0	65000.0	199.9	68.98
55	348	54.99	7000.0	70000.0	229.9	78.98
56	388	59.99	7500.0	79000.0	249.9	88.98
57	418	64.99	8000.0	88000.0	279.9	94.98
58	448	69.99	8500.0	99000.0	299.9	98.98
59	488	74.99	9000.0	109000.0	329.9	104.98
60	518	79.99	10000.0	111000.0	349.9	108.98
61	548	84.99	10500.0	113000.0	369.9	118.98
62	588	89.99	11000.0	115000.0	379.9	128.98
63	618	94.99	11500.0	117000.0	389.9	138.98
64	648	99.99	12000.0	119000.0	399.9	148.98
65	698	109.99	13000.0	139000.0	449.9	158.98
66	798	119.99	14000.0	149000.0	499.9	168.98
67	818	124.99	15000.0	169000.0	529.9	178.98
68	848	129.99	16000.0	179000.0	549.9	188.98
69	898	139.99	17000.0	189000.0	579.9	198.98
70	998	149.99	18000.0	199000.0	599.9	218.98
71	1048	159.99	19000.0	219000.0	649.9	228.98
72	1098	169.99	20000.0	229000.0	699.9	238.98
73	1148	174.99	21000.0	249000.0	729.9	248.98
74	1198	179.99	22000.0	259000.0	749.9	258.98
75	1248	189.99	23000.0	269000.0	779.9	268.98
76	1298	199.99	24000.0	279000.0	799.9	288.98
77	1398	209.99	25400.0	289000.0	849.9	298.98
78	1448	219.99	27400.0	299000.0	899.9	318.98
79	1498	229.99	28400.0	309000.0	949.9	328.98
80	1598	239.99	29400.0	349000.0	999.9	338.98
81	1648	249.99	30400.0	369000.0	1049.9	348.98
82	1998	299.99	36800.0	399000.0	1299.9	448.98
83	2298	349.99	43800.0	450000.0	1499.9	488.98
84	2598	399.99	49800.0	550000.0	1699.9	588.98
85	2998	449.99	55800.0	590000.0	1799.9	648.98
86	3298	499.99	59800.0	690000.0	1999.9	688.98
87	3998	599.99	74800.0	750000.0	2499.9	888.98
88	4498	699.99	89800.0	950000.0	2999.9	988.98
89	4998	799.99	99800.0	1090000.0	3499.9	1088.98
90	5898	899.99	109800.0	1190000.0	3799.9	1288.98
91	6498	999.99	119800.0	1390000.0	3999.9	1488.98
