Id	NextId	ItemId	Level	Step	UpgradeCost	ResetObtain	Attr
int	int	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	2	201001	1	1	6000100#2|14#50000	null	62#500|53#500
2	3	201001	2	1	6000100#2|14#50000	6000100#2|14#50000	62#20|53#20
3	4	201001	3	1	6000100#4|14#100000	6000100#4|14#100000	62#20|53#20
4	5	201001	4	1	6000100#4|14#100000	6000100#8|14#200000	62#20|53#20
5	6	201001	5	1	6000100#6|14#150000	6000100#12|14#300000	62#20|53#20
6	7	201001	6	1	6000100#6|14#150000	6000100#18|14#450000	62#20|53#20
7	8	201001	7	1	6000100#8|14#200000	6000100#24|14#600000	62#20|53#20
8	9	201001	8	1	6000100#8|14#200000	6000100#32|14#800000	62#20|53#20
9	10	201001	9	1	6000100#10|14#250000	6000100#40|14#1000000	62#20|53#20
10	11	201001	10	1	6000100#10|14#250000	6000100#50|14#1250000	62#20|53#20
11	12	201001	11	1	6000100#12|14#300000	6000100#60|14#1500000	62#20|53#20
12	13	201001	12	1	6000100#12|14#300000	6000100#72|14#1800000	62#20|53#20
13	14	201001	13	1	6000100#14|14#350000	6000100#84|14#2100000	62#20|53#20
14	15	201001	14	1	6000100#14|14#350000	6000100#98|14#2450000	62#20|53#20
15	16	201001	15	1	6000100#16|14#400000	6000100#112|14#2800000	62#20|53#20
16	17	201001	16	1	6000100#16|14#400000	6000100#128|14#3200000	62#20|53#20
17	18	201001	17	1	6000100#18|14#450000	6000100#144|14#3600000	62#20|53#20
18	19	201001	18	1	6000100#18|14#450000	6000100#162|14#4050000	62#20|53#20
19	20	201001	19	1	6000100#20|14#500000	6000100#180|14#4500000	62#20|53#20
20	21	201001	20	1	6000099#10|6000100#20	6000100#200|14#5000000	62#20|53#20
21	22	201001	20	2	6000100#22|14#550000	6000100#200|14#5000000|6000100#20	62#200|53#200
22	23	201001	21	2	6000100#22|14#550000	6000100#232|14#5550020|6000100#20	62#20|53#20
23	24	201001	22	2	6000100#24|14#600000	6000100#254|14#6100020|6000100#20	62#20|53#20
24	25	201001	23	2	6000100#24|14#600000	6000100#278|14#6700020|6000100#20	62#20|53#20
25	26	201001	24	2	6000100#26|14#650000	6000100#302|14#7300020|6000100#20	62#20|53#20
26	27	201001	25	2	6000100#26|14#650000	6000100#328|14#7950020|6000100#20	62#20|53#20
27	28	201001	26	2	6000100#28|14#700000	6000100#354|14#8600020|6000100#20	62#20|53#20
28	29	201001	27	2	6000100#28|14#700000	6000100#382|14#9300020|6000100#20	62#20|53#20
29	30	201001	28	2	6000100#30|14#750000	6000100#410|14#10000020|6000100#20	62#20|53#20
30	31	201001	29	2	6000100#30|14#750000	6000100#440|14#10750020|6000100#20	62#20|53#20
31	32	201001	30	2	6000100#32|14#800000	6000100#470|14#11500020|6000100#20	62#20|53#20
32	33	201001	31	2	6000100#32|14#800000	6000100#502|14#12300020|6000100#20	62#20|53#20
33	34	201001	32	2	6000100#34|14#850000	6000100#534|14#13100020|6000100#20	62#20|53#20
34	35	201001	33	2	6000100#34|14#850000	6000100#568|14#13950020|6000100#20	62#20|53#20
35	36	201001	34	2	6000100#36|14#900000	6000100#602|14#14800020|6000100#20	62#20|53#20
36	37	201001	35	2	6000100#36|14#900000	6000100#638|14#15700020|6000100#20	62#20|53#20
37	38	201001	36	2	6000100#38|14#950000	6000100#674|14#16600020|6000100#20	62#20|53#20
38	39	201001	37	2	6000100#38|14#950000	6000100#712|14#17550020|6000100#20	62#20|53#20
39	40	201001	38	2	6000100#40|14#1000000	6000100#750|14#18500020|6000100#20	62#20|53#20
40	41	201001	39	2	6000100#40|14#1000000	6000100#790|14#19500020|6000100#20	62#20|53#20
41	42	201001	40	2	6000099#20|6000100#40	6000100#830|14#20500020|6000100#20	62#20|53#20
42	43	201001	40	3	6000100#42|14#1050000	6000100#830|14#20500020|6000100#60	62#200|53#200
43	44	201001	41	3	6000100#44|14#1100000	6000100#892|14#21550060|6000100#60	62#20|53#20
44	45	201001	42	3	6000100#46|14#1150000	6000100#936|14#22650060|6000100#60	62#20|53#20
45	46	201001	43	3	6000100#48|14#1200000	6000100#982|14#23800060|6000100#60	62#20|53#20
46	47	201001	44	3	6000100#50|14#1250000	6000100#1030|14#25000060|6000100#60	62#20|53#20
47	48	201001	45	3	6000100#52|14#1300000	6000100#1080|14#26250060|6000100#60	62#20|53#20
48	49	201001	46	3	6000100#54|14#1350000	6000100#1132|14#27550060|6000100#60	62#20|53#20
49	50	201001	47	3	6000100#56|14#1400000	6000100#1186|14#28900060|6000100#60	62#20|53#20
50	51	201001	48	3	6000100#58|14#1450000	6000100#1242|14#30300060|6000100#60	62#20|53#20
51	52	201001	49	3	6000100#60|14#1500000	6000100#1300|14#31750060|6000100#60	62#20|53#20
52	0	201001	50	3	null	6000100#1360|14#33250060|6000100#60	62#20|53#20
53	54	201002	1	1	6000100#2|14#50000	null	52#500|63#500
54	55	201002	2	1	6000100#2|14#50000	6000100#2|14#50000	52#20|63#20
55	56	201002	3	1	6000100#4|14#100000	6000100#4|14#100000	52#20|63#20
