Id	Monster	Reward	BattleTime
int	int	mut,int#int,2	int
1	810001	4#5|14#5000|3#2000	20
2	810002	4#5|14#2500|3#1000	20
3	810003	4#6|14#3000|3#1200	20
4	810004	4#6|14#3000|3#1200	20
5	810005	4#7|14#3500|3#1400	20
6	810006	4#7|14#3500|3#1400	20
7	810007	4#8|14#4000|3#1600	20
8	810008	4#8|14#4000|3#1600	20
9	810009	4#9|14#4500|3#1800	20
10	810010	4#9|60034#1|60058#1|14#4500|3#1800	20
11	810011	4#10|14#5000|3#2000	20
12	810012	4#10|14#5000|3#2000	20
13	810013	4#11|14#5500|3#2200	20
14	810014	4#11|14#5500|3#2200	20
15	810015	4#12|14#6000|3#2400	20
16	810016	4#12|14#6000|3#2400	20
17	810017	4#13|14#6500|3#2600	20
18	810018	4#13|14#6500|3#2600	20
19	810019	4#14|14#7000|3#2800	20
20	810020	4#14|60050#1|60056#1|14#7000|3#2800	20
21	810021	4#15|14#7500|3#3000	20
22	810022	4#15|14#7500|3#3000	20
23	810023	4#16|14#8000|3#3200	20
24	810024	4#16|14#8000|3#3200	20
25	810025	4#17|14#8500|3#3400	20
26	810026	4#17|14#8500|3#3400	20
27	810027	4#18|14#9000|3#3600	20
28	810028	4#18|14#9000|3#3600	20
29	810029	4#19|14#9500|3#3800	20
30	810030	4#19|12013#50|14#9500|3#3800	20
31	810031	4#20|14#10000|3#4000	20
32	810032	4#20|14#10000|3#4000	20
33	810033	4#21|14#10500|3#4200	20
34	810034	4#21|14#10500|3#4200	20
35	810035	4#22|14#11000|3#4400	20
36	810036	4#22|14#11000|3#4400	20
37	810037	4#23|14#11500|3#4600	20
38	810038	4#23|14#11500|3#4600	20
39	810039	4#24|14#12000|3#4800	20
40	810040	4#24|60035#1|60059#1|14#12000|3#4800	20
41	810041	4#25|14#12500|3#5000	20
42	810042	4#25|14#12500|3#5000	20
43	810043	4#26|14#13000|3#5200	20
44	810044	4#26|14#13000|3#5200	20
45	810045	4#27|14#13500|3#5400	20
46	810046	4#27|14#13500|3#5400	20
47	810047	4#28|14#14000|3#5600	20
48	810048	4#28|14#14000|3#5600	20
49	810049	4#29|14#14500|3#5800	20
50	810050	4#29|60082#1|60088#1|14#14500|3#5800	20
51	810051	4#30|14#15000|3#6000	20
52	810052	4#30|14#15000|3#6000	20
53	810053	4#31|14#15500|3#6200	20
54	810054	4#31|14#15500|3#6200	20
55	810055	4#32|14#16000|3#6400	20
56	810056	4#32|14#16000|3#6400	20
57	810057	4#33|14#16500|3#6600	20
58	810058	4#33|14#16500|3#6600	20
59	810059	4#34|14#17000|3#6800	20
60	810060	4#34|12013#50|14#17000|3#6800	20
61	810061	4#35|14#17500|3#7000	20
62	810062	4#35|14#17500|3#7000	20
63	810063	4#36|14#18000|3#7200	20
64	810064	4#36|14#18000|3#7200	20
65	810065	4#37|14#18500|3#7400	20
66	810066	4#37|14#18500|3#7400	20
67	810067	4#38|14#19000|3#7600	20
68	810068	4#38|14#19000|3#7600	20
69	810069	4#39|14#19500|3#7800	20
70	810070	4#39|60067#1|60091#1|14#19500|3#7800	20
71	810071	4#40|14#20000|3#8000	20
72	810072	4#40|14#20000|3#8000	20
73	810073	4#41|14#20500|3#8200	20
74	810074	4#41|14#20500|3#8200	20
75	810075	4#42|14#21000|3#8400	20
76	810076	4#42|14#21000|3#8400	20
77	810077	4#43|14#21500|3#8600	20
78	810078	4#43|14#21500|3#8600	20
79	810079	4#44|14#22000|3#8800	20
80	810080	4#44|60083#1|60089#1|14#22000|3#8800	20
81	810081	4#45|14#22500|3#9000	20
82	810082	4#45|14#22500|3#9000	20
83	810083	4#46|14#23000|3#9200	20
84	810084	4#46|14#23000|3#9200	20
85	810085	4#47|14#23500|3#9400	20
86	810086	4#47|14#23500|3#9400	20
