Id	Contiue	Type	Target	EffectPara	FunctionType
int	int	int	int	mut,int#int,2	int
1	0	1	1	67#5000	2
2	30	1	1	2#200|3#200|4#200|5#200	2
3	0	1	1	67#5000	2
4	25	1	1	2#350	2
5	25	1	1	3#350|4#350	2
6	0	2	2	6#104011	2
7	0	1	1	62#-1500|63#-1500|64#-1500|65#-1500	2
8	0	1	1	62#1500|63#1500|64#1500|65#1500	2
15	0	1	1	68#-3000	2
17	0	2	2	6#201028	2
20	0	1	1	3#200|4#200	2
21	0	1	1	3#300|4#300	2
22	0	1	1	3#300|4#300	2
23	0	1	1	3#400|4#400	2
24	0	1	1	2#500	2
25	0	1	1	2#500	2
26	0	1	1	2#500	2
27	0	1	1	2#500	2
28	0	1	1	65#-2000|62#3000	2
29	0	1	1	68#-3000|62#3000	2
30	0	1	1	65#-2000|63#2000|64#2000	2
31	0	1	1	62#-1000|65#-1000|63#-1000|64#-1000	2
32	0	1	1	62#1000|65#1000|63#1000|64#1000	2
33	0	1	2	51#5000	2
2001001	0	1	1	67#2000	2
2001002	0	1	1	67#5000	2
2001003	0	1	1	67#10000	2
2001004	0	1	1	62#300	2
2001005	0	1	1	62#600	2
2001006	0	1	1	62#1500	2
2001007	0	1	1	55#300	2
2001008	0	1	1	55#600	2
2001009	0	1	1	55#1500	2
2001010	0	1	1	56#800	2
2001011	0	1	1	56#1600	2
2001012	0	1	1	56#3500	2
400101	0	2	2	7#4001010	2
400102	0	2	2	7#4001011	2
400103	0	1	1	68#-1500	2
400201	0	2	2	7#4002009	2
400202	0	2	2	7#4002010	2
400203	0	1	1	67#2000	2
2000001	0	1	1	61#200|68#200|62#200	2
2000002	0	1	1	62#200	2
2000003	0	1	1	61#200|68#200	2
2000004	0	1	1	63#50	2
2000005	0	1	1	64#50	2
2000006	0	1	1	51#50	2
2000007	0	1	1	52#50	2
2000008	0	1	1	60#50	2
2000009	0	1	1	53#50	2
2000010	0	1	1	54#50	2
2000011	0	1	1	55#50	2
2000012	0	1	1	56#50	2
2000013	0	1	1	61#100	2
2000014	0	1	1	62#100	2
2000015	0	1	1	51#100	2
2000016	0	1	1	52#100	2
2000017	0	1	1	53#100	2
2000018	0	1	1	54#100	2
500001	0	1	2	62#200	2
500002	0	1	2	62#400	2
500003	0	1	2	62#600	2
500004	0	1	2	62#800	2
500005	0	1	2	62#1000	2
500006	0	1	2	62#1200	2
500007	0	1	2	62#1400	2
500008	0	1	2	62#1600	2
500009	0	1	2	62#1800	2
500010	0	1	2	62#2000	2
50	0	1	1	58#2000	2
51	0	1	1	51#1000|55#1000	2
52	0	1	1	61#1000|62#1000	2
53	0	1	1	61#2000|62#2000|53#2000	2
