Id	Type	Count	BuffValue
int	int	int	mut,int#int,2
1	3	2	61#700|62#500
2	3	3	61#1100|62#800
3	3	4	61#1600|62#1200
4	3	5	61#2200|62#1600|155#300
5	2	2	61#700|62#500
6	2	3	61#1100|62#800
7	2	4	61#1600|62#1200
8	2	5	61#2200|62#1600|55#300
9	1	2	61#700|62#500
10	1	3	61#1100|62#800
11	1	4	61#1600|62#1200
12	1	5	61#2200|62#1600|54#300
13	4	1	61#600|62#400
14	4	2	61#1000|62#700
15	4	3	61#1500|62#1100
16	4	4	61#2200|62#1500
17	4	5	61#3000|62#2000|52#300
18	5	1	61#600|62#400
19	5	2	61#1000|62#700
20	5	3	61#1500|62#1100
21	5	4	61#2200|62#1500
22	5	5	61#3000|62#2000|51#300
23	6	5	61#1700|62#1200
