Id	GeneralId	Lev	TotalExp	AddExp	AddAtt	UpgradeExpend	FirstAtt
int	int	int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	1	1	20	10	2#5|1#50	17002#5|14#49000	2#74|1#978
2	1	2	20	10	2#5|1#50	17002#6|14#78400	2#147|1#1955
3	1	3	20	10	2#5|1#50	17002#7|14#107800	2#221|1#2933
4	1	4	20	10	2#5|1#50	17002#8|14#137200	2#296|1#3911
5	1	5	20	10	2#5|1#50	17002#9|14#166600	2#370|1#4888
6	1	6	20	10	2#5|1#50	17002#10|14#196000	2#443|1#5866
7	1	7	20	10	2#5|1#50	17002#12|14#225400	2#518|1#6844
8	1	8	20	10	2#5|1#50	17002#14|14#254800	2#592|1#7821
9	1	9	20	10	2#5|1#50	17002#16|14#284200	2#666|1#8799
10	1	10	20	10	2#5|1#50	17002#18|14#313600	2#740|1#9777
11	1	11	30	10	2#5|1#55	17002#20|14#343000	2#814|1#10754
12	1	12	30	10	2#5|1#55	17002#22|14#372400	2#925|1#12221
13	1	13	30	10	2#5|1#55	17002#24|14#401800	2#1036|1#13688
14	1	14	30	10	2#5|1#55	17002#26|14#431200	2#1147|1#15155
15	1	15	30	10	2#5|1#55	17002#28|14#460600	2#1258|1#16622
16	1	16	30	10	2#5|1#55	17002#30|14#490000	2#1370|1#18088
17	1	17	30	10	2#5|1#55	17002#32|14#519400	2#1481|1#19555
18	1	18	30	10	2#5|1#55	17002#34|14#548800	2#1592|1#21021
19	1	19	30	10	2#5|1#55	17002#36|14#578200	2#1703|1#22488
20	1	20	30	10	2#5|1#55	17002#38|14#607600	2#1814|1#23954
21	1	21	40	10	2#6|1#60	17002#40|14#637000	2#1925|1#25421
22	1	22	40	10	2#6|1#60	17002#42|14#666400	2#2073|1#27376
23	1	23	40	10	2#6|1#60	17002#44|14#695800	2#2221|1#29332
24	1	24	40	10	2#6|1#60	17002#46|14#725200	2#2368|1#31288
25	1	25	40	10	2#6|1#60	17002#48|14#754600	2#2517|1#33243
26	1	26	40	10	2#6|1#60	17002#50|14#784000	2#2665|1#35199
27	1	27	40	10	2#6|1#60	17002#52|14#813400	2#2813|1#37154
28	1	28	40	10	2#6|1#60	17002#54|14#842800	2#2961|1#39109
29	1	29	40	10	2#6|1#60	17002#56|14#872200	2#3110|1#41065
30	1	30	40	10	2#6|1#60	17002#58|14#901600	2#3257|1#43020
31	1	31	50	10	2#6|1#65	17002#60|14#931000	2#3406|1#44976
32	1	32	50	10	2#6|1#65	17002#62|14#960400	2#3591|1#47421
33	1	33	50	10	2#6|1#65	17002#64|14#989800	2#3775|1#49865
34	1	34	50	10	2#6|1#65	17002#66|14#1019200	2#3961|1#52309
35	1	35	50	10	2#6|1#65	17002#68|14#1048600	2#4146|1#54753
36	1	36	50	10	2#6|1#65	17002#70|14#1078000	2#4331|1#57197
37	1	37	50	10	2#6|1#65	17002#72|14#1107400	2#4516|1#59643
38	1	38	50	10	2#6|1#65	17002#74|14#1136800	2#4702|1#62087
39	1	39	50	10	2#6|1#65	17002#76|14#1166200	2#4886|1#64531
40	1	40	50	10	2#6|1#65	17002#78|14#1195600	2#5071|1#66975
41	1	41	60	10	2#7|1#70	17002#80|14#1225000	2#5257|1#69419
42	1	42	60	10	2#7|1#70	17002#82|14#1254400	2#5478|1#72353
43	1	43	60	10	2#7|1#70	17002#84|14#1283800	2#5700|1#75286
44	1	44	60	10	2#7|1#70	17002#86|14#1313200	2#5923|1#78219
45	1	45	60	10	2#7|1#70	17002#88|14#1342600	2#6145|1#81152
46	1	46	60	10	2#7|1#70	17002#90|14#1372000	2#6367|1#84086
47	1	47	60	10	2#7|1#70	17002#92|14#1401400	2#6589|1#87020
48	1	48	60	10	2#7|1#70	17002#94|14#1430800	2#6811|1#89953
49	1	49	60	10	2#7|1#70	17002#96|14#1460200	2#7034|1#92886
50	1	50	60	10	2#7|1#70	17002#98|14#1489600	2#7256|1#95819
51	1	51	70	10	2#7|1#75	17002#100|14#1519000	2#7478|1#98752
52	1	52	70	10	2#7|1#75	17002#102|14#1548400	2#7737|1#102175
53	1	53	70	10	2#7|1#75	17002#104|14#1577800	2#7996|1#105597
54	1	54	70	10	2#7|1#75	17002#106|14#1607200	2#8256|1#109018
55	1	55	70	10	2#7|1#75	17002#108|14#1636600	2#8514|1#112440
56	1	56	70	10	2#7|1#75	17002#110|14#1666000	2#8774|1#115863
57	1	57	70	10	2#7|1#75	17002#112|14#1695400	2#9032|1#119285
58	1	58	70	10	2#7|1#75	17002#114|14#1724800	2#9292|1#122707
59	1	59	70	10	2#7|1#75	17002#116|14#1754200	2#9552|1#126129
60	1	60	70	10	2#7|1#75	17002#118|14#1783600	2#9810|1#129551
61	1	61	80	10	2#8|1#80	17002#120|14#1813000	2#10070|1#132974
62	1	62	80	10	2#8|1#80	17002#122|14#1842400	2#10366|1#136884
63	1	63	80	10	2#8|1#80	17002#124|14#1871800	2#10662|1#140795
64	1	64	80	10	2#8|1#80	17002#126|14#1901200	2#10957|1#144707
65	1	65	80	10	2#8|1#80	17002#128|14#1930600	2#11254|1#148617
66	1	66	80	10	2#8|1#80	17002#130|14#1960000	2#11550|1#152528
67	1	67	80	10	2#8|1#80	17002#132|14#1989400	2#11846|1#156439
68	1	68	80	10	2#8|1#80	17002#134|14#2018800	2#12142|1#160351
69	1	69	80	10	2#8|1#80	17002#136|14#2048200	2#12439|1#164261
70	1	70	80	10	2#8|1#80	17002#138|14#2077600	2#12735|1#168172
71	1	71	90	10	2#8|1#85	17002#140|14#2107000	2#13031|1#172083
72	1	72	90	10	2#8|1#85	17002#142|14#2136400	2#13364|1#176483
73	1	73	90	10	2#8|1#85	17002#144|14#2165800	2#13698|1#180883
74	1	74	90	10	2#8|1#85	17002#146|14#2195200	2#14031|1#185282
75	1	75	90	10	2#8|1#85	17002#148|14#2224600	2#14364|1#189683
76	1	76	90	10	2#8|1#85	17002#150|14#2254000	2#14698|1#194083
77	1	77	90	10	2#8|1#85	17002#152|14#2283400	2#15031|1#198482
78	1	78	90	10	2#8|1#85	17002#154|14#2312800	2#15363|1#202883
79	1	79	90	10	2#8|1#85	17002#156|14#2342200	2#15696|1#207282
80	1	80	90	10	2#8|1#85	17002#158|14#2371600	2#16030|1#211682
81	1	81	100	10	2#9|1#90	17002#160|14#2401000	2#16363|1#216081
82	1	82	100	10	2#9|1#90	17002#162|14#2430400	2#16734|1#220971
83	1	83	100	10	2#9|1#90	17002#164|14#2459800	2#17103|1#225859
84	1	84	100	10	2#9|1#90	17002#166|14#2489200	2#17474|1#230748
85	1	85	100	10	2#9|1#90	17002#168|14#2518600	2#17844|1#235637
86	1	86	100	10	2#9|1#90	17002#170|14#2548000	2#18214|1#240525
87	1	87	100	10	2#9|1#90	17002#172|14#2577400	2#18585|1#245414
88	1	88	100	10	2#9|1#90	17002#174|14#2606800	2#18955|1#250303
89	1	89	100	10	2#9|1#90	17002#176|14#2636200	2#19325|1#255192
90	1	90	100	10	2#9|1#90	17002#178|14#2665600	2#19695|1#260081
91	1	91	120	10	2#9|1#95	17002#180|14#2695000	2#20066|1#264969
92	1	92	120	10	2#9|1#95	17002#182|14#2724400	2#20510|1#270836
93	1	93	120	10	2#9|1#95	17002#184|14#2753800	2#20953|1#276703
94	1	94	120	10	2#9|1#95	17002#186|14#2783200	2#21398|1#282569
95	1	95	120	10	2#9|1#95	17002#188|14#2812600	2#21842|1#288435
96	1	96	120	10	2#9|1#95	17002#190|14#2842000	2#22287|1#294302
97	1	97	120	10	2#9|1#95	17002#192|14#2871400	2#22731|1#300168
98	1	98	120	10	2#9|1#95	17002#194|14#2900800	2#23175|1#306035
99	1	99	120	10	2#9|1#95	17002#196|14#2930200	2#23620|1#311901
100	1	100	120	10	2#9|1#95	17002#196|14#2930200	2#24064|1#317768
101	1	101	120	10	2#9|1#95	17002#196|14#2930200	2#24508|1#323635
102	1	102	120	10	2#9|1#95	17002#196|14#2930200	2#24952|1#329502
103	1	103	120	10	2#9|1#95	17002#196|14#2930200	2#25396|1#335369
104	1	104	120	10	2#9|1#95	17002#196|14#2930200	2#25840|1#341236
105	1	105	120	10	2#9|1#95	17002#196|14#2930200	2#26284|1#347103
106	1	106	120	10	2#9|1#95	17002#196|14#2930200	2#26728|1#352970
107	1	107	120	10	2#9|1#95	17002#196|14#2930200	2#27172|1#358837
108	1	108	120	10	2#9|1#95	17002#196|14#2930200	2#27616|1#364704
109	1	109	120	10	2#9|1#95	17002#196|14#2930200	2#28060|1#370571
110	1	110	120	10	2#9|1#95	17002#196|14#2930200	2#28504|1#376438
111	1	111	120	10	2#9|1#95	17002#196|14#2930200	2#28948|1#382305
112	1	112	120	10	2#9|1#95	17002#196|14#2930200	2#29392|1#388172
113	1	113	120	10	2#9|1#95	17002#196|14#2930200	2#29836|1#394039
114	1	114	120	10	2#9|1#95	17002#196|14#2930200	2#30280|1#399906
