Id	Sesc	Type	StartTime	Endtime	Time	GapTime	OpenRanking	IsSaving	IsMail	IfOpen	ShopId	ResetGrade	OpenRules	CanBuyRechargeId	IsOpen	SleepTime	ActivityItem
int	string	int	string	string	int	int	int	int	int	mut,int#int,2	mut,int#int,1	int	mut,int#int,1	mut,int#int,1	int	int	mut,int#int,1
2	51010009	2	20291002 000000	20291004 210000	1	0	0	0	1	null	0	0	2#7#999	0	0	0	null
4	51010009	4	20291002 000000	20291004 210000	1	0	0	0	0	null	0	0	null	0	0	0	null
701	51010009	7	20291002 000000	20291004 210000	1	0	0	1	0	null	0	0	2#999#999	0	0	0	null
901	51010009	9	20291002 000000	20291004 210000	1	0	0	1	0	null	0	0	null	0	0	0	null
11	51010009	11	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
12	51010009	12	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
1701	51010009	17	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
1801	51010009	18	20291002 000000	20291004 210000	1	0	0	1	1	2#14	0	0	null	0	0	0	null
1901	51010009	19	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
2101	51010009	21	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
22	51010009	22	20291002 000000	20291004 210000	1	0	0	1	1	2#14	0	0	null	0	0	0	null
2601	51010009	26	20291002 000000	20291004 210000	1	0	1	1	1	null	0	0	2#1#999	0	0	0	null
29	51010009	29	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	2#999#999	0	0	0	null
3701	51010009	37	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
3801	51010009	38	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
4801	51010009	48	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
4901	51010009	49	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
5001	51010009	50	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	2#999#999	0	0	0	null
5101	51010009	51	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
53	51010009	53	20291002 000000	20291004 210000	1	0	0	0	0	null	0	0	null	0	0	0	null
54	51010009	54	20291002 000000	20291004 210000	1	0	0	1	1	null	0	0	null	0	0	0	null
57	51010010	56	20291002 000000	20291004 210000	1	0	0	0	1	null	0	0	2#999#999	0	1	0	null
7801	51010020	78	0	0	1	0	0	1	0	null	0	0	2#999#999	7801	1	0	null
7901	51010021	79	0	0	1	0	0	1	0	null	0	0	2#999#999	7901	1	0	null
7802	51010020	78	0	0	1	0	0	1	0	null	0	0	2#999#999	7802	1	0	null
7902	51010021	79	0	0	1	0	0	1	0	null	0	0	2#999#999	7902	1	0	null
50001	51010078	21004	20291002 000000	20291004 210000	1	0	0	1	0	null	0	0	2#999#999	0	1	0	null
10603	51010048	48	20291002 000000	20291004 210000	1	0	1	1	1	null	0	0	2#25#999	0	1	0	null
50101	51010078	21004	20291002 000000	20291004 210000	1	0	0	1	0	null	0	0	2#999#999	0	1	0	null
3	51010011	3	0	0	1	0	0	0	0	null	0	0	null	0	1	0	null
1	51010035	1	0	315360000	2	0	0	0	1	null	0	0	null	0	1	0	null
44	51010036	55	0	2591940	2	0	0	0	1	null	0	0	null	0	1	0	null
30	51010013	30	0	0	1	0	0	0	1	null	0	1	null	0	1	0	null
31	51010014	31	0	0	1	0	0	0	1	null	0	1	null	0	1	0	null
13	51010017	13	0	315360000	2	0	0	1	1	null	0	0	2#1#50	0	1	0	null
1301	51010017	13	0	315360000	2	0	0	1	1	null	0	0	2#50#80	0	1	0	null
1302	51010017	13	0	315360000	2	0	0	1	1	null	0	0	2#80#999	0	1	0	null
13000	51010018	130	0	315360000	2	0	0	1	1	null	0	0	2#1#50	0	1	0	null
13001	51010018	130	0	315360000	2	0	0	1	1	null	0	0	2#50#80	0	1	0	null
13002	51010018	130	0	315360000	2	0	0	1	1	null	0	0	2#80#999	0	1	0	null
5	51010015	5	0	0	1	0	0	0	0	null	0	0	2#1#999	0	1	0	null
10004	51010025	10004	0	0	1	0	0	0	0	null	0	0	2#1#999	0	1	0	null
23	51010012	23	0	0	1	0	0	1	0	null	0	0	2#1#999	0	1	0	null
10001	51010024	10001	0	0	1	0	0	0	0	null	0	0	2#1#999	0	1	0	null
6	51010016	6	20200101 000000	20291231 000000	1	0	0	0	0	null	0	0	2#10#999	101	1	0	null
601	51010016	6	20200101 000000	20291231 000000	1	0	0	0	0	null	0	0	3#6	102	1	0	null
