Id	OpenRules	IsOpen	SystemOpen	SystemEnd	SeasonOpen	SeasonEnd	SeasonInterval	Type	OpenGifts	IsIDdSame	GuideId
int	mut,int#int,1	int	string	string	string	string	int	int	mut,int#int,2	int	int
3	2#80	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	3	0
5	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	5	0
6	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	6	0
7	2#1	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	7	0
9	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	9	0
10	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	10	0
11	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	11	0
13	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	13	0
17	1#3101	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	17	0
18	1#12201	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	18	0
21	2#999	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	21	0
101	1#1052	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	101	0
102	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	102	0
103	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	103	0
104	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	104	0
31	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	31	0
32	2#99	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	32	0
34	2#999	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	34	0
47	2#99	0	20190210 080000	20290210 080000	20190210 050000	20190224 030000	120	1	null	47	0
50	2#999	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	50	0
52	1#3202	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	52	0
53	1#15205	0	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	53	0
56	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	56	0
64	2#30	0	20190210 080000	20290210 080000	0	172500	5	5	null	64	0
49	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	49	0
1	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1	0
24	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	24	0
75	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	75	0
66	2#5	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	66	0
20	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	20	0
27	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	27	0
78	2#9	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	78	0
33	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	33	0
86	2#40	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	86	41800
91	2#60	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	91	0
22	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	22	0
23	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	23	0
26	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	26	0
2	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	2	0
54	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	54	0
25	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	25	0
45	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	45	0
48	2#1	1	20190210 080000	20290210 080000	20190210 050000	20190224 030000	120	1	null	48	0
51	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	51	0
110	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	110	0
12	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	12	0
28	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	28	0
65	2#8	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	65	0
1500	2#9	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1500	0
14	2#13	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	14	42100
4	2#18	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	4	0
62	2#18	1	20190210 080000	20290210 080000	28800	93600	360	4	null	62	0
63	2#18	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	63	0
55	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	55	42400
43	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	43	0
107	2#20	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	107	44000
1501	2#55	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	1501	0
80	2#1	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	80	0
79	2#3	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	79	0
77	2#70	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	77	42800
76	2#80	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	76	42700
81	2#90	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	81	0
108	2#100	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	108	44300
90	2#100	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	10421#1|10426#7	90	44600
8	2#8	1	20190210 080000	20290210 080000	0	604680	2	4	null	8	0
57	2#8	1	20190210 080000	20290210 080000	20210629 210000	20210701 000000	8460	1	null	57	0
58	2#8	1	20190210 080000	20290210 080000	20210701 210000	20210703 000000	8460	1	null	57	0
59	2#8	1	20190210 080000	20290210 000000	20210704 210000	20210706 000000	8460	1	null	57	0
60	2#10	1	20190210 080000	20290210 080000	20190210 080000	20290210 080000	0	1	null	60	0
