Id	Type
int	int
1	1
102	1
103	1
104	1
10511	1
10512	1
105	1
1051	1
106	1
201	1
202	1
2021	1
205	1
203	1
204	1
301	1
302	1
30211	1
303	1
304	1
305	1
306	1
3061	1
307	1
3001	1
3002	1
3071	1
308	1
309	1
310	1
4000	1
4001	1
4002	1
401	1
402	1
403	1
404	1
405	1
40611	1
4003	1
4004	1
406	1
407	1
408	1
409	1
410	1
501	1
5011	1
502	1
503	1
504	1
5041	1
5042	1
505	1
506	1
507	1
514	1
508	1
509	1
5091	1
516	1
5161	1
510	1
511	1
512	1
601	1
602	1
20100	2
20101	2
20102	2
20103	2
20104	2
20105	2
20106	2
2010711	2
2010712	2
20107	2
2010811	2
20108	2
20200	2
20201	2
20202	2
20203	2
20204	2
2020511	2
20205	2
20206	2
20207	2
20208	2
20209	2
20300	2
20301	2
20302	2
20303	2
20304	2
2030411	2
20305	2
2030511	2
20306	2
20307	2
20400	2
20401	2
20402	2
20403	2
20404	2
20405	2
20406	2
20407	2
20408	2
20409	2
20500	2
205011	2
205012	2
205021	2
205022	2
205013	2
205014	2
205015	2
205016	2
205017	2
20501	2
20502	2
20503	2
20504	2
20505	2
205062	2
205061	2
205063	2
205051	2
20506	2
20507	2
20508	2
20509	2
20600	2
20601	2
20602	2
20603	2
206041	2
206042	2
20604	2
20605	2
20606	2
20607	2
20608	2
20609	2
20610	2
20611	2
20700	2
20701	2
20702	2
20703	2
20704	2
20705	2
20706	2
20707	2
20708	2
20709	2
20710	2
20711	2
20712	2
20713	2
20800	2
20801	2
20802	2
20803	2
20804	2
20805	2
2080511	2
2080512	2
2080513	2
2080514	2
2080515	2
2080516	2
2080517	2
20806	2
20807	2
20809	2
20900	2
20901	2
20902	2
20903	2
20904	2
20905	2
209051	2
209052	2
209053	2
209054	2
20906	2
20907	2
20908	2
20909	2
20910	2
20911	2
20912	2
20913	2
20914	2
30100	2
30101	2
301001	2
301002	2
301003	2
301004	2
301005	2
30102	2
30103	2
30104	2
30105	2
30106	2
30107	2
30108	2
30200	2
30201	2
30202	2
30203	2
30204	2
30300	2
30301	2
30302	2
30303	2
30400	2
30401	2
30402	2
304021	2
304022	2
30403	2
30404	2
30405	2
30406	2
30407	2
30500	2
30501	2
30502	2
30503	2
30504	2
30505	2
30506	2
30507	2
30508	2
30509	2
305091	2
30510	2
30600	2
30601	2
30602	2
30603	2
30604	2
30605	2
30606	2
30607	2
30608	2
30609	2
30700	2
30701	2
30702	2
30703	2
30704	2
30705	2
30800	2
30801	2
30802	2
30803	2
30804	2
30805	2
30806	2
30807	2
30808	2
30809	2
30900	2
30901	2
30902	2
309021	2
309022	2
30903	2
30904	2
40100	2
40101	2
40102	2
40103	2
40104	2
40105	2
40106	2
40107	2
40200	2
40201	2
40202	2
40203	2
40204	2
40205	2
40300	2
40301	2
40302	2
40303	2
40304	2
40400	2
40401	2
40402	2
40403	2
40404	2
40500	2
40501	2
40502	2
405021	2
40503	2
40504	2
40600	2
40601	2
40602	2
40603	2
40604	2
40700	2
40701	2
40702	2
40703	2
40704	2
40800	2
40801	2
40802	2
40803	2
40900	2
40901	2
40902	2
40903	2
40904	2
41000	2
41001	2
41002	2
41003	2
41100	2
41101	2
41102	2
41103	2
41104	2
41200	2
41201	2
412011	2
412012	2
41202	2
412021	2
412022	2
41203	2
41204	2
41205	2
41206	2
41207	2
41208	2
41209	2
41210	2
41300	2
41301	2
41302	2
41303	2
41304	2
41305	2
41306	2
41307	2
41400	2
41401	2
41402	2
41403	2
41404	2
41405	2
41500	2
41501	2
415011	2
415012	2
41502	2
415021	2
415022	2
41503	2
41504	2
41505	2
41506	2
41507	2
41508	2
41509	2
41600	2
41601	2
41602	2
41603	2
41604	2
41605	2
41606	2
41607	2
41700	2
41701	2
417011	2
417012	2
41702	2
417021	2
417022	2
41703	2
41704	2
41705	2
41706	2
41707	2
41800	2
41801	2
41802	2
41803	2
41900	2
41901	2
41902	2
41903	2
41904	2
41905	2
41906	2
41907	2
42000	2
420011	2
420012	2
420021	2
420022	2
42001	2
42002	2
42003	2
42004	2
42100	2
42101	2
42102	2
42103	2
42104	2
42200	2
42201	2
42202	2
42203	2
42204	2
42300	2
42301	2
42302	2
42303	2
42304	2
42305	2
42400	2
42401	2
42402	2
42403	2
42404	2
42500	2
42501	2
42502	2
42503	2
42504	2
42505	2
42506	2
42600	2
42601	2
42602	2
42603	2
42604	2
42700	2
42701	2
42702	2
42703	2
42704	2
42705	2
42800	2
42801	2
42802	2
42803	2
42804	2
42805	2
42900	2
42901	2
429011	2
429012	2
42902	2
429021	2
429022	2
42903	2
42904	2
42905	2
42906	2
43000	2
43001	2
43002	2
43003	2
43004	2
43100	2
43101	2
43102	2
43103	2
43104	2
43105	2
43106	2
43200	2
43201	2
43202	2
43203	2
43204	2
44000	2
44001	2
440011	2
440012	2
44002	2
440021	2
44003	2
44004	2
44005	2
44006	2
44007	2
44008	2
44009	2
44010	2
44011	2
44012	2
44013	2
44014	2
44015	2
44016	2
44017	2
44100	2
44101	2
441011	2
441012	2
44102	2
441021	2
44103	2
44104	2
44105	2
44106	2
44107	2
44108	2
44109	2
44200	2
44201	2
44202	2
44203	2
44204	2
44205	2
44300	2
44301	2
443011	2
443012	2
44302	2
443021	2
443022	2
44303	2
44304	2
44305	2
44400	2
44401	2
44402	2
44403	2
44404	2
444041	2
44500	2
44501	2
44502	2
44503	2
44504	2
44505	2
44506	2
44600	2
44601	2
446011	2
446012	2
44602	2
446021	2
446022	2
44603	2
44604	2
44605	2
44606	2
44607	2
44608	2
44609	2
44610	2
44611	2
44612	2
44613	2
44614	2
44615	2
44616	2
44617	2
44618	2
44619	2
44620	2
44621	2
44622	2
44623	2
44624	2
44625	2
44626	2
44627	2
44700	2
44701	2
44702	2
44703	2
44704	0
44705	2
44800	2
44801	2
44802	2
44803	2
44804	0
44805	2
44900	2
44901	2
44902	2
44903	2
44904	0
44905	2
45000	2
45001	2
45002	2
45003	2
45004	0
45005	2
