Id	Damage	Reward	RandomReward
int	int	mut,int#int,1	mut,int#int,2
1	1	6001#2500	6121#100
2	2000	6002#2500	6122#100
3	5000	6003#2500	6123#100
4	8000	6004#2500	6124#100
5	10000	6005#2500	6125#100
6	30000	6006#2500	6126#100
7	50000	6007#2500	6127#100
8	80000	6008#2500	6128#100
9	100000	6009#2500	6129#100
10	300000	6010#2500	6130#100
11	500000	6011#2500	6131#100
12	1000000	6012#2500	6132#100
13	5000000	6013#2500	6133#100
14	10000000	6014#2500	6134#100
15	20000000	6015#2500	6135#100
16	30000000	6016#2500	6136#100
17	50000000	6017#2500	6137#100
18	100000000	6018#2500	6138#100
19	150000000	6019#2500	6139#100
20	200000000	6020#2500	6140#100
