Id	ScoreMin	ScoreMax	ResultExp	StarExp
int	int	int	mut,int#int,1	mut,int#int,2
2	6500	10000	50#10#0	30#10|60#25|100#45
3	10001	13000	50#10#0	30#10|60#25|100#65
4	13001	16000	60#10#0	30#10|60#25|100#75
5	16001	19000	60#10#0	30#10|60#25|100#90
6	19001	22000	60#10#0	30#10|60#25|100#105
7	22001	25000	60#10#0	30#10|60#25|100#120
8	25001	28000	60#10#0	30#10|60#25|100#135
9	28001	31000	60#10#0	30#10|60#25|100#145
10	31001	34000	60#10#0	30#10|60#25|100#155
11	34001	37000	60#10#0	30#10|60#25|100#165
12	37001	40000	60#10#0	30#10|60#25|100#175
13	40001	999999	60#10#0	30#10|60#25|100#185
