Id	TechId	Level	Values	Profession	Consume
int	int	int	mut,int#int,1	int	mut,int#int,2
1	1	0	61#0	3	14#6000|65#10
2	1	1	61#50	3	14#18000|65#30
3	1	2	61#100	3	14#30000|65#50
4	1	3	61#150	3	14#42000|65#70
5	1	4	61#200	3	14#54000|65#90
6	1	5	61#250	3	14#66000|65#110
7	1	6	61#300	3	14#78000|65#130
8	1	7	61#350	3	14#90000|65#150
9	1	8	61#400	3	14#102000|65#170
10	1	9	61#450	3	14#114000|65#190
11	1	10	61#500	3	14#126000|65#210
12	1	11	61#550	3	14#150000|65#250
13	1	12	61#600	3	14#174000|65#290
14	1	13	61#650	3	14#198000|65#330
15	1	14	61#700	3	14#222000|65#370
16	1	15	61#750	3	14#246000|65#410
17	1	16	61#800	3	14#270000|65#450
18	1	17	61#850	3	14#294000|65#490
19	1	18	61#900	3	14#318000|65#530
20	1	19	61#950	3	14#342000|65#570
21	1	20	61#1000	3	14#366000|65#610
22	1	21	61#1050	3	14#414000|65#690
23	1	22	61#1100	3	14#462000|65#770
24	1	23	61#1150	3	14#510000|65#850
25	1	24	61#1200	3	14#558000|65#930
26	1	25	61#1250	3	14#606000|65#1010
27	1	26	61#1300	3	14#654000|65#1090
28	1	27	61#1350	3	14#702000|65#1170
29	1	28	61#1400	3	14#750000|65#1250
30	1	29	61#1450	3	14#798000|65#1330
31	1	30	61#1500	3	14#846000|65#1410
32	1	31	61#1550	3	14#942000|65#1570
33	1	32	61#1600	3	14#1038000|65#1730
34	1	33	61#1650	3	14#1134000|65#1890
35	1	34	61#1700	3	14#1230000|65#2050
36	1	35	61#1750	3	14#1326000|65#2210
37	1	36	61#1800	3	14#1422000|65#2370
38	1	37	61#1850	3	14#1518000|65#2530
39	1	38	61#1900	3	14#1614000|65#2690
40	1	39	61#1950	3	14#1710000|65#2850
41	1	40	61#2000	3	14#1806000|65#3010
42	1	41	61#2050	3	14#1998000|65#3330
43	1	42	61#2100	3	14#2190000|65#3650
44	1	43	61#2150	3	14#2382000|65#3970
45	1	44	61#2200	3	14#2574000|65#4290
46	1	45	61#2250	3	14#2766000|65#4610
47	1	46	61#2300	3	14#2958000|65#4930
48	1	47	61#2350	3	14#3150000|65#5250
49	1	48	61#2400	3	14#3342000|65#5570
50	1	49	61#2450	3	14#3534000|65#5890
51	1	50	61#2500	3	14#3726000|65#6210
52	1	51	61#2550	3	14#4110000|65#6850
53	1	52	61#2600	3	14#4494000|65#7490
54	1	53	61#2650	3	14#4878000|65#8130
55	1	54	61#2700	3	14#5262000|65#8770
56	1	55	61#2750	3	14#5646000|65#9410
57	1	56	61#2800	3	14#6030000|65#10050
58	1	57	61#2850	3	14#6414000|65#10690
59	1	58	61#2900	3	14#6798000|65#11330
60	1	59	61#2950	3	14#7182000|65#11970
61	1	60	61#3000	3	14#7566000|65#12610
62	1	61	61#3050	3	14#8334000|65#13890
63	1	62	61#3100	3	14#9102000|65#15170
64	1	63	61#3150	3	14#9870000|65#16450
65	1	64	61#3200	3	14#10638000|65#17730
66	1	65	61#3250	3	14#11406000|65#19010
67	1	66	61#3300	3	14#12174000|65#20290
68	1	67	61#3350	3	14#12942000|65#21570
69	1	68	61#3400	3	14#13710000|65#22850
