Id	Mode	Ranking	Reward
int	int	int	mut,int#int,2
1	1	1	81148#50
2	1	1	6001020#50
3	1	1	20#1
4	1	1	16#1000
5	1	1	16#1000
6	1	1	65#3000
7	1	1	65#3000
8	1	1	65#3000
9	1	1	65#3000
10	1	1	65#3000
11	1	1	16#500
12	1	1	16#500
13	1	1	16#500
14	1	1	16#500
15	1	1	16#500
16	1	1	65#1500
17	1	1	65#1500
18	1	1	65#1500
19	1	1	65#1500
20	1	1	65#1500
21	1	1	65#1500
22	1	1	65#1500
23	1	1	65#1500
24	1	1	65#1500
25	1	1	65#1500
26	1	2	6001020#50
27	1	2	20#1
28	1	2	19#5
29	1	2	16#600
30	1	2	16#600
31	1	2	65#2000
32	1	2	65#2000
33	1	2	65#2000
34	1	2	65#2000
35	1	2	65#2000
36	1	2	16#300
37	1	2	16#300
38	1	2	16#300
39	1	2	16#300
40	1	2	16#300
41	1	2	65#1000
42	1	2	65#1000
43	1	2	65#1000
44	1	2	65#1000
45	1	2	65#1000
46	1	2	65#1000
47	1	2	65#1000
48	1	2	65#1000
49	1	2	65#1000
50	1	2	65#1000
51	1	3	20#1
52	1	3	19#5
53	1	3	16#500
54	1	3	16#500
55	1	3	16#500
56	1	3	65#1500
57	1	3	65#1500
58	1	3	65#1500
59	1	3	65#1500
60	1	3	65#1500
61	1	3	16#250
62	1	3	16#250
63	1	3	16#250
64	1	3	16#250
65	1	3	16#250
66	1	3	65#800
67	1	3	65#800
68	1	3	65#800
69	1	3	65#800
70	1	3	65#800
71	1	3	65#800
72	1	3	65#800
73	1	3	65#800
74	1	3	65#800
75	1	3	65#800
76	1	4	19#5
77	1	4	16#500
78	1	4	16#300
79	1	4	16#300
80	1	4	16#300
81	1	4	65#1000
82	1	4	65#1000
83	1	4	65#1000
84	1	4	65#1000
85	1	4	65#1000
86	1	4	16#150
87	1	4	16#150
88	1	4	16#150
89	1	4	16#150
90	1	4	16#150
91	1	4	65#600
92	1	4	65#600
93	1	4	65#600
94	1	4	65#600
95	1	4	65#600
96	1	4	65#600
97	1	4	65#600
98	1	4	65#600
99	1	4	65#600
100	1	4	65#600
201	2	1	6001032#50
202	2	1	81148#50
203	2	1	6001020#50
204	2	1	20#1
205	2	1	16#1500
206	2	1	16#1500
207	2	1	65#4000
208	2	1	65#4000
209	2	1	65#4000
210	2	1	65#4000
211	2	1	65#4000
212	2	1	16#800
213	2	1	16#800
214	2	1	16#800
215	2	1	16#800
216	2	1	16#800
217	2	1	65#2500
218	2	1	65#2500
219	2	1	65#2500
220	2	1	65#2500
221	2	1	65#2500
222	2	1	65#2500
223	2	1	65#2500
224	2	1	65#2500
225	2	1	65#2500
226	2	2	81148#50
227	2	2	6001020#50
228	2	2	20#1
229	2	2	19#5
230	2	2	16#1000
231	2	2	65#3000
232	2	2	65#3000
233	2	2	65#3000
