Id	Chapter	Section	BigStageNumber	Repeat	NextLevel	LevelLimit	Star	MonsterGroup	HardStageBuff	RecommendFightAbility	PassReward	StageType	ConditionValue	Reward1
int	int	int	int	int	int	int	int	int	int	int	mut,int#int,1	int	mut,int#int,1	mut,int#int,1
1	1	1	1	1	0	18	0	30010001	0	40000	305000	1	100#204#524	306000#307000#308000
2	1	2	0	0	1	18	0	30010101	10001	40000	305001	3	null	null
3	1	3	2	1	1	18	0	30010201	0	45000	305002	1	100#604#534	306002#307002#308002
4	1	4	0	0	3	18	0	0	0	0	305003	2	null	null
5	1	5	3	1	3	18	0	30010301	0	50000	305004	1	100#204#304	306004#307004#308004
6	1	6	0	0	5	18	0	30010401	10006	50000	305005	3	null	null
7	1	7	4	1	5	18	0	30010501	0	60000	305006	1	204#604#304	306006#307006#308006
8	1	8	0	0	7	18	0	30010601	1014	60000	305007	3	null	null
9	1	9	5	1	7	18	0	30010701	0	70000	305008	1	303#45000005#702	306008#307008#308008
10	1	10	0	0	9	18	0	0	0	0	305009	2	null	null
11	1	11	6	1	9	18	0	30010801	0	90000	305010	1	100#514#45000005	306010#307010#308010
12	1	12	0	0	11	18	0	30010901	1011	90000	305011	3	null	null
13	1	13	7	1	11	18	0	30011001	0	120000	305012	1	204#45000008#303	306012#307012#308012
14	1	14	0	0	13	18	0	30011101	10001	120000	305013	3	null	null
15	1	15	8	1	13	18	0	30011201	0	150000	305014	1	604#544#45000007	306014#307014#308014
16	1	16	0	0	15	18	0	0	0	0	305015	2	null	null
17	1	17	9	1	15	18	0	30011301	0	180000	305016	1	204#604#304	306016#307016#308016
18	1	18	0	0	17	18	0	30011401	1013	180000	305017	3	null	null
19	1	19	10	1	17	18	0	30011501	0	210000	305018	1	204#703#605	306018#307018#308018
101	2	1	11	1	19	18	0	30020001	0	230000	305019	1	100#205#45000006	306019#307019#308019
102	2	2	0	0	101	18	0	30020101	10000	230000	305020	3	null	null
103	2	3	12	1	101	18	0	30020201	0	237000	305021	1	100#204#305	306021#307021#308021
104	2	4	0	0	103	18	0	0	0	0	305022	2	null	null
105	2	5	13	1	103	18	0	30020301	0	240000	305023	1	100#204#45000008	306023#307023#308023
106	2	6	0	0	105	18	0	30020401	1015	240000	305024	3	null	null
107	2	7	14	1	105	18	0	30020501	0	246000	305025	1	204#304#45000008	306025#307025#308025
108	2	8	0	0	107	18	0	30020601	10001	246000	305026	3	null	null
109	2	9	15	1	107	18	0	30020701	0	250000	305027	1	205#304#702	306027#307027#308027
110	2	10	0	0	109	18	0	0	0	0	305028	2	null	null
111	2	11	16	1	109	18	0	30020801	0	254000	305029	1	100#304#45000010	306029#307029#308029
112	2	12	0	0	111	18	0	30020901	10001	254000	305030	3	null	null
113	2	13	17	1	111	18	0	30021001	0	257000	305031	1	205#45000010#303	306031#307031#308031
114	2	14	0	0	113	18	0	30021101	10006	257000	305032	3	null	null
115	2	15	18	1	113	18	0	30021201	0	261000	305033	1	204#303#803	306033#307033#308033
116	2	16	0	0	115	18	0	0	0	0	305034	2	null	null
117	2	17	19	1	115	18	0	30021301	0	264000	305035	1	204#45000012#304	306035#307035#308035
118	2	18	0	0	117	18	0	30021401	1018	264000	305036	3	null	null
119	2	19	20	1	117	18	0	30021501	0	272000	305037	1	205#703#605	306037#307037#308037
201	3	1	21	1	119	22	0	30030001	0	275000	305038	1	100#205#45000020	306038#307038#308038
202	3	2	0	0	201	22	0	30030101	10002	275000	305039	3	null	null
203	3	3	22	1	201	22	0	30030201	0	282000	305040	1	533#605#1101	306040#307040#308040
204	3	4	0	0	203	22	0	0	0	0	305041	2	null	null
205	3	5	23	1	203	22	0	30030301	0	295000	305042	1	204#701#523	306042#307042#308042
206	3	6	0	0	205	22	0	30030401	1016	295000	305043	3	null	null
207	3	7	24	1	205	22	0	30030501	0	304000	305044	1	205#304#45000020	306044#307044#308044
208	3	8	0	0	207	22	0	30030601	10002	304000	305045	3	null	null
209	3	9	25	1	207	22	0	30030701	0	320000	305046	1	204#606#704	306046#307046#308046
210	3	10	0	0	209	22	0	0	0	0	305047	2	null	null
211	3	11	26	1	209	22	0	30030801	0	330000	305048	1	604#305#543	306048#307048#308048
212	3	12	0	0	211	22	0	30030901	1014	330000	305049	3	null	null
213	3	13	27	1	211	22	0	30031001	0	350000	305050	1	207#45000020#533	306050#307050#308050
214	3	14	0	0	213	22	0	30031101	1013	350000	305051	3	null	null
215	3	15	28	1	213	22	0	30031201	0	370000	305052	1	205#304#604	306052#307052#308052
216	3	16	0	0	215	22	0	0	0	0	305053	2	null	null
217	3	17	29	1	215	22	0	30031301	0	390000	305054	1	204#304#604	306054#307054#308054
218	3	18	0	0	217	22	0	30031401	1017	390000	305055	3	null	null
219	3	19	30	1	217	22	0	30031501	0	420000	305056	1	204#605#801	306056#307056#308056
301	4	1	31	1	219	26	0	30040001	0	450000	305057	1	204#803#605	306057#307057#308057
302	4	2	0	0	301	26	0	30040101	1012	450000	305058	3	null	null
303	4	3	32	1	301	26	0	30040201	0	450000	305059	1	702#802#203	306059#307059#308059
304	4	4	0	0	303	26	0	0	0	0	305060	2	null	null
305	4	5	33	1	303	26	0	30040301	0	470000	305061	1	604#525#45000030	306061#307061#308061
306	4	6	0	0	305	26	0	30040401	10001	470000	305062	3	null	null
307	4	7	34	1	305	26	0	30040501	0	540000	305063	1	204#605#701	306063#307063#308063
308	4	8	0	0	307	26	0	30040601	10003	540000	305064	3	null	null
309	4	9	35	1	307	26	0	30040701	0	580000	305065	1	605#305#204	306065#307065#308065
310	4	10	0	0	309	26	0	0	0	0	305066	2	null	null
311	4	11	36	1	309	26	0	30040801	0	620000	305067	1	604#304#701	306067#307067#308067
312	4	12	0	0	311	26	0	30040901	1011	620000	305068	3	null	null
313	4	13	37	1	311	26	0	30041001	0	680000	305069	1	204#701#304	306069#307069#308069
314	4	14	0	0	313	26	0	30041101	10004	680000	305070	3	null	null
315	4	15	38	1	313	26	0	30041201	0	730000	305071	1	605#305#804	306071#307071#308071
316	4	16	0	0	315	26	0	0	0	0	305072	2	null	null
317	4	17	39	1	315	26	0	30041301	0	800000	305073	1	204#45000050#604	306073#307073#308073
318	4	18	0	0	317	26	0	30041401	10005	800000	305074	3	null	null
319	4	19	40	1	317	26	0	30041501	0	850000	305075	1	604#304#702	306075#307075#308075
401	5	1	41	1	319	30	0	30050001	0	790000	305076	1	100#203#304	306076#307076#308076
402	5	2	0	0	401	30	0	30050101	10001	790000	305077	3	null	null
403	5	3	42	1	401	30	0	30050201	0	820000	305078	1	304#204#604	306078#307078#308078
404	5	4	0	0	403	30	0	0	0	0	305079	2	null	null
405	5	5	43	1	403	30	0	30050301	0	850000	305080	1	204#701#523	306080#307080#308080
406	5	6	0	0	405	30	0	30050401	10007	850000	305081	3	null	null
407	5	7	44	1	405	30	0	30050501	0	880000	305082	1	204#801#45000050	306082#307082#308082
408	5	8	0	0	407	30	0	30050601	10001	880000	305083	3	null	null
409	5	9	45	1	407	30	0	30050701	0	910000	305084	1	204#605#523	306084#307084#308084
410	5	10	0	0	409	30	0	0	0	0	305085	2	null	null
411	5	11	46	1	409	30	0	30050801	0	920000	305086	1	45000030#203#606	306086#307086#308086
412	5	12	0	0	411	30	0	30050901	10008	920000	305087	3	null	null
413	5	13	47	1	411	30	0	30051001	0	970000	305088	1	804#802#606	306088#307088#308088
