Id	Type	PassiveSkillLogic	Vocation
int	int	int	mut,int#int,1
1	1	12000001	0
2	1	12000002	0
3	1	12000003	0
4	1	12000004	0
5	1	12000005	0
6	1	12000006	0
7	1	12000007	0
8	1	12000008	0
9	1	12000009	0
10	1	12000010	0
11	1	12000011	0
12	100	0	0
1011	101	0	1
1012	101	0	2
1013	101	0	3
1014	101	0	4
1015	101	0	2#3#4
1016	101	0	1#3#4
1017	101	0	1#2#4
1018	101	0	1#2#3
10000	1	12000008	0
10001	1	12000008	0
10002	1	12000008	0
10003	1	12000008	0
10004	1	12000008	0
10005	1	12000008	0
10006	1	12000008	0
10007	1	12000008	0
10008	1	12000008	0
10009	1	12000008	0
10010	1	12000008	0
10011	1	12000008	0
