Id	ReadingName	PiecesId	PiecesCount	Star	Quality	Natural	Profession	PropertyName	MaxRank	Hp	Attack	PhysicalDefence	MagicDefence	Speed	Hp_rate	Atk_rate	Def_rate	Speed_rate	SecondaryFactor	ActionPower	RankupConsumeMaterial	OpenSkillRules	OpenPassiveSkillRules	EquipTalismana	GrowthSwitch	OwnReward	Material
int	string	int	int	int	int	int	int	int	int	float	float	float	float	float	float	float	float	float	mut,int#int,2	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	mut,int#int,1	mut,int#int,1	mut,int#int,1	int
10001	2010001	6000001	50	5	5	5	4	1	13	650.0	110.0	40.0	0.0	101.0	581500.0	93480.0	66330.0	51000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#34#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2230|1#2231|3#2233	2#2232|4#2234	null	null	16#50	0
10002	2010002	6000002	50	5	5	5	3	1	13	542.0	121.0	45.0	0.0	115.0	500180.0	105190.0	60090.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#32#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2010|1#2011|3#2013	2#2012|4#2014	null	null	16#50	0
10003	2010003	6000003	50	5	5	5	3	1	13	541.0	118.0	45.0	0.0	109.0	500180.0	105190.0	60090.0	51000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#32#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2020|1#2021|3#2023	2#2022|4#2024	null	null	16#50	0
10004	2010004	6000004	50	5	5	5	4	1	13	517.0	107.0	43.0	0.0	108.0	490340.0	103230.0	58830.0	51510.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#33#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2030|1#2031|3#2033	2#2032|4#2034	null	null	16#50	0
10005	2010005	6000005	50	5	5	5	3	1	9	538.0	121.0	42.0	0.0	109.0	500810.0	105170.0	60040.0	51000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#53#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#2040|1#2041|3#2043	2#2042	null	null	16#50	0
10006	2010006	6000006	50	5	5	5	2	1	13	584.0	119.0	48.0	0.0	111.0	490410.0	103330.0	58990.0	51510.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#31#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2050|1#2051|3#2053	2#2052|4#2054	null	null	16#50	0
10007	2010007	6000007	50	5	5	5	1	1	13	640.0	91.0	52.0	0.0	110.0	575130.0	72520.0	63140.0	53040.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#33#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2060|1#2061	2#2062|3#2063|4#2064	null	null	16#50	0
10008	2010008	6000008	50	5	5	5	3	1	9	559.0	118.0	50.0	0.0	110.0	500660.0	105210.0	60130.0	51000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#31#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1	0#2070|1#2071|3#2073	2#2072	null	null	16#50	0
10009	2010009	6000009	50	5	5	5	2	1	13	543.0	113.0	49.0	0.0	106.0	490800.0	103120.0	58910.0	51510.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#34#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2080|1#2081|3#2083	2#2082|4#2084	null	null	16#50	0
10010	2010010	6000010	50	5	5	5	3	1	13	577.0	111.0	45.0	0.0	104.0	500860.0	105550.0	60200.0	51000.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#53#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#2090|1#2091|3#2093	2#2092|4#2094	null	null	16#50	0
10011	2010011	6000011	30	4	4	4	2	1	5	384.0	92.0	36.0	0.0	77.0	343550.0	72440.0	41320.0	36060.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#2100|1#2101|3#2103	2#2102	null	null	16#40	0
10012	2010012	6000012	30	4	4	4	1	1	5	484.0	66.0	32.0	0.0	83.0	403280.0	50760.0	44180.0	37130.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#2110|1#2111|3#2113	2#2112	null	null	16#40	0
10013	2010013	6000013	30	4	4	4	1	1	5	469.0	60.0	39.0	0.0	85.0	402910.0	50750.0	44170.0	37130.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#2120|1#2121|3#2123	2#2122	null	null	16#40	0
10014	2010014	6000014	30	4	4	4	2	1	5	374.0	87.0	34.0	0.0	76.0	343170.0	72210.0	41330.0	36060.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#2130|1#2131|3#2133	2#2132	null	null	16#40	0
10015	2010015	6000015	30	4	4	4	3	1	5	415.0	78.0	37.0	0.0	82.0	350680.0	73760.0	42040.0	35700.0	56#15000|53#10000|55#1000	30	5#1#2#2|5#2#22#5|5#3#21#4	0#2140|1#2141|3#2143	2#2142	null	null	16#40	0
10016	2010016	6000016	20	3	3	3	3	1	3	354.0	74.0	30.0	0.0	68.0	285760.0	60290.0	34310.0	29070.0	56#15000|53#10000|55#1000	30	null	0#2190|1#2191	2#2192	null	null	16#30	0
10017	2010017	6000017	10	2	2	2	2	1	2	261.0	50.0	23.0	0.0	53.0	220980.0	46500.0	26610.0	23180.0	56#15000|53#10000|55#1000	30	null	0#2210|1#2211	2#2212	null	null	16#20	0
10018	2010018	6000018	10	1	1	1	3	1	1	205.0	45.0	20.0	0.0	44.0	165140.0	34990.0	19880.0	16830.0	56#15000|53#10000|55#1000	30	null	0#2220|1#2221	null	null	null	16#10	0
10019	2010019	6000019	50	5	5	5	3	2	13	563.0	127.0	42.0	0.0	115.0	500870.0	106320.0	59040.0	52500.0	56#15000|53#10000|55#1000	30	6#1#3#1|6#2#52#1|6#3#23#3|7#1#23#4|8#1#23#3|8#2#24#1|9#1#3#1|9#2#23#2|9#3#24#1|10#1#3#2|10#2#24#1|10#3#17#1|11#1#4#1|11#2#17#1|12#1#4#1|12#2#18#1|13#1#4#1|13#2#27#1|13#3#18#1	0#3010|1#3011|3#3013	2#3012|4#3014	null	null	16#50	0
