Id	Level	CharacterLevelPara	SpeedLevelPara	Consume	SumConsume	RankupReturn	UnlockSoul
int	int	mut,int#int,2	float	mut,int#int,2	mut,int#int,2	mut,int#int,2	int
1	1	0	0.0	14#53|3#12	null	0	0
2	2	0	0.0	14#60|3#15	14#53|3#12	0	0
3	3	0	0.0	14#74|3#19	14#113|3#27	0	0
4	4	0	0.0	14#96|3#25	14#187|3#46	0	0
5	5	0	0.0	14#127|3#34	14#283|3#71	0	0
6	6	0	0.0	14#167|3#46	14#410|3#105	0	0
7	7	0	0.0	14#219|3#62	14#577|3#151	0	0
8	8	0	0.0	14#283|3#82	14#796|3#213	0	0
9	9	0	0.0	14#359|3#106	14#1079|3#295	0	0
10	10	0	0.0	14#449|3#136	14#1438|3#401	0	0
11	11	0	0.0	14#553|3#171	14#1887|3#537	0	0
12	12	0	0.0	14#672|3#212	14#2440|3#708	0	0
13	13	0	0.0	14#807|3#260	14#3112|3#920	0	0
14	14	0	0.0	14#958|3#315	14#3919|3#1180	0	0
15	15	0	0.0	14#1125|3#377	14#4877|3#1495	0	0
16	16	0	0.0	14#1310|3#447	14#6002|3#1872	0	0
17	17	0	0.0	14#1513|3#525	14#7312|3#2319	0	0
18	18	0	0.0	14#1735|3#613	14#8825|3#2844	0	0
19	19	0	0.0	14#1976|3#709	14#10560|3#3457	0	0
20	20	0	0.0	14#2236|3#815	14#12536|3#4166	0	0
21	21	0	0.0	14#2517|3#931	14#14772|3#4981	0	0
22	22	0	0.0	14#2818|3#1058	14#17289|3#5912	0	0
23	23	0	0.0	14#3140|3#1196	14#20107|3#6970	0	0
24	24	0	0.0	14#3484|3#1345	14#23247|3#8166	0	0
25	25	0	0.0	14#3850|3#1506	14#26731|3#9511	0	0
26	26	0	0.0	14#4238|3#1679	14#30581|3#11017	0	0
27	27	0	0.0	14#4649|3#1864	14#34819|3#12696	0	0
28	28	0	0.0	14#5084|3#2063	14#39468|3#14560	0	0
29	29	0	0.0	14#5542|3#2275	14#44552|3#16623	0	0
30	30	0	0.0	14#6025|3#2501	14#50094|3#18898	0	0
31	31	0	0.0	14#6532|3#2741	14#56119|3#21399	0	0
32	32	0	0.0	14#7065|3#2996	14#62651|3#24140	0	0
33	33	0	0.0	14#7622|3#3266	14#69716|3#27136	0	0
34	34	0	0.0	14#8206|3#3551	14#77338|3#30402	0	0
35	35	0	0.0	14#8816|3#3852	14#85544|3#33953	0	0
36	36	0	0.0	14#9453|3#4170	14#94360|3#37805	0	0
37	37	0	0.0	14#10116|3#4504	14#103813|3#41975	0	0
38	38	0	0.0	14#10807|3#4855	14#113929|3#46479	0	0
39	39	0	0.0	14#11526|3#5224	14#124736|3#51334	0	0
40	40	0	0.0	14#12273|3#5610	14#136262|3#56558	0	0
41	41	0	0.0	14#13048|3#6014	14#148535|3#62168	0	0
42	42	0	0.0	14#13852|3#6437	14#161583|3#68182	0	0
43	43	0	0.0	14#14685|3#6879	14#175435|3#74619	0	0
44	44	0	0.0	14#15548|3#7341	14#190120|3#81498	0	0
45	45	0	0.0	14#16440|3#7822	14#205668|3#88839	0	0
46	46	0	0.0	14#17363|3#8323	14#222108|3#96661	0	0
47	47	0	0.0	14#18316|3#8845	14#239471|3#104984	0	0
48	48	0	0.0	14#19301|3#9387	14#257787|3#113829	0	0
49	49	0	0.0	14#20316|3#9951	14#277088|3#123216	0	0
50	50	0	0.0	14#21363|3#10536	14#297404|3#133167	0	0
51	51	0	0.0	14#22441|3#11144	14#318767|3#143703	0	0
52	52	0	0.0	14#23552|3#11774	14#341208|3#154847	0	0
53	53	0	0.0	14#24695|3#12426	14#364760|3#166621	0	0
54	54	0	0.0	14#25871|3#13102	14#389455|3#179047	0	0
55	55	0	0.0	14#27080|3#13801	14#415326|3#192149	0	0
56	56	0	0.0	14#28323|3#14524	14#442406|3#205950	0	0
57	57	0	0.0	14#29599|3#15271	14#470729|3#220474	0	0
58	58	0	0.0	14#30909|3#16042	14#500328|3#235745	0	0
59	59	0	0.0	14#32253|3#16839	14#531237|3#251787	0	0
60	60	0	0.0	14#33632|3#17661	14#563490|3#268626	0	0
61	61	0	0.0	14#35046|3#18509	14#597122|3#286287	0	0
62	62	0	0.0	14#36495|3#19382	14#632168|3#304796	0	0
63	63	0	0.0	14#37979|3#20283	14#668663|3#324178	0	0
64	64	0	0.0	14#39499|3#21209	14#706642|3#344461	0	0
65	65	0	0.0	14#41055|3#22163	14#746141|3#365670	0	0
66	66	0	0.0	14#42647|3#23145	14#787196|3#387833	0	0
67	67	0	0.0	14#44276|3#24154	14#829843|3#410978	0	0
68	68	0	0.0	14#45942|3#25192	14#874119|3#435132	0	0
69	69	0	0.0	14#47645|3#26258	14#920061|3#460324	0	0
70	70	0	0.0	14#49385|3#27353	14#967706|3#486582	0	0
71	71	0	0.0	14#51163|3#28477	14#1017091|3#513935	0	0
72	72	0	0.0	14#52979|3#29631	14#1068254|3#542412	0	0
73	73	0	0.0	14#54833|3#30815	14#1121233|3#572043	0	0
74	74	0	0.0	14#56725|3#32029	14#1176066|3#602858	0	0
75	75	0	0.0	14#58656|3#33274	14#1232791|3#634887	0	0
76	76	0	0.0	14#60626|3#34550	14#1291447|3#668161	0	0
77	77	0	0.0	14#62636|3#35857	14#1352073|3#702711	0	0
78	78	0	0.0	14#64684|3#37196	14#1414709|3#738568	0	0
79	79	0	0.0	14#66773|3#38567	14#1479393|3#775764	0	0
80	80	0	0.0	14#68902|3#39971	14#1546166|3#814331	0	0
81	81	0	0.0	14#71070|3#41407	14#1615068|3#854302	0	0
82	82	0	0.0	14#73280|3#42877	14#1686138|3#895709	0	0
83	83	0	0.0	14#75530|3#44380	14#1759418|3#938586	0	0
84	84	0	0.0	14#77821|3#45917	14#1834948|3#982966	0	0
85	85	0	0.0	14#80153|3#47488	14#1912769|3#1028883	0	0
86	86	0	0.0	14#82527|3#49093	14#1992922|3#1076371	0	0
87	87	0	0.0	14#84942|3#50733	14#2075449|3#1125464	0	0
88	88	0	0.0	14#87400|3#52409	14#2160391|3#1176197	0	0
89	89	0	0.0	14#89899|3#54120	14#2247791|3#1228606	0	0
90	90	0	0.0	14#92442|3#55867	14#2337690|3#1282726	0	0
91	91	0	0.0	14#95026|3#57651	14#2430132|3#1338593	0	0
92	92	0	0.0	14#97654|3#59471	14#2525158|3#1396244	0	0
93	93	0	0.0	14#100325|3#61327	14#2622812|3#1455715	0	0
94	94	0	0.0	14#103039|3#63221	14#2723137|3#1517042	0	0
95	95	0	0.0	14#105797|3#65153	14#2826176|3#1580263	0	0
96	96	0	0.0	14#108599|3#67123	14#2931973|3#1645416	0	0
97	97	0	0.0	14#111445|3#69131	14#3040572|3#1712539	0	0
98	98	0	0.0	14#114335|3#71177	14#3152017|3#1781670	0	0
99	99	0	0.0	14#117270|3#73263	14#3266352|3#1852847	0	0
