Id	Type	LimitLevel	OpenLevel	LimitStar	OpenStar	ConsumeMaterial	Star	Show	SumConsume	Phase	UnlockSoul	UnlockTactics	
int	int	int	int	int	int	mut,int#int,2	int	int	mut,int#int,2	mut,int#int,1	int	int	
1	1	30	40	1	1	4#50|14#10000	1	1	null	1#1	0	0	
2	1	30	40	2	2	4#50|14#10000	2	1	null	1#1	0	0	
3	1	40	50	2	2	4#100|14#20000	2	1	null	1#2	0	0	
4	1	30	40	3	3	4#50|14#10000	3	1	null	1#1	0	0	
5	1	40	50	3	3	4#100|14#20000	3	1	null	1#2	0	0	
6	1	50	60	3	3	4#200|14#40000	3	1	null	1#3	0	0	
7	1	30	40	4	4	4#50|14#10000	4	1	null	1#1	0	0	
8	1	40	50	4	4	4#100|14#20000	4	1	null	1#2	0	0	
9	1	50	60	4	4	4#200|14#40000	4	1	null	1#3	0	0	
10	1	60	80	4	4	4#500|14#100000	4	1	null	1#4	0	0	
11	1	30	40	5	5	4#50|14#10000	5	1	null	1#1	0	0	
12	1	40	50	5	5	4#100|14#20000	5	1	null	1#2	0	0	
13	1	50	60	5	5	4#200|14#40000	5	1	null	1#3	0	0	
14	1	60	80	5	5	4#500|14#100000	5	1	null	1#4	0	0	
15	1	80	100	5	5	4#1000|14#200000	5	1	null	1#5	0	0	
16	1	100	145	6	6	4#2000|14#500000	5	1	null	1#6	0	0	
17	2	1	100	4	5	null	4	2	null	2#5	0	0	
18	2	1	145	5	6	null	5	2	null	2#6	0	1	
19	2	1	165	6	7	4#1000	5	2	null	2#7	1	0	
20	2	1	185	7	8	4#2000	5	2	null	2#8	0	0	
21	2	1	205	8	9	4#4000	5	2	null	2#9	0	0	
22	2	1	255	9	10	4#10000	5	2	null	2#10	0	0	
23	2	1	280	10	11	4#15000	5	2	null	2#11	0	1	
24	2	1	310	11	12	4#20000|6000085#20	5	2	null	2#12	0	0	
25	2	1	340	12	13	4#25000|6000085#40	5	2	null	2#13	0	0	
