Id	HeroId	Star	RankupReturn	ReturnHero	ReturnConsume
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	10001	0	null	10055#2|10001#2	16#50
2	10002	0	null	10054#2|10002#2	16#50
3	10003	0	null	10056#2|10003#2	16#50
4	10004	0	null	10054#2|10004#2	16#50
5	10005	0	null	10056#2|10005#2	16#50
6	10006	0	null	10053#2|10006#2	16#50
7	10007	0	null	10055#2|10007#2	16#50
8	10008	0	null	10054#2|10008#2	16#50
9	10009	0	null	10055#2|10009#2	16#50
10	10010	0	null	10055#2|10010#2	16#50
11	10011	0	null	10056#2|10011#2	16#50
12	10012	0	null	10053#2|10012#2	16#50
13	10013	0	null	10056#2|10013#2	16#50
14	10014	0	null	10058#2|10014#2	16#50
15	10015	0	null	10057#2|10015#2	16#50
16	10016	0	null	10053#2|10016#2	16#50
17	10017	0	null	10055#2|10017#2	16#50
18	10018	0	null	10056#2|10018#2	16#50
19	10019	0	null	10054#2|10019#2	16#50
20	10020	0	null	10053#2|10020#2	16#50
21	10021	0	null	10056#2|10021#2	16#50
22	10022	0	null	10054#2|10022#2	16#50
23	10023	0	null	10055#2|10023#2	16#50
24	10024	0	null	10048#2|10065#2	16#50
25	10025	0	null	10047#2|10066#2	16#50
26	10026	0	null	10051#2|10067#2	16#50
27	10027	0	null	10051#2|10068#2	16#50
28	10028	0	null	10051#2|10069#2	16#50
29	10029	0	null	10050#2|10070#2	16#50
30	10030	0	null	10048#2|10071#2	16#50
31	10031	0	null	10050#2|10072#2	16#50
32	10032	0	null	10050#2|10073#2	16#50
33	10033	0	null	10048#2|10074#2	16#50
34	10034	0	null	10052#2|10075#2	16#50
35	10035	0	null	10052#2|10076#2	16#50
36	10036	0	null	10049#2|10077#2	16#50
37	10037	0	null	10049#2|10078#2	16#50
38	10038	0	null	10047#2|10079#2	16#50
39	10039	0	null	10049#2|10080#2	16#50
40	10040	0	null	10047#2|10081#2	16#50
41	10041	0	null	10047#2|10082#2	16#50
42	10042	0	null	10048#2|10083#2	16#50
43	10043	0	null	10049#2|10084#2	16#50
44	10044	0	null	10052#2|10085#2	16#50
45	10045	0	null	10050#2|10086#2	16#50
46	10046	0	null	10051#2|10087#2	16#50
47	10047	0	null	10047#2|10088#2	16#50
48	10048	0	null	10048#2|10089#2	16#50
49	10049	0	null	10049#2|10090#2	16#50
50	10050	0	null	10050#2|10091#2	16#50
51	10051	0	null	10051#2|10092#2	16#50
52	10052	0	null	10052#2|10093#2	16#50
53	10053	0	null	10052#2|10093#2	16#50
54	10054	0	null	10052#2|10093#2	16#50
55	10057	0	null	10052#2|10093#2	16#50
56	10058	0	null	10052#2|10093#2	16#50
57	10059	0	null	10052#2|10093#2	16#50
58	10060	0	null	10052#2|10093#2	16#50
59	10061	0	null	10052#2|10093#2	16#50
60	10062	0	null	10052#2|10093#2	16#50
61	10063	0	null	10052#2|10093#2	16#50
62	10064	0	null	10052#2|10093#2	16#50
63	10065	0	null	10052#2|10093#2	16#50
64	10066	0	null	10052#2|10093#2	16#50
65	10067	0	null	10052#2|10093#2	16#50
66	10068	0	null	10052#2|10093#2	16#50
67	10069	0	null	10052#2|10093#2	16#50
68	10070	0	null	10052#2|10093#2	16#50
69	10071	0	null	10052#2|10093#2	16#50
70	10072	0	null	10052#2|10093#2	16#50
71	10073	0	null	10052#2|10093#2	16#50
72	10074	0	null	10052#2|10093#2	16#50
73	10075	0	null	10052#2|10093#2	16#50
74	10076	0	null	10052#2|10093#2	16#50
75	10079	0	null	10052#2|10093#2	16#50
76	10080	0	null	10052#2|10093#2	16#50
77	10081	0	null	10052#2|10093#2	16#50
78	10082	0	null	10052#2|10093#2	16#50
79	10085	0	null	10052#2|10093#2	16#50
80	10086	0	null	10052#2|10093#2	16#50
81	10087	0	null	10052#2|10093#2	16#50
82	10088	0	null	10052#2|10093#2	16#50
83	10089	0	null	10052#2|10093#2	16#50
84	10090	0	null	10052#2|10093#2	16#50
85	10001	1	14#10000|4#50	10055#2|10001#2	16#50
86	10002	1	14#10000|4#50	10055#2|10001#2	16#50
87	10003	1	14#10000|4#50	10055#2|10001#2	16#50
