Id	Type	HeroId	ReadingName	UnlockProperty	MonomerProperty	Time	IsDefault	Order	Price	HeadIcon
int	int	int	string	mut,int#int,2	mut,int#int,2	int	int	int	mut,int#int,1	mut,int#int,1
1	1000001	10001	伏羲	null	null	0	1	1	null	null
2	1000002	10002	白素贞	null	null	0	1	1	null	null
3	1000003	10003	猪八戒	null	null	0	1	1	null	null
4	1000004	10004	慈航道人	null	null	0	1	1	null	null
5	1000005	10005	妲己	null	null	0	1	1	null	null
6	1000006	10006	牛魔王	null	null	0	1	1	null	null
7	1000007	10007	唐僧	null	null	0	1	1	null	null
8	1000008	10008	精卫	null	null	0	1	1	null	null
9	1000009	10009	女儿国王	null	null	0	1	1	null	null
10	1000010	10010	孔雀明王	null	null	0	1	1	null	null
11	1000011	10011	雷震子	null	null	0	1	1	null	null
12	1000012	10012	降龙罗汉	null	null	0	1	1	null	null
13	1000013	10013	吕洞宾	null	null	0	1	1	null	null
14	1000014	10014	哪吒	null	null	0	1	1	null	null
15	1000015	10015	伏虎罗汉	null	null	0	1	1	null	null
16	1000016	10016	蚩尤	null	null	0	1	1	null	null
17	1000017	10017	嫦娥	null	null	0	1	1	null	null
18	1000018	10018	九命猫	null	null	0	1	1	null	null
19	1000019	10019	钟馗	null	null	0	1	1	null	null
20	1000020	10020	姑获鸟	null	null	0	1	1	null	null
21	1000021	10021	东陵圣母	null	null	0	1	1	null	null
22	1000022	10022	达摩	null	null	0	1	1	null	null
23	1000023	10023	孙悟空	null	null	0	1	1	null	null
24	1000024	10024	姜子牙	null	null	0	1	1	null	null
25	1000025	10025	道德天尊	null	null	0	1	1	null	null
26	1000026	10026	东华帝君	null	null	0	1	1	null	null
27	1000027	10027	孟婆	null	null	0	1	1	null	null
28	1000028	10028	石矶娘娘	null	null	0	1	1	null	null
29	1000029	10029	月光菩萨	null	null	0	1	1	null	null
30	1000030	10030	梵天	null	null	0	1	1	null	null
31	1000031	10031	彼岸花	null	null	0	1	1	null	null
32	1000032	10032	吴刚	null	null	0	1	1	null	null
33	1000033	10033	菩提树神	null	null	0	1	1	null	null
34	1000034	10034	帝释天	null	null	0	1	1	null	null
35	1000035	10035	妈祖	null	null	0	1	1	null	null
36	1000036	10036	赵公明	null	null	0	1	1	null	null
37	1000037	10037	罗刹	null	null	0	1	1	null	null
38	1000038	10038	夜叉	null	null	0	1	1	null	null
39	1000039	10039	普贤菩萨	null	null	0	1	1	null	null
40	1000040	10040	杨戬	null	null	0	1	1	null	null
41	1000041	10041	通天教主	null	null	0	1	1	null	null
42	1000042	10042	将臣	null	null	0	1	1	null	null
43	1000043	10043	太阴星君	null	null	0	1	1	null	null
44	1000044	10044	混世魔王	null	null	0	1	1	null	null
45	1000045	10045	百花仙子	null	null	0	1	1	null	null
46	1000046	10046	花木兰	null	null	0	1	1	null	null
47	1000047	10047	赤尾妖	null	null	0	1	1	null	null
48	1000048	10048	雪女	null	null	0	1	1	null	null
49	1000049	10049	娜迦	null	null	0	1	1	null	null
50	1000050	10050	菩提遗枝	null	null	0	1	1	null	null
51	1000051	10051	灵使	null	null	0	1	1	null	null
52	1000052	10052	荷莲	null	null	0	1	1	null	null
53	1000053	10053	鬼差	null	null	0	1	1	null	null
54	1000054	10054	仙灵	null	null	0	1	1	null	null
55	1000057	10057	聂小倩	null	null	0	1	1	null	null
56	1000058	10058	九婴	null	null	0	1	1	null	null
57	1000059	10059	怨鬼灵	null	null	0	1	1	null	null
58	1000060	10060	幽魂姬	null	null	0	1	1	null	null
59	1000061	10061	地藏	null	null	0	1	1	null	null
60	1000062	10062	迦楼罗	null	null	0	1	1	null	null
61	1000063	10063	伽罗尊者	null	null	0	1	1	null	null
62	1000064	10064	阿修罗	null	null	0	1	1	null	null
63	1000065	10065	木吒	null	null	0	1	1	null	null
64	1000066	10066	孟姜女	null	null	0	1	1	null	null
65	1000067	10067	梦蝶	null	null	0	1	1	null	null
66	1000068	10068	金吒	null	null	0	1	1	null	null
67	1000069	10069	火德星君	null	null	0	1	1	null	null
68	1000070	10070	水德星君	null	null	0	1	1	null	null
69	1000071	10071	九河神女	null	null	0	1	1	null	null
70	1000072	10072	灵扇仙	null	null	0	1	1	null	null
71	1000073	10073	御灵	null	null	0	1	1	null	null
72	1000074	10074	灵土	null	null	0	1	1	null	null
73	1000075	10075	蛊妖	null	null	0	1	1	null	null
74	1000076	10076	狱守	null	null	0	1	1	null	null
75	1000079	10079	初诞灵	null	null	0	1	1	null	null
76	1000080	10080	幼乾达	null	null	0	1	1	null	null
77	1000081	10081	小雏妖	null	null	0	1	1	null	null
78	1000082	10082	小道灵	null	null	0	1	1	null	null
