Id	propName	propDesc	propIcon
int	string	string	string
10001	莫扎特		X1_icon_mozhate
10002	西蒙海耶		X1_icon_ximenghaiye
10003	巴顿		X1_icon_badun
10004	爱迪生		X1_icon_aidishen
10005	德雷克		X1_icon_deleike
10006	特斯拉		X1_icon_tesila
10007	瓦特		X1_icon_wate
10008	爱因斯坦		X1_icon_aiyinsitan
10009	诺贝尔		X1_icon_nuobeier
10010	丹妮莉丝		X1_icon_dannilisi
10011	居里夫人		X1_icon_julifuren
10012	俾斯麦		X1_icon_pisimai
10013	弗兰肯斯坦		X1_icon_fulankensitan
10014	亚森罗宾		X1_icon_yasenluobing
10015	乔		X1_icon_qiao
10016	胡克		X1_icon_huke
10017	嘻哈青年		X1_icon_xihaqingnian
10018	伐木工		X1_icon_famugong
10019	真田幸村		X1_icon_zhentianxincun
10020	关羽		X1_icon_guanyu
10021	亚历山大		X1_icon_yalishanda
10022	拉拉		X1_icon_qiaodan
10023	服部半藏		X1_icon_fububanzang
10024	韩信		X1_icon_hanxin
10025	李白		X1_icon_libai
10026	阿喀琉斯		X1_icon_akaliusi
10027	成吉思汗		X1_icon_chenjisihan
10028	威廉基德		X1_icon_weilianjide
10029	佐罗		X1_icon_zuoluo
10030	斯巴达		X1_icon_sibada
10031	土方岁三		X1_icon_tufangsuisan
10032	花木兰		X1_icon_huamulan
10033	齐格飞		X1_icon_qigefei
10034	运动员		X1_icon_yundongyuan
10035	农夫		X1_icon_rongfu
10036	示巴女王		X1_icon_shiba
10037	克娄帕特拉		X1_icon_aijiyanhou
10038	贝奥武夫		X1_icon_beiaowufu
10039	荷马		X1_icon_hema
10040	拉斐尔		X1_icon_lafeier
10041	赫拉克勒斯		X1_icon_helakelesi
10042	但丁		X1_icon_danding
10043	亚瑟		X1_icon_yase
10044	薛定谔		X1_icon_xuedinge
10045	格林		X1_icon_gelin
10046	茜茜公主		X1_icon_xixigongzhu
10047	弗洛伊德		X1_icon_fuluoyide
10048	雨果		X1_icon_yuguo
10049	肖邦		X1_icon_xiaobang
10050	玛利亚		X1_icon_maliya
10051	唐吉坷德		X1_icon_tangjikede
10052	海明威		X1_icon_haimingwei
10053	服务员		X1_icon_fuwuyuan
10054	护士		X1_icon_hushi
10057	赵云		X1_icon_zhaoyun
10058	布伦谢尔德		X1_icon_bulunxieerde
10059	海伦		X1_icon_hailun
10060	南丁格尔		X1_icon_nandinggeer
10061	凯撒		X1_icon_kaisa
10062	赫克托耳		X1_icon_heketuoer
10063	雅典娜		X1_icon_yadianna
10064	李舜臣		X1_icon_lishunchen
10065	贞德		X1_icon_zhende
10066	瓦尔基里		X1_icon_waerjili
10067	帕里斯		X1_icon_palisi
10068	拿破仑		X1_icon_napolun
10069	哥白尼		X1_icon_gebaini
10070	毕达哥拉斯		X1_icon_bidagelasi
10071	罗宾汉		X1_icon_luobinghan
10072	织田信长		X1_icon_zhitianxinchang
10073	哈桑		X1_icon_hasang
10074	布鲁图斯		X1_icon_bulutusi
10075	所罗门		X1_icon_suoluomen
10076	嬴政		X1_icon_yinzhen
10077	洛基		X1_icon_luoji
10078	项羽		X1_icon_xiangyu
10079	卑弥呼		X1_icon_beimihu
10080	白起		X1_icon_baiqi
10081	弗拉德		X1_icon_fulade
10082	明智光秀		X1_icon_mingzhiguangxiu
10085	伊丽莎白		X1_icon_yilishabai
10086	血腥玛丽		X1_icon_xuexingmali
10087	弑君者詹姆		X1_icon_zhanmu
10088	开膛手杰克		X1_icon_kaitangshou
10089	尼禄		X1_icon_nilu
10090	霍恩海姆		X1_icon_huoenhaimu
20000	超能DNA		X1_icon_6xingyingxiongsuipian
11050	5星克隆体		X1_icon_DNA
11051	5星机械克隆体		X1_icon_DNA
11052	5星体术克隆体		X1_icon_DNA
11053	5星魔法克隆体		X1_icon_DNA
11054	5星秩序克隆体		X1_icon_DNA
11055	5星混沌克隆体		X1_icon_DNA
11060	6星克隆体		X1_icon_DNA
11061	6星机械克隆体		X1_icon_DNA
