Id	Type	Level	Property
int	int	int	mut,int#int,2
1	1	0	1#0|2#0
2	1	5	1#6000|2#600
3	1	10	1#12000|2#1200
4	1	15	1#18000|2#1800
5	1	20	1#24000|2#2400
6	1	25	1#30000|2#3000
7	1	30	1#36000|2#3600
8	1	35	1#42000|2#4200
9	1	40	1#48000|2#4800
10	1	45	1#54000|2#5400
11	1	50	1#60000|2#6000
12	2	0	61#0|62#0
13	2	1	61#200|62#200
14	2	2	61#400|62#400
15	2	3	61#600|62#600
16	2	4	61#800|62#800
17	2	5	61#1000|62#1000
18	2	6	61#1200|62#1200
19	2	7	61#1400|62#1400
20	2	8	61#1600|62#1600
21	2	9	61#1800|62#1800
22	2	10	61#2000|62#2000
23	2	11	61#2200|62#2200
24	2	12	61#2400|62#2400
25	2	13	61#2600|62#2600
26	2	14	61#2800|62#2800
27	2	15	61#3000|62#3000
28	2	16	61#3200|62#3200
29	2	17	61#3400|62#3400
30	2	18	61#3600|62#3600
31	2	19	61#3800|62#3800
32	2	20	61#4000|62#4000
33	2	21	61#4200|62#4200
34	2	22	61#4400|62#4400
35	2	23	61#4600|62#4600
36	2	24	61#4800|62#4800
37	2	25	61#5000|62#5000
38	2	26	61#5200|62#5200
39	2	27	61#5400|62#5400
40	2	28	61#5600|62#5600
41	2	29	61#5800|62#5800
42	2	30	61#6000|62#6000
