Skipfactor	SortId
mut,int#int,1	int
null	133
1#-1	139
-1	142
3#-1	143
601	151
401	152
21	155
19	156
null	162
null	172
3	177
4	178
1	181
null	2
null	3
null	5
null	6
null	7
-1	140
null	9
null	10
1#101	17
1#102	18
1#103	19
1#104	20
1#105	21
1#106	22
1#107	23
1#108	24
1#109	25
1#110	26
1#111	27
1#112	28
1#113	29
1#114	30
1#115	31
1	37
1	38
1	39
1	40
1	41
1	42
1#116	32
1#117	33
1#118	34
1#119	35
1#120	36
1	43
3#3011	44
3#3021	45
3#3031	46
3#3041	47
3#3051	48
3	59
3#3012	60
3#3022	61
3#3032	62
3#3042	63
3#3052	64
3#3013	75
3#3023	76
3#3033	77
3#3043	78
3#3053	79
3#3014	90
3#3024	91
3#3034	92
3#3044	93
3#3054	94
3	106
17	163
6	169
3	171
14	175
21	182
1	110
null	111
2#2	115
2#3	116
2#4	117
null	122
null	128
null	160
null	196
1	1
null	132
null	134
null	135
10024	136
3	137
null	144
10	145
1	148
201	149
101	150
502	153
501	154
23	157
0	159
18	168
30	173
31	174
8	176
null	4
null	200
null	201
null	203
null	8
-1	141
null	204
null	205
null	206
1	207
1	11
null	12
null	13
null	14
1	16
3	105
10044	164
null	112
null	113
1#1	114
1#2	118
3	119
1	120
2	121
4	123
0	124
6	125
5	126
null	129
null	131
null	130
null	158
1	179
2	180
null	183
null	186
1#1	187
1#2	188
1#3	189
1#4	190
1#5	191
2	192
null	193
null	194
null	195
1#1	197
1#2	198
1#3	199
1	202
null	203
2	209
2	210
2	211
2	212
2	213
2	214
2	215
2	216
null	217
1	218
1	219
null	237
3	225
1	227
1#1	228
1#3	229
1#2	230
null	231
null	232
null	233
null	234
null	235
null	236
null	238
null	300
null	301
2	15
2	202
4	107
59	108
1	109
12	165
19	167
4	170
62	208
63	223
null	303
null	304
null	305
null	306
null	307
5	127
null	200
2#1	138
5#1	146
3#1	147
1#1	161
9#1	166
4	184
1#1	185
3	222
1	221
1	226
3	224
1	220
null	302
null	500
null	308
null	309
