Id	ActivityId	Layer	LotteryId	Unlockitem
int	int	int	mut,int#int,1	mut,int#int,1
1001	50004	1	5011#5012#5013	6000116#10
1002	50004	2	5021#5022#5023	6000116#20
1003	50004	3	5031#5032#5033	6000116#20
1004	50004	4	5041#5042#5043	6000116#50
2001	50104	1	5111#5112#5113	6000125#10
2002	50104	2	5121#5122#5123	6000125#20
2003	50104	3	5131#5132#5133	6000125#20
2004	50104	4	5141#5142#5143	6000125#50
2101	50204	1	5211#5212#5213	6000151#10
2102	50204	2	5221#5222#5223	6000151#20
2103	50204	3	5231#5232#5233	6000151#20
2104	50204	4	5241#5242#5243	6000151#50
2201	50304	1	5311#5312#5313	6000125#10
2202	50304	2	5321#5322#5323	6000125#20
2203	50304	3	5331#5332#5333	6000125#20
2204	50304	4	5341#5342#5343	6000125#50
3001	51004	1	5411#5412#5413	6000116#10
3002	51004	2	5421#5422#5423	6000116#20
3003	51004	3	5431#5432#5433	6000116#20
3004	51004	4	5441#5442#5443	6000116#50
4001	51104	1	5511#5512#5513	6000125#10
4002	51104	2	5521#5522#5523	6000125#20
4003	51104	3	5531#5532#5533	6000125#20
4004	51104	4	5541#5542#5543	6000125#50
5001	51204	1	5611#5612#5613	6000151#10
5002	51204	2	5621#5622#5623	6000151#20
5003	51204	3	5631#5632#5633	6000151#20
5004	51204	4	5641#5642#5643	6000151#50
6001	51304	1	5711#5712#5713	6000125#10
6002	51304	2	5721#5722#5723	6000125#20
6003	51304	3	5731#5732#5733	6000125#20
6004	51304	4	5741#5742#5743	6000125#50
