Id	Reward	Pool	Weight	OpenRules	Star
int	mut,int#int,1	int	int	mut,int#int,1	int
1	10001#1	1	1	null	0
2	10002#1	1	1	null	0
3	10003#1	1	1	null	0
4	10004#1	1	1	null	0
5	10005#1	1	7	null	0
6	10006#1	1	1	null	0
7	10007#1	1	5	null	0
8	10008#1	1	7	null	0
9	10009#1	1	5	null	0
10	10010#1	1	5	null	0
11	10011#1	1	68	null	0
12	10012#1	1	68	null	0
13	10013#1	1	68	null	0
14	10014#1	1	68	null	0
15	10015#1	1	68	null	0
16	10016#1	1	2050	null	0
17	10017#1	1	0	null	0
18	10018#1	1	0	null	0
19	10019#1	1	5	null	0
20	10020#1	1	1	null	0
21	10021#1	1	1	null	0
22	10022#1	1	5	null	0
23	10023#1	1	12	null	0
24	10024#1	1	0	null	0
25	10025#1	1	1	null	0
26	10026#1	1	1	null	0
27	10027#1	1	5	null	0
28	10028#1	1	0	null	0
29	10029#1	1	85	null	0
30	10030#1	1	85	null	0
31	10031#1	1	85	null	0
32	10032#1	1	85	null	0
33	10033#1	1	2050	null	0
34	10034#1	1	0	null	0
35	10035#1	1	0	null	0
36	10036#1	1	1	null	0
37	10037#1	1	1	null	0
38	10038#1	1	7	null	0
39	10039#1	1	7	null	0
40	10040#1	1	4	null	0
41	10041#1	1	4	null	0
42	10042#1	1	1	null	0
43	10043#1	1	4	null	0
44	10044#1	1	4	null	0
45	10045#1	1	1	null	0
46	10046#1	1	1	null	0
47	10047#1	1	68	null	0
48	10048#1	1	68	null	0
49	10049#1	1	68	null	0
50	10050#1	1	68	null	0
51	10051#1	1	68	null	0
52	10052#1	1	2050	null	0
53	10053#1	1	0	null	0
54	10054#1	1	0	null	0
55	10057#1	1	0	null	0
56	10058#1	1	0	null	0
57	10059#1	1	0	null	0
58	10060#1	1	3	null	0
59	10061#1	1	1	null	0
60	10062#1	1	5	null	0
61	10063#1	1	1	null	0
62	10064#1	1	0	null	0
63	10065#1	1	1	null	0
64	10066#1	1	3	null	0
