Id	ActivityId	LuckyType	LuckyTime	ConsumeValue	ValueUp	ValueDown	RmbValue
int	int	int	int	int	int	int	int
1	901	16	1	88	308	185	0
2	901	16	2	388	543	504	0
3	901	16	3	588	888	706	6
4	901	16	4	888	1607	1066	18
5	901	16	5	1688	2532	2110	38
6	901	16	6	2888	5141	3610	68
7	901	16	7	5288	8461	6874	98
8	901	16	8	10888	18510	15243	198
9	902	16	1	88	308	185	0
10	902	16	2	388	543	504	0
11	902	16	3	588	888	706	6
12	902	16	4	888	1607	1066	18
13	902	16	5	1688	2532	2110	38
14	902	16	6	2888	5141	3610	68
15	902	16	7	5288	8461	6874	98
16	902	16	8	10888	18510	15243	198
17	903	16	1	88	308	185	0
18	903	16	2	388	543	504	0
19	903	16	3	588	888	706	6
20	903	16	4	888	1607	1066	18
21	903	16	5	1688	2532	2110	38
22	903	16	6	2888	5141	3610	68
23	903	16	7	5288	8461	6874	98
24	903	16	8	10888	18510	15243	198
25	904	16	1	88	308	185	0
26	904	16	2	388	543	504	0
27	904	16	3	588	888	706	6
28	904	16	4	888	1607	1066	18
29	904	16	5	1688	2532	2110	38
30	904	16	6	2888	5141	3610	68
31	904	16	7	5288	8461	6874	98
32	904	16	8	10888	18510	15243	198
