Id	Difficulty	Name	NextLevel	LevelLimit	MonsterGroup	Reward	RandomRewardMin	RandomReward	RecommendFightAbility	RankTime	InvasionBoss	InvasionBossReward	InvasionBossTime	InvasionBossHolding	SortId	BattleEvent
int	int	string	int	int	int	mut,int#int,1	mut,int#int,1	mut,int#int,1	int	int	mut,int#int,2	mut,int#int,2	int	int	int	mut,int#int,1
1011	1	1	1021	1	51001	205000	9101	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	1	100
1021	1	2	1031	1	51002	205001	9102	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	2	null
1031	1	3	1041	1	51003	205002	9103	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	3	null
1041	1	4	1051	1	51004	205003	9104	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	4	101#105
1051	1	5	1061	1	51005	205004	9105	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	5	null
1061	1	6	1071	1	51006	205005	9106	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	6	102
1071	1	7	1081	1	51007	205006	9107	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	7	null
1081	1	8	1091	1	51008	205007	9108	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	8	103
1091	1	9	1101	1	51009	205008	9109	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	9	null
1101	1	10	1111	1	51010	205009	9110	20002#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	10	104
1111	1	11	1121	1	51011	205010	9111	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	11	9
1121	1	12	1131	1	51012	205011	9112	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	12	null
1131	1	13	1141	1	51013	205012	9113	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	13	null
1141	1	14	1151	1	51014	205013	9114	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	14	null
1151	1	15	1161	1	51015	205014	9115	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	15	null
1161	1	16	1171	1	51016	205015	9116	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	16	null
1171	1	17	1181	1	51017	205016	9117	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	17	null
1181	1	18	1191	1	51018	205017	9118	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	18	null
1191	1	19	1201	1	51019	205018	9119	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	19	null
1201	1	20	2011	1	51020	205019	9120	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	20	null
2011	1	21	2021	1	51021	205020	9121	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	21	null
2021	1	22	2031	1	51022	205021	9122	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	22	null
2031	1	23	2041	1	51023	205022	9123	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	23	null
2041	1	24	2051	1	51024	205023	9124	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	24	null
2051	1	25	2061	1	51025	205024	9125	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	25	null
2061	1	26	2071	1	51026	205025	9126	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	26	null
2071	1	27	2081	1	51027	205026	9127	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	27	null
2081	1	28	2091	1	51028	205027	9128	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	28	null
2091	1	29	2101	1	51029	205028	9129	20002#1#20001#20069#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	29	null
2101	1	30	2111	1	51030	205029	9130	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	30	null
2111	1	31	2121	1	51031	205030	9131	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	31	null
2121	1	32	2131	1	51032	205031	9132	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	32	null
2131	1	33	2141	1	51033	205032	9133	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	33	null
2141	1	34	2151	1	51034	205033	9134	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	34	null
2151	1	35	2161	1	51035	205034	9135	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	35	null
2161	1	36	2171	1	51036	205035	9136	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	36	null
2171	1	37	2181	1	51037	205036	9137	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	37	null
2181	1	38	2191	1	51038	205037	9138	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	38	null
2191	1	39	2201	1	51039	205038	9139	20002#1#20001#20069#20070#20004	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	39	null
2201	1	40	3011	1	51040	205039	9140	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	40	null
3011	1	41	3021	1	51041	205040	9141	20002#1#20001#20069#20070#20004#20005	100	20	601011#400|601012#600	601011#210101|601012#210101	90	10800	41	null
