Id	Name	SimpleLevel	NormalLevel	DifficultyLevel	HellLevel	NightmareLevel
int	string	mut,int#int,1	mut,int#int,1	mut,int#int,1	mut,int#int,1	mut,int#int,1
1	59010003	1011#1021#1031#1041#1051#1061#1071#1081#1091#1101#1111#1121#1131#1141#1151#1161#1171#1181#1191#1201	null	null	null	null
2	59010004	2011#2021#2031#2041#2051#2061#2071#2081#2091#2101#2111#2121#2131#2141#2151#2161#2171#2181#2191#2201	null	null	null	null
3	59010005	3011#3021#3031#3041#3051#3061#3071#3081#3091#3101#3111#3121#3131#3141#3151#3161#3171#3181#3191#3201#4011#4021#4031#4041#4051#4061#4071#4081#4091#4101#4111#4121#4131#4141#4151#4161#4171#4181#4191#4201	null	null	null	null
4	59010006	5011#5021#5031#5041#5051#5061#5071#5081#5091#5101#5111#5121#5131#5141#5151#5161#5171#5181#5191#5201#6011#6021#6031#6041#6051#6061#6071#6081#6091#6101#6111#6121#6131#6141#6151#6161#6171#6181#6191#6201	null	null	null	null
5	59010007	7011#7021#7031#7041#7051#7061#7071#7081#7091#7101#7111#7121#7131#7141#7151#7161#7171#7181#7191#7201#8011#8021#8031#8041#8051#8061#8071#8081#8091#8101#8111#8121#8131#8141#8151#8161#8171#8181#8191#8201	null	null	null	null
6	59010008	9011#9021#9031#9041#9051#9061#9071#9081#9091#9101#9111#9121#9131#9141#9151#9161#9171#9181#9191#9201#10011#10021#10031#10041#10051#10061#10071#10081#10091#10101#10111#10121#10131#10141#10151#10161#10171#10181#10191#10201	null	null	null	null
7	59010009	11011#11021#11031#11041#11051#11061#11071#11081#11091#11101#11111#11121#11131#11141#11151#11161#11171#11181#11191#11201#12011#12021#12031#12041#12051#12061#12071#12081#12091#12101#12111#12121#12131#12141#12151#12161#12171#12181#12191#12201	null	null	null	null
8	59010010	13011#13021#13031#13041#13051#13061#13071#13081#13091#13101#13111#13121#13131#13141#13151#13161#13171#13181#13191#13201#14011#14021#14031#14041#14051#14061#14071#14081#14091#14101#14111#14121#14131#14141#14151#14161#14171#14181#14191#14201	null	null	null	null
9	59010011	15011#15021#15031#15041#15051#15061#15071#15081#15091#15101#15111#15121#15131#15141#15151#15161#15171#15181#15191#15201#1012#1022#1032#1042#1052#1062#1072#1082#1092#1102#1112#1122#1132#1142#1152#1162#1172#1182#1192#1202	null	null	null	null
10	59010012	1212#1222#1232#1242#1252#1262#1272#1282#1292#1302#2012#2022#2032#2042#2052#2062#2072#2082#2092#2102#2112#2122#2132#2142#2152#2162#2172#2182#2192#2202#2212#2222#2232#2242#2252#2262#2272#2282#2292#2302	null	null	null	null
11	59010013	3012#3022#3032#3042#3052#3062#3072#3082#3092#3102#3112#3122#3132#3142#3152#3162#3172#3182#3192#3202#3212#3222#3232#3242#3252#3262#3272#3282#3292#3302#4012#4022#4032#4042#4052#4062#4072#4082#4092#4102	null	null	null	null
12	59010014	4112#4122#4132#4142#4152#4162#4172#4182#4192#4202#4212#4222#4232#4242#4252#4262#4272#4282#4292#4302#5012#5022#5032#5042#5052#5062#5072#5082#5092#5102#5112#5122#5132#5142#5152#5162#5172#5182#5192#5202	null	null	null	null
13	59010015	5212#5222#5232#5242#5252#5262#5272#5282#5292#5302#6012#6022#6032#6042#6052#6062#6072#6082#6092#6102#6112#6122#6132#6142#6152#6162#6172#6182#6192#6202#6212#6222#6232#6242#6252#6262#6272#6282#6292#6302	null	null	null	null
14	59010016	7012#7022#7032#7042#7052#7062#7072#7082#7092#7102#7112#7122#7132#7142#7152#7162#7172#7182#7192#7202#7212#7222#7232#7242#7252#7262#7272#7282#7292#7302#8012#8022#8032#8042#8052#8062#8072#8082#8092#8102	null	null	null	null
15	59010017	8112#8122#8132#8142#8152#8162#8172#8182#8192#8202#8212#8222#8232#8242#8252#8262#8272#8282#8292#8302#9012#9022#9032#9042#9052#9062#9072#9082#9092#9102#9112#9122#9132#9142#9152#9162#9172#9182#9192#9202	null	null	null	null
16	59010018	9212#9222#9232#9242#9252#9262#9272#9282#9292#9302#10012#10022#10032#10042#10052#10062#10072#10082#10092#10102#10112#10122#10132#10142#10152#10162#10172#10182#10192#10202#10212#10222#10232#10242#10252#10262#10272#10282#10292#10302	null	null	null	null
17	59010019	11012#11022#11032#11042#11052#11062#11072#11082#11092#11102#11112#11122#11132#11142#11152#11162#11172#11182#11192#11202#11212#11222#11232#11242#11252#11262#11272#11282#11292#11302#12012#12022#12032#12042#12052#12062#12072#12082#12092#12102#12112#12122#12132#12142#12152#12162#12172#12182#12192#12202#12212#12222#12232#12242#12252#12262#12272#12282#12292#12302#13012#13022#13032#13042#13052#13062#13072#13082#13092#13102#13112#13122#13132#13142#13152#13162#13172#13182#13192#13202	null	null	null	null
