id	Event	Groups	isMustAppear	location
int	int	mut,int#int,2	int	mut,int#int,1
1	110009	9#18	0	0
2	110011	5#17	0	0
3	110001	7#6	0	0
4	110014	9#13	0	0
5	110015	6#16	0	0
6	110005	1#1|2#1|3#1|4#1|5#1|6#1|7#1|8#1|9#1|10#1|1#2|2#2|3#2|4#2|5#2|6#2|7#2|8#2|9#2|10#2|1#3|2#3|9#3|10#3|1#4|10#4|1#5|10#5|1#6|10#6|1#9|2#9|8#9|9#9|1#10|3#10|4#10|7#10|9#10|1#11|9#11|10#11|1#12|2#12|3#12|4#12|5#12|8#12|1#13|5#13|1#14|3#14|4#14|7#14|6#15|7#15|10#15|9#17|10#17|10#18	1	0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0#0
7	110016	5#7|8#11|3#13|8#19	1	0#0#0#0
8	110006	3#7|6#9|6#14|8#15|2#16|3#18	1	0#0#0#0#0#0
9	110017	3#11	1	0
10	110007	4#13	0	0
11	110008	8#10	0	0
