Id	TaskType	TakeItem	WasteTime	SpeedUpTake	Reward	Condition	NeedCard
int	int	mut,int#int,1	int	mut,int#int,1	mut,int#int,2	mut,int#int,2	int
1	3	79#1800	21600	16#40	16#50	1#3|2#1|2#3	3
2	4	79#1800	28800	16#50	6001021#10	1#4|2#2|2#5	3
3	6	79#1800	57600	16#60	6001024#40	1#6|2#1|2#4	3
4	3	79#1800	21600	16#40	23#4	1#3|2#1|2#2	3
5	3	79#1800	21600	16#40	6001010#10	1#3|2#1|2#2	3
6	4	79#1800	28800	16#50	6001020#10	1#4|2#1|2#4	3
7	6	79#1800	57600	16#60	19#5	1#6|2#1|2#2	3
8	3	79#1800	21600	16#40	6001013#10	1#3|2#2|2#3	3
9	4	79#1800	28800	16#50	6001022#10	1#4|2#3|2#4	3
10	6	79#1800	57600	16#60	6001023#40	1#6|2#2|2#3	3
11	3	79#1800	21600	16#40	16#50	1#3|2#1|2#3	3
12	5	79#1800	43200	16#60	6001025#20	1#5|2#2|2#3	3
13	6	79#1800	57600	16#60	92#200	1#6|2#3|2#4	3
14	3	79#1800	21600	16#40	91#5	1#3|2#2|2#3	3
15	2	79#1800	14400	16#30	16#30	1#3|2#1	2
16	4	79#1800	28800	16#50	6001012#30	1#4|2#3|2#4	3
17	5	79#1800	43200	16#60	19#2	1#5|2#2|2#3	3
18	3	79#1800	21600	16#40	6001012#10	1#3|2#1|2#3	3
19	5	79#1800	43200	16#60	20#1	1#5|2#1|2#3	3
20	6	79#1800	57600	16#60	6001022#40	1#6|2#2|2#4	3
21	3	79#1800	21600	16#40	6001011#10	1#3|2#1|2#2	3
22	4	79#1800	28800	16#50	6001011#30	1#4|2#1|2#3	3
23	5	79#1800	43200	16#60	16#200	1#4|2#2|2#3	3
24	1	79#1800	7200	16#20	23#1	1#2|2#4	2
25	4	79#1800	28800	16#50	19#1	1#4|2#3|2#4	3
26	3	79#1800	21600	16#40	23#4	1#3|2#1|2#2	3
27	4	79#1800	28800	16#50	6001023#10	1#4|2#1|2#2	3
28	6	79#1800	57600	16#60	6001025#40	1#6|2#1|2#3	3
29	3	79#1800	21600	16#40	6001014#10	1#3|2#2|2#3	3
30	4	79#1800	28800	16#50	16#100	1#4|2#1|2#2	3
31	6	79#1800	57600	16#60	16#300	1#6|2#1|2#2	3
32	2	79#1800	14400	16#30	91#2	1#3|2#1	2
33	1	79#1800	7200	16#20	23#1	1#2|2#1	2
34	4	79#1800	28800	16#50	6001013#30	1#4|2#2|2#5	3
35	5	79#1800	43200	16#60	6001022#20	1#5|2#1|2#4	3
36	1	79#1800	7200	16#20	16#10	1#2|2#3	2
37	4	79#1800	28800	16#50	19#1	1#4|2#2|2#4	3
38	1	79#1800	7200	16#20	91#1	1#2|2#2	2
39	4	79#1800	28800	16#50	6001015#30	1#4|2#1|2#3	3
40	5	79#1800	43200	16#60	6001023#20	1#5|2#2|2#4	3
41	1	79#1800	7200	16#20	6001000#20	1#2|2#1	2
42	4	79#1800	28800	16#50	19#1	1#4|2#1|2#4	3
43	4	79#1800	28800	16#50	19#1	1#4|2#3|2#1	3
44	2	79#1800	14400	16#30	91#2	1#3|2#1	2
45	4	79#1800	28800	16#50	6000087#1	1#4|2#2|2#3	3
46	2	79#1800	14400	16#30	23#2	1#3|2#4	2
47	1	79#1800	7200	16#20	60#1	1#2|2#1	2
48	2	79#1800	14400	16#30	60#2	1#3|2#1	2
49	3	79#1800	21600	16#40	60#3	1#3|2#2|2#3	3
50	4	79#1800	28800	16#50	60#5	1#4|2#3|2#4	3
51	4	79#1800	28800	16#50	60#5	1#4|2#3|2#4	3
52	4	79#1800	28800	16#50	60#5	1#4|2#3|2#4	3
53	5	79#1800	43200	16#60	61#1	1#5|2#1|2#4	3
54	6	79#1800	57600	16#60	61#2	1#6|2#3|2#4	3
55	2	79#1800	14400	16#30	6001000#40	1#3|2#2	2
56	4	79#1800	28800	16#50	23#10	1#4|2#1|2#2	3
57	5	79#1800	43200	16#60	6000088#1	1#5|2#1|2#3	3
58	2	79#1800	14400	16#30	16#30	1#3|2#2	2
59	3	79#1800	21600	16#40	6001014#10	1#3|2#2|2#3	3
60	4	79#1800	28800	16#50	6001024#10	1#4|2#2|2#3	3
61	6	79#1800	57600	16#60	6001020#40	1#6|2#1|2#3	3
62	3	79#1800	21600	16#40	6001015#10	1#3|2#1|2#3	3
63	3	79#1800	21600	16#40	6001011#10	1#3|2#1|2#2	3
64	6	79#1800	57600	16#60	6001021#40	1#6|2#2|2#3	3
65	3	79#1800	21600	16#40	6001013#10	1#3|2#2|2#3	3
66	3	79#1800	21600	16#40	6001015#10	1#3|2#1|2#3	3
67	4	79#1800	28800	16#50	6001025#10	1#4|2#2|2#5	3
68	6	79#1800	57600	16#60	20#2	1#6|2#1|2#2	3
69	3	79#1800	21600	16#40	6001010#10	1#3|2#1|2#2	3
70	3	79#1800	21600	16#40	91#5	1#3|2#2|2#3	3
71	5	79#1800	43200	16#60	6001020#20	1#5|2#1|2#4	3
72	6	79#1800	57600	16#60	6000088#2	1#6|2#3|2#4	3
73	3	79#1800	21600	16#40	6001012#10	1#3|2#1|2#3	3
74	1	79#1800	7200	16#20	16#10	1#2|2#3	2
75	4	79#1800	28800	16#50	6001014#30	1#4|2#2|2#3	3
76	5	79#1800	43200	16#60	6001021#20	1#5|2#3|2#4	3
77	1	79#1800	7200	16#20	91#1	1#2|2#2	2
78	4	79#1800	28800	16#50	19#1	1#4|2#2|2#4	3
79	1	79#1800	7200	16#20	6001000#20	1#2|2#1	2
80	4	79#1800	28800	16#50	6001010#30	1#4|2#1|2#2	3
81	5	79#1800	43200	16#60	6001024#20	1#5|2#2|2#3	3
82	2	79#1800	14400	16#30	23#2	1#3|2#3	2
83	4	79#1800	28800	16#50	19#1	1#4|2#1|2#4	3
84	5	79#1800	43200	16#60	92#100	1#5|2#1|2#4	3
85	2	79#1800	14400	16#30	6001000#40	1#3|2#3	2
