Id	Quality	Star	SiteType	Suit	BasicAttr	Sell	CanRefine	RefineCost	RefineAttrNum	RandAttr	MergeCostItem	NextId	CanChange	ChangeCost
int	int	int	int	int	mut,int#int,1	mut,int#int,2	int	mut,int#int,2	int	mut,int#int,2	mut,int#int,2	int	int	mut,int#int,1
300001	3	1	1	1	2#317	10443#4	0	null	0	null	10442#3|10441#15	301001	0	null
300002	3	1	2	1	1#3858	10443#4	0	null	0	null	10442#3|10441#15	301002	0	null
300003	3	1	3	1	2#317	10443#4	0	null	0	null	10442#3|10441#15	301003	0	null
300004	3	1	4	1	1#3858	10443#4	0	null	0	null	10442#3|10441#15	301004	0	null
300101	4	1	1	1	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	301101	0	null
300102	4	1	2	1	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	301102	0	null
300103	4	1	3	1	2#349	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#6|10441#30	301103	0	null
300104	4	1	4	1	1#4244	10443#7	1	10443#2|14#50000	1	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#6|10441#30	301104	0	null
300201	5	1	1	1	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|56#150#300|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	301201	1	16#100
300202	5	1	2	1	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	301202	1	16#200
300203	5	1	3	1	2#387	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|62#100#200|55#100#200|155#40#200|53#40#200|58#60#300|151#40#200|153#40#200	10442#12|10441#60	301203	1	16#300
300204	5	1	4	1	1#4707	10443#9	1	10443#4|14#100000	2	2#145#290|1#1765#3530|5#1#5|63#100#200|61#100#200|156#40#200|60#100#200|54#40#200|152#40#200|154#40#200	10442#12|10441#60	301204	1	16#400
301001	3	2	1	2	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	302001	0	null
301002	3	2	2	2	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	302002	0	null
301003	3	2	3	2	2#380	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	302003	0	null
301004	3	2	4	2	1#4630	10443#8|10442#1|10441#5	0	null	0	null	10442#4|10441#16	302004	0	null
