Id	MonsterId	Type	Profession	Quality	Level	Hp	Attack	PhysicalDefence	MagicDefence	Speed	SecondaryFactor	PropertyName	ElementDamageBonusFactor	ElementDamageReduceFactor	SkillList	PassiveSkillList	MonsterAi
int	int	int	int	int	int	long	int	int	int	int	mut,int#int,2	int	float	mut,float#float,1	mut,int#int,1	mut,int#int,1	mut,int#int,1
101011	10034	2	3	0	1	297	60	25	0	59	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101012	10034	2	3	0	1	297	60	25	0	59	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101013	10087	5	1	0	1	594	70	46	0	88	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	51001#51011	null	0
101014	10053	3	3	0	1	284	64	28	0	54	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101015	10053	3	3	0	1	284	64	28	0	54	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101021	10035	2	2	0	1	254	59	26	0	47	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101022	10017	1	2	0	1	283	55	26	0	55	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
101023	10088	5	1	0	1	609	73	43	0	90	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	51101#51111	null	0
101031	10034	2	3	0	1	356	60	25	0	59	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32001#32011	null	0
101032	10033	2	1	0	1	405	66	35	0	74	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	null	0
101035	10052	3	1	0	1	398	65	39	0	72	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101041	10053	3	3	0	1	284	64	28	0	54	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101042	10033	2	1	0	40	10	447	188	0	1	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31701#31711	31721	0
101051	10030	2	1	0	2	639	80	45	0	91	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31201#31211	null	0
101052	10052	3	1	0	2	431	69	43	0	75	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101053	10053	3	3	0	2	307	68	31	0	57	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101061	10013	1	1	0	30	10	300	172	0	1	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21201#21211	null	0
101062	10016	1	3	0	30	10	343	133	0	1	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	21901#21911	null	0
101063	10052	3	1	0	30	10	270	149	0	1	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	11801#11811	null	0
101071	10074	5	3	0	3	1158	196	71	0	143	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	50101#50111	null	0
101072	10087	5	1	0	3	582	81	55	0	96	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	51001#51011	null	0
101073	10087	5	1	0	3	582	81	55	0	96	53#10000|55#1000|56#15000	5	0.0	0#0#0#0#0#0	51001#51011	null	0
101081	10053	3	3	0	30	10	286	111	0	1	53#10000|55#1000|56#15000	3	0.0	0#0#0#0#0#0	12101#12111	null	0
101082	10035	2	2	0	30	10	249	82	0	1	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	32201#32211	null	0
101083	10031	2	3	0	30	10	481	205	0	1	53#10000|55#1000|56#15000	2	0.0	0#0#0#0#0#0	31301#31311	null	0
101091	10017	1	2	0	3	327	64	31	0	60	53#10000|55#1000|56#15000	1	0.0	0#0#0#0#0#0	22101#22111	null	0
