Id	Formation	Contents	Rewardgroup
int	int	mut,int#int,2	mut,int#int,1
1	1	50001#0#0#0#0	null
2	1	50002#0#0#0#0	null
3	1	50003#0#0#0#0	null
4	1	50004#0#0#0#0	null
5	1	50005#0#0#0#0	null
10001	1	1000001#1000002#1000003#1000004#1000005	null
100001	1	10001#0#0#0#0	null
100002	1	10002#10003#10004#0#0	null
100003	1	10005#10006#10007#0#0	null
100004	1	10008#0#0#0#0	null
100005	1	10009#10010#10011#0#0	null
100006	1	10012#10013#10014#0#0	null
100007	1	10015#10016#10017#10018#10019	null
10101	1	10101#0#0#0#0	40001#40001
10102	1	10102#0#0#0#0	40001
10103	1	10104#10103#10105#0#0	3001
10104	1	20111#20112#20113#20114#20115	3001
10105	1	20121#20122#20123#20124#20125	3001
10201	1	10201#0#0#0#0	40002
10202	1	10202#0#0#0#0	3006
10203	1	10202#10203#0#0#0|10204#0#0#0#0	3006
10204	1	10205#0#0#0#0	40002#40002#55001
10205	1	10206#0#0#0#0	40002#40002#55001
10206	1	20211#20212#20213#20214#20215	3006#55003
10207	1	10208#0#0#0#0	40002#40002#55001
10208	1	10209#0#0#0#0	40002#40002#40002
10209	1	10210#0#0#0#0	40002#40002#40002#55003#55003
10210	1	20221#20222#20223#20224#20225	40002#55003#55003
10301	1	10301#0#0#0#0	40003
10302	1	10302#0#0#0#0	3011
10303	1	10303#0#0#0#0	3011
10304	1	10304#0#0#0#0	40003#52
10305	1	10305#10306#10307#0#0	40003
10306	1	20311#20312#20313#20314#20315	3011
10307	1	10308#0#0#0#0	40003#40003#52
10308	1	10309#0#0#0#0	40003#40003
10309	1	20321#20322#20323#20324#20325	40003
10401	1	10401#0#0#0#0	40004
10402	1	10402#0#0#0#0	40004
10403	1	10403#0#0#0#0	40004
10404	1	20411#20412#20413#20414#20415	3018
10405	1	10404#0#0#0#0	3018
10406	1	10405#0#0#0#0	40004
10407	1	20421#20422#20423#20424#20425	40004
10501	1	20511#20512#20513#20514#20515	3020
10502	1	10501#0#0#0#0	40005#55024
10503	1	10502#0#0#0#0	3020
10504	1	20521#20522#20523#20524#20525	3020
10505	1	20514#20514#20514#20514#20514	40005#55023
10506	1	10503#0#0#0#0	3020
10507	1	10503#0#0#0#0	3020
10508	1	10503#0#0#0#0	3020
10601	1	10601#0#0#0#0	3026
10602	1	10602#0#0#0#0	40006#54
10603	1	20611#20612#20613#20614#20615	3028
10604	1	20621#20622#20623#20624#20625	3028
10605	1	10603#10604#10605#0#0	3028
10701	1	10701#0#0#0#0	3031
10702	1	10701#10702#10703#0#0|10701#10702#10703#0#0|10701#0#0#0#0	3031
10703	1	10704#0#0#0#0	3031
10704	1	20711#20712#20713#20714#20715	40007#55007
10705	1	10705#0#0#0#0	3031#55025
10706	1	10706#0#0#0#0	40007#55026
10707	1	10707#0#0#0#0	40007#40007#55027
10708	1	10708#0#0#0#0	40007
10709	1	20721#20722#20723#20724#20725	40007
10710	1	10709#0#0#0#0	40007#55032
10711	1	10710#0#0#0#0	40007#55#55007#55033
10712	1	10709#0#0#0#0	40007
10801	1	10801#0#0#0#0	40008
10802	1	10802#0#0#0#0	40008#55
10803	1	10803#0#0#0#0	40008
10804	1	10804#0#0#0#0	3034
10805	1	10805#0#0#0#0	40008
10806	1	20811#20812#20813#20814#20815	3034
10807	1	20821#20822#20823#20824#20825	3034
10901	1	10902#10901#10903#0#0	3038
10902	1	10904#0#0#0#0	40009#56
10903	1	10905#0#0#0#0	40009
10904	1	10906#0#0#0#0	3038
10905	1	10907#0#0#0#0	3038
10906	1	10908#0#0#0#0	40009#40009
10907	1	20911#20912#20913#20914#20915	3038
11001	1	11003#0#0#0#0	40010
11002	1	11005#0#0#0#0	40010#55015
11003	1	11003#11002#11004#0#0|11003#11002#11004#0#0|11003#0#0#0#0	3041
11004	1	11001#0#0#0#0	40010
11005	1	11006#0#0#0#0	40010#56
11006	1	11003#11002#11004#0#0	3041
11007	1	11003#11002#11004#0#0	3041
11008	1	21011#21012#21013#21014#21015	3041
11009	1	21021#21022#21023#21024#21025	3041
11010	1	11007#11008#0#0#0	40010
11011	1	11009#11007#11008#0#0	40010#52
11012	1	11011#0#0#0#0	40010#40010#40010
11013	1	11011#11009#11010#0#0	40010#40010#40010#56
11014	1	11012#0#0#0#0	40010#40010#40010#56
11101	1	11101#0#0#0#0	40011#56#55038#55041
11102	1	11102#0#0#0#0	40011
11103	1	21111#21112#21113#21114#21115	3038#55037
11104	1	21121#21122#21123#21124#21125	3038#55038
11105	1	11103#0#0#0#0	40011#56
11201	1	11201#0#0#0#0	40012#40012#40012
11202	1	11202#0#0#0#0	40012#40012#40012
11203	1	11203#0#0#0#0	40012#40012#40012
11204	1	11204#0#0#0#0	40012#40012#40012
11205	1	11205#0#0#0#0	40012#40012#40012#58
11206	1	11206#0#0#0#0	40012
11207	1	11207#0#0#0#0	40012
11208	1	11208#0#0#0#0	40012
11209	1	11209#0#0#0#0	40012
11210	1	11210#0#0#0#0	40012
11211	1	11211#0#0#0#0	40012#40012
11212	1	11212#0#0#0#0	40012#40012#40012#58
11213	1	21211#21212#21213#21214#21215	3048
11214	1	21221#21222#21223#21224#21225	3048
11301	1	11301#0#0#0#0	40013
11302	1	11302#0#0#0#0	40013#40013#58
11303	1	11303#0#0#0#0	40013#58
11304	1	11304#0#0#0#0	40013#40013#40013
11305	1	11305#0#0#0#0	40013#40013#40013
11306	1	11306#0#0#0#0	40013#40013#40013
11307	1	21311#21312#21313#21314#21315	3058
11308	1	21321#21322#21323#21324#21325	3058
11401	1	11401#0#0#0#0	40014
11402	1	21411#21412#21413#21414#21415	3068#55011
11403	1	11405#0#0#0#0	40014
11404	1	11406#0#0#0#0	40014#40014#55018
11405	1	11407#11408#0#0#0	3068
11406	1	11409#0#0#0#0	40014
11407	1	11409#11407#11408#0#0	40014#40014
11408	1	11410#0#0#0#0	40014#40014#59
11409	1	21421#21422#21423#21424#21425	40014#55011#55011
11501	1	11501#0#0#0#0	3073
11502	1	11502#11503#11504#0#0|11502#11503#11504#0#0|11502#0#0#0#0	3073
11503	1	11505#0#0#0#0	40015#40015#40015#59
