Id	Type	NextId	Level	UnlockSite	RiseSite	Step	Cost	Attr
int	int	int	int	int	int	int	mut,int#int,2	mut,int#int,2
1	1	2	1	1	0	0	14#100000|10425#5	2#1500|3#57|1#13500|5#42
2	1	3	2	1	0	0	14#120000|10425#6	2#1650|3#61|1#14850|5#46
3	1	4	3	1	0	0	14#120000|10425#6	2#1800|3#65|1#16200|5#50
4	1	5	4	1	0	0	14#140000|10425#7	2#1950|3#69|1#17550|5#54
5	1	6	5	1	0	0	14#140000|10425#7	2#2100|3#73|1#18900|5#58
6	1	7	6	1	0	0	14#160000|10425#8	2#2250|3#77|1#20250|5#62
7	1	8	7	1	0	0	14#160000|10425#8	2#2400|3#81|1#21600|5#66
8	1	9	8	1	0	0	14#180000|10425#9	2#2550|3#85|1#22950|5#70
9	1	10	9	1	0	0	14#180000|10425#9	2#2700|3#89|1#24300|5#74
10	2	11	10	1	0	0	10424#10|10425#30	2#2850|3#93|1#25650|5#78
11	1	12	10	2	0	1	14#200000|10425#10	2#3000|3#97|1#27000|5#82
12	1	13	11	2	0	1	14#200000|10425#10	2#3150|3#101|1#28350|5#86
13	1	14	12	2	0	1	14#220000|10425#11	2#3300|3#105|1#29700|5#90
14	1	15	13	2	0	1	14#220000|10425#11	2#3450|3#109|1#31050|5#94
15	1	16	14	2	0	1	14#240000|10425#12	2#3600|3#113|1#32400|5#98
16	1	17	15	2	0	1	14#240000|10425#12	2#3750|3#117|1#33750|5#102
17	1	18	16	2	0	1	14#260000|10425#13	2#3900|3#121|1#35100|5#106
18	1	19	17	2	0	1	14#260000|10425#13	2#4050|3#125|1#36450|5#110
19	1	20	18	2	0	1	14#280000|10425#14	2#4200|3#129|1#37800|5#114
20	1	21	19	2	0	1	14#280000|10425#14	2#4350|3#133|1#39150|5#118
21	1	22	20	2	0	1	14#300000|10425#15	2#4500|3#137|1#40500|5#122
22	1	23	21	2	0	1	14#300000|10425#15	2#4650|3#141|1#41850|5#126
23	1	24	22	2	0	1	14#320000|10425#16	2#4800|3#145|1#43200|5#130
24	1	25	23	2	0	1	14#320000|10425#16	2#4950|3#149|1#44550|5#134
25	1	26	24	2	0	1	14#340000|10425#17	2#5100|3#153|1#45900|5#138
26	1	27	25	2	0	1	14#340000|10425#17	2#5250|3#157|1#47250|5#142
27	1	28	26	2	0	1	14#360000|10425#18	2#5400|3#161|1#48600|5#146
28	1	29	27	2	0	1	14#360000|10425#18	2#5550|3#165|1#49950|5#150
29	1	30	28	2	0	1	14#380000|10425#19	2#5700|3#169|1#51300|5#154
30	1	31	29	2	0	1	14#380000|10425#19	2#5850|3#173|1#52650|5#158
31	2	32	30	2	0	1	10424#20|10425#60	2#6000|3#177|1#54000|5#162
32	1	33	30	3	0	2	14#400000|10425#20	2#6000|3#177|1#54000|5#162
33	1	34	31	3	0	2	14#400000|10425#20	2#9290|3#205|1#83610|5#187
34	1	35	32	3	0	2	14#420000|10425#21	2#9580|3#209|1#86220|5#191
35	1	36	33	3	0	2	14#420000|10425#21	2#9870|3#213|1#88830|5#195
36	1	37	34	3	0	2	14#440000|10425#22	2#10160|3#217|1#91440|5#199
37	1	38	35	3	0	2	14#440000|10425#22	2#10450|3#221|1#94050|5#203
38	1	39	36	3	0	2	14#460000|10425#23	2#10740|3#225|1#96660|5#207
39	1	40	37	3	0	2	14#460000|10425#23	2#11030|3#229|1#99270|5#211
40	1	41	38	3	0	2	14#480000|10425#24	2#11320|3#233|1#101880|5#215
41	1	42	39	3	0	2	14#480000|10425#24	2#11610|3#237|1#104490|5#219
42	1	43	40	3	0	2	14#500000|10425#25	2#11900|3#241|1#107100|5#223
43	1	44	41	3	0	2	14#500000|10425#25	2#12190|3#245|1#109710|5#227
44	1	45	42	3	0	2	14#520000|10425#26	2#12480|3#249|1#112320|5#231
45	1	46	43	3	0	2	14#520000|10425#26	2#12770|3#253|1#114930|5#235
46	1	47	44	3	0	2	14#540000|10425#27	2#13060|3#257|1#117540|5#239
47	1	48	45	3	0	2	14#540000|10425#27	2#13350|3#261|1#120150|5#243
48	1	49	46	3	0	2	14#560000|10425#28	2#13640|3#265|1#122760|5#247
49	1	50	47	3	0	2	14#560000|10425#28	2#13930|3#269|1#125370|5#251
50	1	51	48	3	0	2	14#580000|10425#29	2#14220|3#273|1#127980|5#255
51	1	52	49	3	0	2	14#580000|10425#29	2#14510|3#277|1#130590|5#259
52	1	53	50	3	0	2	14#600000|10425#30	2#14800|3#281|1#133200|5#263
53	1	54	51	3	0	2	14#600000|10425#30	2#15090|3#285|1#135810|5#267
54	1	55	52	3	0	2	14#620000|10425#31	2#15380|3#289|1#138420|5#271
55	1	56	53	3	0	2	14#620000|10425#31	2#15670|3#293|1#141030|5#275
56	1	57	54	3	0	2	14#640000|10425#32	2#15960|3#297|1#143640|5#279
57	1	58	55	3	0	2	14#640000|10425#32	2#16250|3#301|1#146250|5#283
58	1	59	56	3	0	2	14#660000|10425#33	2#16540|3#305|1#148860|5#287
59	1	60	57	3	0	2	14#660000|10425#33	2#16830|3#309|1#151470|5#291
60	1	61	58	3	0	2	14#680000|10425#34	2#17120|3#313|1#154080|5#295
61	1	62	59	3	0	2	14#680000|10425#34	2#17410|3#317|1#156690|5#299
62	2	63	60	3	0	2	10424#30|10425#90	2#17700|3#321|1#159300|5#303
63	1	64	60	4	0	3	14#700000|10425#35	2#6000|3#177|1#54000|5#162
64	1	65	61	4	0	3	14#700000|10425#35	2#25620|3#385|1#230580|5#360
65	1	66	62	4	0	3	14#720000|10425#36	2#26040|3#389|1#234360|5#364
66	1	67	63	4	0	3	14#720000|10425#36	2#26460|3#393|1#238140|5#368
67	1	68	64	4	0	3	14#740000|10425#37	2#26880|3#397|1#241920|5#372
68	1	69	65	4	0	3	14#740000|10425#37	2#27300|3#401|1#245700|5#376
69	1	70	66	4	0	3	14#760000|10425#38	2#27720|3#405|1#249480|5#380
70	1	71	67	4	0	3	14#760000|10425#38	2#28140|3#409|1#253260|5#384
