Id	Type	Values
int	int	mut,int#int,2
1	2	1503#1
2	3	1#5#3
3	3	1#2#3
4	1	1#101016#101112
5	1	1#102022#102061
6	2	1503#1
7	3	1#3#3
8	3	1#4#3
9	3	1#2#3
10	4	2#3
11	4	6#1
12	2	1503#1
13	0	null
14	0	null
15	4	9#1
10000	7	null
10001	2	14#40000
10201	2	1521#10|1522#10
10202	2	1521#10
10203	2	1522#6
10204	8	null
10205	8	null
10301	2	14#50000
10302	6	0#4#5
10303	8	null
10304	8	null
10305	8	null
10306	8	null
10307	8	null
10308	8	null
10401	2	1527#15
10402	2	1528#1|1529#2
10403	5	1527#15
10501	2	1530#1|1531#3
10502	6	0#6#7
10503	6	0#6#4
10701	2	14#100000
10702	2	14#200000
10703	5	1532#10
10704	5	1532#8
10705	5	1532#6
10706	2	1532#10
10707	2	1533#70
10708	2	1532#1
10801	6	0#9#5
10802	6	1#9#5
10803	6	0#9#9
10804	6	1#9#9
10901	6	0#10#6
10902	6	1#10#6
10903	2	1534#10
11001	2	1535#15
11002	2	1536#1
11003	2	1535#11
11101	2	1523#1|1524#1|1525#10
11102	2	1522#1
11103	2	1522#3
11104	2	1522#4|1537#1
11105	2	1522#6|1537#2
11201	2	1538#1|1539#1|1540#1|1541#1
11301	6	0#14#4
11401	2	1526#15
11402	2	1542#1|1543#1|1544#1
11403	8	null
11501	6	0#16#4
11502	2	14#15000
11503	2	14#5000
11504	2	1545#1|1546#1|1547#1
11601	2	1531#2
11602	6	0#17#7
11701	2	14#50000
11702	6	0#18#7
11801	6	0#19#4
11802	6	0#19#8
11901	6	0#20#3
12001	6	0#21#4
12002	6	0#21#11
12003	6	0#21#12
12004	2	1550#2
20101	2	1529#4
20102	6	0#101#1
20103	2	1530#1
300101	2	1548#6
300201	2	1548#6
300301	2	1548#6
300401	2	1548#6
301101	2	1549#2
301102	2	14#10000
301103	2	14#50000
301104	2	14#80000
301105	2	14#120000
301106	2	14#200000
301201	2	1549#2
301202	2	14#10000
301203	2	14#50000
301204	2	14#80000
301205	2	14#120000
301206	2	14#200000
301301	2	1549#2
301302	2	14#10000
301303	2	14#50000
301304	2	14#80000
301305	2	14#120000
301306	2	14#200000
301401	2	1549#2
301402	2	14#10000
301403	2	14#50000
301404	2	14#80000
301405	2	14#120000
301406	2	14#200000
302101	2	14#500
302102	2	1554#1
302103	2	1551#3
302104	2	1552#2
302105	2	1552#1
302106	2	1553#1
302201	2	14#500
302202	2	1554#1
302203	2	1551#3
302204	2	1552#2
302205	2	1552#1
302206	2	1553#1
302301	2	14#500
302302	2	1554#1
302303	2	1551#3
302304	2	1552#2
302305	2	1552#1
302306	2	1553#1
302401	2	14#500
302402	2	1554#1
302403	2	1551#3
302404	2	1552#2
302405	2	1552#1
302406	2	1553#1
303101	6	1#2041#4
303102	6	0#2041#4
303103	2	14#5000
303104	2	14#10000
303105	2	14#20000
303106	2	14#50000
303107	2	14#80000
303201	6	1#2042#4
303202	6	0#2042#4
303203	2	14#5000
303204	2	14#10000
303205	2	14#20000
303206	2	14#50000
303207	2	14#80000
303301	6	1#2043#4
303302	6	0#2043#4
303303	2	14#5000
303304	2	14#10000
303305	2	14#20000
303306	2	14#50000
303307	2	14#80000
303401	6	1#2044#4
303402	6	0#2044#4
303403	2	14#5000
303404	2	14#10000
303405	2	14#20000
303406	2	14#50000
303407	2	14#80000
400101	9	4002
400102	10	null
400103	3	0#1#5000
400104	3	0#4#2500
400105	2	1557#1
400106	2	1558#1
400107	2	1559#1
400108	2	1560#1
400109	2	1561#1
400201	2	1562#1
500102	10	null
500103	2	1563#1
500104	2	1564#1
500105	2	1565#2
500106	2	1566#8
500107	2	1567#2
500108	2	1568#1
500109	2	null
2001007	2	45#50
2001008	2	45#100
2001009	2	45#180
2001010	2	45#50
2001011	2	45#100
2001012	2	45#180
2001013	2	45#50
2001014	2	45#100
2001015	2	45#180
2001016	2	45#50
2001017	2	45#100
2001018	2	45#180
