Id	AddConditionID	BehaviorType	BehaviorTypeValues	Reward	JumpType	JumpTypeValues
int	int	int	mut,int#int,2	mut,int#int,1	int	mut,int#int,2
100001	0	5	0	null	4	null
100002	0	0	null	null	0	null
100003	0	0	null	null	1	100003
100004	0	0	null	null	0	null
100005	0	0	null	null	1	100004
100006	0	0	null	null	1	100005
100007	0	0	null	null	1	100006
100008	0	0	null	null	1	100007
100009	0	0	null	null	1	100008
100010	0	0	null	null	1	100009
100011	0	9	1	null	4	null
100012	0	1	10001	null	1	100011
100013	0	13	1	null	1	100012
100014	0	15	100004	null	4	null
100015	0	45	0#10101|300103|101	null	1	100014
100016	0	45	1#10101|300103|102	null	1	100014
100017	0	1	300103	null	1	100014
100018	0	0	null	null	4	null
100019	0	15	100006	null	4	null
100020	0	0	null	null	4	null
100021	0	0	null	null	1	100020
100022	0	0	null	null	1	100021
100023	0	0	null	null	1	100022
100024	0	15	100003	null	4	null
100025	0	0	null	null	0	null
100026	0	0	null	null	4	null
100027	0	0	null	null	1	null
100028	0	0	null	null	1	null
100029	0	0	null	null	1	null
100030	0	0	null	null	1	null
100031	0	0	null	null	1	null
100032	0	0	null	null	4	null
100033	0	0	null	null	1	null
100034	0	0	null	null	4	null
100035	0	0	null	null	1	100034
100036	0	0	null	null	1	100035
100037	0	0	null	null	1	100035
100038	0	0	null	null	1	100035
100039	0	1	10110	null	1	100036
100040	0	6	2	null	1	100036
100041	1	2	1503#1	null	1	100036
100042	0	0	null	null	1	100036
100043	0	0	null	700001	1	100037
100044	0	30	101#14#13#100006	null	1	100037
100045	0	13	2	null	1	100037
100046	0	0	null	null	1	100014
100047	0	0	null	null	1	100038
100048	0	15	100005	null	4	null
100049	0	0	null	null	1	100039
100050	0	15	100005	null	4	null
100051	0	15	100005	null	4	null
100052	0	0	null	null	1	100041
100053	0	0	null	null	1	100049
100054	0	0	null	null	1	100042
100055	0	0	null	null	1	100049
100056	0	0	null	null	1	100049
100057	0	0	null	null	1	100049
100058	0	0	null	null	1	100044
100059	0	9	1	null	4	null
