Id	Sex	Name	Sur_name
int	int	string	string
1	1	雷	布兰德
2	1	卡梅隆	邓肯
3	1	安德鲁	霍华德
4	1	内森	华莱士
5	1	哈利	吉布森
6	1	安格斯	安德森
7	1	文斯	亨特
8	1	桥尔	刘易斯
9	1	拜伦	科林斯
10	1	保罗	特里
11	1	史蒂夫	戴维斯
12	1	杰拉德	威尔逊
13	1	伯	格雷
14	1	理查德	奥斯卡
15	1	斯德尔	亚当斯
16	1	凯尔	泰勒
17	1	路易斯	伍德
18	1	托尼	汤姆森
19	1	克里斯	威尔力
20	1	杰瑞	米歇尔
21	1	汤姆	莫利
22	1	达尔	奈特
23	1	萨米	雅各布
24	1	马克	李
25	1	鲍比	洛佩斯
26	1	查理	斯科特
27	1	卢克	西蒙
28	1	莱恩	拉塞尔
29	1	尼克	格里芬
30	1	迈克尔	摩根
31	1	贾森	拜尔德
32	1	杜克	库克
33	1	班奈特	霍尔
34	1	约翰	特纳
35	1	肖恩	肯特
36	1	加里	雷克
37	1	里奥	韦尔
38	1	丹尼斯	阿尔瓦
39	1	范	朗曼
40	1	乔治	肖维斯
41	1	布拉德	哈代
42	1	冯	布雷恩
43	1	温斯顿	伯德
44	1	菲德尔	克顿
45	1	弗兰克	布施
46	1	丁顿	汉德
47	1	艾伯特	扬
48	1	巴伦	艾伦
49	1	阿狄森	卡特
50	1	梅西	马修
51	1	奥斯汀	海耶斯
52	1	巴沙	杰克逊
53	1	鲍德温	乔丹
54	1	巴纳德	威尔士
55	1	贝克	琼斯
56	1	贝基	约翰逊
57	1	贝洛克	罗斯福
58	1	鲍恩	斯洛
59	1	布雷	迪奥普
60	1	布罗德	莱格
61	1	布克尔	福特
62	1	布罗特	贝尔
63	1	布莱迪	艾马尔
64	1	查利	希尔
65	1	契布曼	怀尔
66	1	迪福	亨利
67	1	杜威	费舍尔
68	1	狄龙	米勒
69	1	多德	阿尔文
70	1	邓巴	克拉克
71	1	菲尔德	巴尔克
72	1	弗朗	葛列格
73	1	弗里曼	克莱得
74	1	加拉赫	费恩
75	1	吉本	安迪
76	1	格兰特	安东尼
77	1	海登	赖安
78	1	希尔斯	李莉斯
79	1	阿道夫	所罗门
80	1	尼尔	克劳德
81	1	马库斯	布鲁克
82	1	安德烈	海曼
83	1	安其罗	潼恩
84	1	凯理	伊夫力
85	1	哈里森	伊甸
86	1	查德	文森特
87	1	夫兰	亚岱尔
88	1	考尔比	布兹
89	1	代维	吉罗德
90	1	爱德华	旅笛
91	1	艾利克	亚伦
92	1	克斯	弗瑞德
93	1	哥达	巴泽尔
94	1	伯特	哈威
95	1	里格斯	德文
96	1	姆斯	雷欧
97	1	内兹	迪姆
98	1	德斯	杰罗姆
99	1	普斯	洛克
100	1	西斯	罗伦
101	1	斯坦利	格林顿
102	1	雅尼克	艾布特
103	1	德里克	斯考特
104	1	莱斯利	汉特
105	1	爱罗伊	亚力士
106	1	托马斯	哈乐德
107	1	弗恩	詹姆斯
108	1	比尔	杰伊
109	1	丹尼	鲁宾逊
110	1	凯希	詹森
111	1	弗罗拉	布莱克
112	1	约瑟夫	凯撒
113	1	达伦	林赛
114	1	雷奥	晓恩
115	1	吉米	宝儿
116	1	伊凡	巴里
117	1	巴特	巴里特
118	1	亚瑟	戴夫
119	1	加尔	罗伊
120	1	狄克	凯斯
121	1	艾萨克	爱尔玛
122	1	格林	肯
123	1	亚当	迪恩
124	1	肯尼	波顿
125	1	达尼尔	巴德
126	1	塞缪尔	肯尼迪
127	2	贝基	伊迪萨
128	2	达莲娜	萨拉
129	2	尼基塔	黛西
130	2	米琪	夏洛特
131	2	伊娃	爱沙拉
132	2	阿狄森	伊温妮
133	2	海莉	玛吉
134	2	艾许莉	比其儿
135	2	丝特勒	奥斯汀
136	2	佩儿	米娅
137	2	乔娜	安吉拉
138	2	吉尔	丽塔
139	2	菲利丝	妮可拉
140	2	艾薇儿	莫妮卡
141	2	蕾贝	利亚
142	2	蕾妮	玛莎 
143	2	卓拉	坎蒂丝
144	2	帕梅拉	莉莎
145	2	温娜	萨瓦娜
146	2	雪莉尔	克斯
147	2	梅米	克莱拉
148	2	梅利莎	特蕾西
149	2	玛丽娅	安琪
150	2	菲奥娜	克莉丝
151	2	罗丝	贝斯
152	2	黛娜	卡米拉
153	2	尤多拉	克莱尔
154	2	露茜	凯拉
155	2	格蕾丝	曼迪
156	2	雷奥妮	蒂娜
157	2	丝塔茜	伊莲恩
158	2	贝蒂	依娃
159	2	海尔	布伦达
160	2	海伦	梅根
161	2	诺玛	卡拉
162	2	露西妮	姬玛
163	2	海柔儿	洛拉
164	2	汉娜	凯琳
165	2	詹妮佛	黛碧
166	2	桃瑞丝	蕾西
167	2	艾文	朱恩
168	2	布莱兹	贝迪
169	2	波莉	帕姬
170	2	拉克丝	姬尔
171	2	辛蒂	乔茜
172	2	卡罗琳	金克斯
173	2	杰西	玛姬
174	2	伊梦尔	旺达
175	2	凯罗尔	莎拉
176	2	苔丝	苏菲
177	2	安伯	塔莎
178	2	凯尔西	辛迪
179	2	埃尔莎	芭迪
180	2	艾美	艾薇
181	2	婕西	保拉
182	2	雪莉	珍娜
183	2	露丝	黛芙妮
184	2	梅琳达	艾米
185	2	妮娜	黛安妮
186	2	伊芙琳	坎蒂
187	2	科琳娜	莉莲
188	2	艾拉	维姬
189	2	奥黛丽	莉莉
190	2	温妮	康妮
191	2	琳	娅娃
192	2	莫甘娜	汉纳
193	2	妮可	莫琳
194	2	美洛蒂	艾希
195	2	捞尔斯	柏莎
196	2	詹妮	朱莉
197	2	米歇尔	瑞娅
198	2	塞琳娜	桑迪
199	2	黛布拉	克丽丝
200	2	罗兰	曼妮
201	2	玛乔丽	贝丝
202	2	艾米丽	芭比
203	2	乔斯林	埃拉
204	2	爱玛	菲比
205	2	苏姗	奥帕
206	2	格吉尔	萨妮
207	2	尼娜	多琳
208	2	梅莉	锐雯
209	2	维纳斯	玛米
210	2	尤娜	汉妮
211	2	狄安娜	瑞文
212	2	切莉	薇莎
213	2	棠雅	南茜
214	2	奥丽芙	尔莎
215	2	贝拉	吉娜
216	2	笆笆拉	萝拉
217	2	维达	赫芙拉
218	2	科拉	格瑞丝
219	2	茱蒂	尤杜拉
220	2	邦妮	米洛娃
221	2	绮莉	玛克辛
222	2	尤兰达	芙丽娅
223	2	凯瑟琳	曼蒂
224	2	特莉萨	杰西卡
225	2	露西	赫迪娜
226	2	尓莎	爱莉丝
227	2	丽贝卡	斯嘉丽
228	2	南希	迈雪儿
229	2	欧蕊	约瑟芬
230	2	卡门	爱丝特
231	2	丽娅	艾琳娜
232	2	莉娜	戴安娜
233	2	厄瑞妮	希维
234	2	露西亚	希维尔
235	2	玛西娅	埃莉卡
236	2	葛瑞丝	娜塔莉
237	2	艾莉	稀拉拉
238	2	妮蒂亚	娜塔莎
239	2	沙琳	百丽儿
240	2	莉迪亚	萨曼莎
241	2	潘妮	卡瑞娜
242	2	丝提	耶达
243	2	妮莉雅	厄里斯
244	2	泰丝	塞丽娜
245	2	斯莱瑞	薇薇安
246	2	琳达	黛博拉
247	2	爱伦	海伦娜
248	2	德美	梅维丝
249	2	穆琳	艾莉尔
250	2	梅甘	艾里尔
251	2	阿曼达	卡瑞达
252	2	梵妮	阿芙拉
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
0	0	 	 
