Id	Type	Values	Reward
int	int	mut,int#int,2	mut,int#int,2
1001	1	5201	16#50|14#50000
1002	1	8101	16#50|14#50000
1003	1	10201	16#50|14#50000
1004	1	11201	16#50|14#50000
1005	1	12201	16#50|14#50000
1006	1	13201	16#50|14#50000
1007	1	14201	16#50|14#50000
1008	1	15201	16#50|14#50000
1009	1	1202	16#50|14#50000
1010	1	2102	16#50|14#50000
1011	1	2302	16#50|14#50000
1012	1	3202	16#50|14#50000
1013	1	4102	16#50|14#50000
1014	1	4302	16#50|14#50000
1015	1	5202	16#50|14#50000
1016	1	6102	16#50|14#50000
1017	1	6302	16#50|14#50000
1018	1	7202	16#50|14#50000
1019	1	8102	16#50|14#50000
1020	1	8302	16#50|14#50000
1021	1	9202	16#50|14#50000
1022	1	10102	16#50|14#50000
1023	1	10302	16#50|14#50000
1024	1	11202	16#50|14#50000
1025	1	12102	16#50|14#50000
1026	1	12302	16#50|14#50000
1027	1	13202	16#50|14#50000
1028	1	14102	16#50|14#50000
1029	1	14302	16#50|14#50000
1030	1	15202	16#50|14#50000
1031	1	1103	16#50|14#50000
1032	1	1303	16#50|14#50000
1033	1	2103	16#50|14#50000
1034	1	2303	16#50|14#50000
1035	1	3103	16#50|14#50000
1036	1	3303	16#50|14#50000
1037	1	4103	16#50|14#50000
1038	1	4303	16#50|14#50000
1039	1	5103	16#50|14#50000
1040	1	5303	16#50|14#50000
1041	1	6103	16#50|14#50000
1042	1	6303	16#50|14#50000
1043	1	7103	16#50|14#50000
2001	2	500000	19#1|14#50000
2002	2	1000000	19#1|14#50000
2003	2	1500000	19#1|14#50000
2004	2	2000000	19#1|14#50000
2005	2	2500000	19#1|14#50000
2006	2	3000000	19#1|14#50000
2007	2	3500000	19#1|14#50000
2008	2	4000000	19#1|14#50000
2009	2	4500000	19#1|14#50000
2010	2	5000000	20#1|14#50000
2011	2	6000000	19#1|14#50000
2012	2	7000000	19#1|14#50000
2013	2	8000000	19#1|14#50000
2014	2	9000000	19#1|14#50000
2015	2	10000000	20#1|14#50000
2016	2	11000000	19#1|14#50000
2017	2	12000000	19#1|14#50000
2018	2	13000000	19#1|14#50000
2019	2	14000000	19#1|14#50000
2020	2	15000000	20#1|14#50000
2021	2	16000000	19#1|14#50000
2022	2	17000000	19#1|14#50000
2023	2	18000000	19#1|14#50000
2024	2	19000000	19#1|14#50000
2025	2	20000000	20#1|14#50000
2026	2	21000000	19#1|14#50000
2027	2	22000000	19#1|14#50000
2028	2	23000000	19#1|14#50000
2029	2	24000000	19#1|14#50000
2030	2	25000000	20#1|14#50000
2031	2	26000000	19#1|14#50000
2032	2	27000000	19#1|14#50000
2033	2	28000000	19#1|14#50000
2034	2	29000000	19#1|14#50000
2035	2	30000000	20#1|14#50000
2036	2	32000000	19#1|14#50000
2037	2	34000000	19#1|14#50000
2038	2	36000000	19#1|14#50000
2039	2	38000000	19#1|14#50000
2040	2	40000000	20#1|14#50000
2041	2	42000000	19#1|14#50000
2042	2	44000000	19#1|14#50000
2043	2	46000000	19#1|14#50000
2044	2	48000000	19#1|14#50000
2045	2	50000000	20#1|14#50000
3001	3	50	4#100|14#50000
3002	3	75	4#100|14#50000
3003	3	100	4#100|14#50000
3004	3	125	4#100|14#50000
3005	3	150	4#100|14#50000
3006	3	175	4#100|14#50000
3007	3	200	4#100|14#50000
3008	3	225	4#100|14#50000
3009	3	250	4#100|14#50000
3010	3	275	4#100|14#50000
3011	3	300	4#100|14#50000
3012	3	325	4#100|14#50000
3013	3	350	4#100|14#50000
3014	3	375	4#100|14#50000
3015	3	400	4#100|14#50000
3016	3	425	4#100|14#50000
3017	3	450	4#100|14#50000
3018	3	475	4#100|14#50000
3019	3	500	4#100|14#50000
3020	3	525	4#100|14#50000
3021	3	550	4#100|14#50000
3022	3	575	4#100|14#50000
3023	3	600	4#100|14#50000
3024	3	625	4#100|14#50000
3025	3	650	4#100|14#50000
3026	3	675	4#100|14#50000
3027	3	700	4#100|14#50000
3028	3	725	4#100|14#50000
3029	3	750	4#100|14#50000
3030	3	775	4#100|14#50000
3031	3	800	4#100|14#50000
3032	3	825	4#100|14#50000
3033	3	850	4#100|14#50000
3034	3	875	4#100|14#50000
3035	3	900	4#100|14#50000
