Id	ItemId	Chance	GrowChance	RandomMin	RandomMax	Addition	ChanceAddition
int	int	int	float	int	int	mut,int#int,1	mut,int#int,1
23	16	8	1.0	5	5	null	null
24	4	20	1.0	10	10	null	null
25	16	92	1.0	0	0	null	null
26	4	80	1.0	0	0	null	null
27	14	5	1.0	500000	500000	null	null
28	43	5	1.0	1	1	null	null
29	71	88	1.0	1	1	null	null
30	72	2	1.0	1	1	null	null
10101	4	100	1.0	2	2	null	null
10102	4	100	1.0	5	5	null	null
10103	4	100	1.0	10	10	null	null
10104	4	100	1.0	25	25	null	null
10105	4	100	1.0	250	250	null	null
10106	4	100	1.0	1500	1500	null	null
10107	4	100	1.0	3300	3300	null	null
10108	4	100	1.0	7750	7750	null	null
10109	4	100	1.0	14000	14000	null	null
10110	4	100	1.0	40000	40000	null	null
10111	4	100	1.0	70500	70500	null	null
10112	4	100	1.0	132000	132000	null	null
10113	4	100	1.0	212500	212500	null	null
10201	3	100	1.0	100	100	null	null
10202	3	100	1.0	200	200	null	null
10203	3	100	1.0	500	500	null	null
10204	3	100	1.0	1000	1000	null	null
10205	3	100	1.0	5000	5000	null	null
10206	3	100	1.0	30000	30000	null	null
10207	3	100	1.0	50000	50000	null	null
10208	3	100	1.0	95000	95000	null	null
10209	3	100	1.0	140000	140000	null	null
10210	3	100	1.0	320000	320000	null	null
10211	3	100	1.0	490000	490000	null	null
10212	3	100	1.0	840000	840000	null	null
10213	3	100	1.0	1330000	1330000	null	null
10301	26	100	1.0	0	0	null	null
10302	26	100	1.0	0	0	null	null
10303	26	100	1.0	10	10	null	null
10304	26	100	1.0	25	25	null	null
10305	26	100	1.0	250	250	null	null
10306	26	100	1.0	1500	1500	null	null
10307	26	100	1.0	2500	2500	null	null
10308	26	100	1.0	4750	4750	null	null
10309	26	100	1.0	7000	7000	null	null
10310	26	100	1.0	16000	16000	null	null
10311	26	100	1.0	24500	24500	null	null
10312	26	100	1.0	42000	42000	null	null
10313	26	100	1.0	66500	66500	null	null
10412	6000085	100	1.0	20	20	null	null
10413	6000085	100	1.0	60	60	null	null
101	25	100	1.0	10	10	null	null
111	6001	100	1.0	1	1	null	null
112	6002	100	1.0	1	1	null	null
113	6003	0	1.0	1	1	null	null
114	6004	0	1.0	1	1	null	null
115	6005	0	1.0	1	1	null	null
116	6006	0	1.0	1	1	null	null
117	6007	0	1.0	1	1	null	null
118	6008	0	1.0	1	1	null	null
119	6009	0	1.0	1	1	null	null
120	6010	100	1.0	1	1	null	null
121	6011	100	1.0	1	1	null	null
122	6012	100	1.0	1	1	null	null
123	6013	100	1.0	1	1	null	null
124	6014	100	1.0	1	1	null	null
125	6015	100	1.0	1	1	null	null
126	6016	100	1.0	1	1	null	null
127	6017	100	1.0	1	1	null	null
128	6018	100	1.0	1	1	null	null
129	6019	100	1.0	1	1	null	null
130	6020	100	1.0	1	1	null	null
131	6021	100	1.0	1	1	null	null
132	6022	100	1.0	1	1	null	null
133	6023	100	1.0	1	1	null	null
134	6024	100	1.0	1	1	null	null
135	6025	100	1.0	1	1	null	null
136	6026	100	1.0	1	1	null	null
137	6027	100	1.0	1	1	null	null
138	6028	100	1.0	1	1	null	null
139	6029	100	1.0	1	1	null	null
140	6030	100	1.0	1	1	null	null
141	6031	100	1.0	1	1	null	null
142	6032	100	1.0	1	1	null	null
143	6033	100	1.0	1	1	null	null
144	6034	100	1.0	1	1	null	null
145	6035	100	1.0	1	1	null	null
146	6036	100	1.0	1	1	null	null
300	16	100	1.0	300	300	null	null
301	19	100	1.0	1	1	null	null
302	20	100	1.0	1	1	null	null
303	16	100	1.0	500	500	null	null
304	20	100	1.0	1	1	null	null
305	14	100	1.0	300000	300000	null	null
310	68	100	1.0	0	0	null	null
311	68	100	1.0	200	200	null	null
312	19	50	1.0	2	2	null	null
313	19	30	1.0	3	3	null	null
314	19	20	1.0	5	5	null	null
315	19	60	1.0	2	2	null	null
316	19	30	1.0	5	5	null	null
317	20	10	1.0	1	1	null	null
491	16	100	1.0	2	2	null	null
492	16	100	1.0	8	8	null	null
493	16	100	1.0	8	8	null	null
494	16	100	1.0	32	32	null	null
495	16	100	1.0	32	32	null	null
514	6001000	100	1.0	0	0	null	null
515	6001000	11900	1.0	0	0	null	null
516	6001010	100	1.0	0	0	null	null
517	6001010	11900	1.0	0	0	null	null
601	14	100	1.0	4500	5500	null	null
602	14	100	1.0	9500	10500	null	null
603	14	100	1.0	14500	15500	null	null
604	14	100	1.0	19500	20500	null	null
605	14	100	1.0	24500	25500	null	null
606	14	100	1.0	29500	30500	null	null
607	14	100	1.0	34500	35500	null	null
608	14	100	1.0	39500	40500	null	null
609	14	100	1.0	44500	45500	null	null
610	14	100	1.0	49500	50500	null	null
611	14	100	1.0	54500	55500	null	null
