Id	MainPool	MainNum	Pool	SecondNumMin	SecondNumMax
int	int	int	int	int	int
8001	0	0	6	1	1
8002	1	1	0	0	0
8003	2	1	0	0	0
8004	3	1	0	0	0
8005	4	1	0	0	0
8006	5	1	0	0	0
8007	0	0	12	1	1
8008	7	1	0	0	0
8009	8	1	0	0	0
8010	9	1	0	0	0
8011	10	1	0	0	0
8012	11	1	0	0	0
8013	0	0	18	2	2
8014	13	1	18	1	1
8015	14	1	18	1	1
8016	15	1	18	1	1
8017	16	1	18	1	1
8018	17	1	18	1	1
8019	0	0	24	2	3
8020	19	1	24	1	2
8021	20	1	24	1	2
8022	21	1	24	1	2
8023	22	1	24	1	2
8024	23	1	24	1	2
8025	0	0	0	0	0
8026	0	0	0	0	0
8027	25	1	0	0	0
8028	26	1	0	0	0
8029	27	1	0	0	0
8030	28	1	0	0	0
8031	0	0	0	0	0
8032	0	0	0	0	0
8033	29	1	24	0	1
8034	30	1	24	0	1
8035	31	1	24	0	1
8036	32	1	24	0	1
8037	33	1	24	0	1
8038	34	1	24	0	1
8039	35	1	24	0	1
8040	36	1	24	0	1
8041	37	1	24	0	1
8042	38	1	24	0	1
8043	39	1	24	0	1
8044	40	1	24	0	1
8045	41	1	24	0	1
8046	42	1	24	0	1
8047	43	1	24	0	1
8048	44	1	24	0	1
