id	PropertyId	Min	Max	PoolNum	Weight
int	int	int	int	int	int
10001	1	281	352	1	100
20002	2	28	35	2	100
30003	3	24	31	3	100
40004	4	24	31	4	100
50005	5	8	11	5	100
60001	1	281	352	6	100
60002	2	28	35	6	100
60003	3	24	31	6	100
60004	4	24	31	6	100
60005	5	8	11	6	100
70001	1	480	600	7	100
80002	2	48	60	8	100
90003	3	41	52	9	100
100004	4	41	52	10	100
110005	5	13	17	11	100
120001	1	480	600	12	100
120002	2	48	60	12	100
120003	3	41	52	12	100
120004	4	41	52	12	100
120005	5	13	17	12	100
130001	1	850	1063	13	100
140002	2	84	106	14	100
150003	3	74	93	15	100
160004	4	74	93	16	100
170005	5	19	24	17	100
180001	1	850	1063	18	100
180002	2	84	106	18	100
180003	3	74	93	18	100
180004	4	74	93	18	100
180005	5	19	24	18	100
190001	1	1440	1800	19	100
200002	2	144	180	20	100
210003	3	126	158	21	100
220004	4	126	158	22	100
230005	5	33	42	23	100
240001	1	1440	1800	24	100
240002	2	144	180	24	100
240003	3	126	158	24	100
240004	4	126	158	24	100
240005	5	33	42	24	100
250053	53	300	375	25	100
260054	54	300	375	26	100
270055	55	1	1	27	100
280056	56	3	3	28	100
290053	53	500	625	29	100
300054	54	500	625	30	100
310055	55	2	2	31	100
320056	56	6	7	32	100
330101	101	160	200	33	100
340103	103	160	200	34	100
350102	102	160	200	35	100
360104	104	160	200	36	100
370105	105	160	200	37	100
380106	106	160	200	38	100
390107	107	160	200	39	100
400109	109	160	200	40	100
410108	108	160	200	41	100
420110	110	160	200	42	100
430111	111	160	200	43	100
440112	112	160	200	44	100
