Id	ActivityId	Level	Integral	Reward	FreeSkill	TreasureReward	PaySkill	LevelCond
int	int	int	mut,int#int,2	mut,int#int,2	int	mut,int#int,2	int	mut,int#int,1
101	8001	0	106#1000	null	0	null	0	1#999
102	8001	1	106#2000	null	80101	16#200	82101	1#999
103	8001	2	106#3000	4#100	0	16#100	80201	1#999
104	8001	3	106#4000	null	80102	16#100	80202	1#999
105	8001	4	106#5000	4#100	0	16#100	80203	1#999
106	8001	5	106#6000	null	80103	16#300	80204	1#999
107	8001	6	106#7000	4#100	0	16#100	80205	1#999
108	8001	7	106#8000	null	80104	16#100	80206	1#999
109	8001	8	106#9000	4#100	0	16#100	80207	1#999
110	8001	9	106#10000	null	80105	16#100	80208	1#999
111	8001	10	106#12000	null	81201	16#100	82102	1#999
112	8001	11	106#14000	null	80106	16#100	80209	1#999
113	8001	12	106#16000	4#200	0	16#100	80210	1#999
114	8001	13	106#18000	null	80107	16#300	80211	1#999
115	8001	14	106#20000	4#200	0	16#100	80212	1#999
116	8001	15	106#22000	null	80108	16#100	82103	1#999
117	8001	16	106#24000	4#200	0	16#100	80213	1#999
118	8001	17	106#26000	null	80109	16#100	80214	1#999
119	8001	18	106#28000	4#200	0	16#300	80215	1#999
120	8001	19	106#30000	null	80110	16#100	80216	1#999
121	8001	20	106#32000	null	81202	16#100	82104	1#999
122	8001	21	106#34000	null	80111	16#100	80217	1#999
123	8001	22	106#36000	4#300	0	16#100	80218	1#999
124	8001	23	106#38000	null	80112	16#300	80219	1#999
125	8001	24	106#40000	4#300	0	16#100	80220	1#999
126	8001	25	106#42000	null	80113	16#100	82105	1#999
127	8001	26	106#44000	4#300	0	16#100	80221	1#999
128	8001	27	106#46000	null	80114	16#100	80222	1#999
129	8001	28	106#48000	4#300	0	16#300	80223	1#999
130	8001	29	106#50000	null	80115	16#100	80224	1#999
131	8001	30	106#52000	null	81203	16#100	82106	1#999
132	8001	31	106#54000	null	80116	16#100	80225	1#999
133	8001	32	106#56000	4#300	0	16#100	80226	1#999
134	8001	33	106#58000	null	80117	16#300	80227	1#999
135	8001	34	106#60000	4#300	0	16#100	80228	1#999
136	8001	35	106#62000	null	80118	16#100	82107	1#999
137	8001	36	106#64000	4#300	0	16#100	80229	1#999
138	8001	37	106#66000	null	80119	16#100	80230	1#999
139	8001	38	106#68000	4#300	0	16#300	80231	1#999
140	8001	39	106#70000	null	80120	16#100	80232	1#999
141	8001	40	106#72000	null	81204	16#100	82108	1#999
142	8001	41	106#74000	null	80121	16#100	80233	1#999
143	8001	42	106#76000	4#300	0	16#100	80234	1#999
144	8001	43	106#78000	null	80122	16#300	80235	1#999
145	8001	44	106#80000	4#300	0	16#100	80236	1#999
146	8001	45	106#82000	null	80123	16#100	82109	1#999
147	8001	46	106#84000	4#300	0	16#100	80237	1#999
148	8001	47	106#86000	null	80124	16#100	80238	1#999
149	8001	48	106#88000	4#300	0	16#300	80239	1#999
150	8001	49	106#90000	null	80125	16#300	80240	1#999
151	8001	50	null	null	81205	10063#1	0	1#999
201	8002	0	107#1000	null	0	null	0	1#999
202	8002	1	107#2000	null	80101	16#200	82201	1#999
203	8002	2	107#3000	6000110#100	0	16#100	80201	1#999
204	8002	3	107#4000	null	80102	16#100	80202	1#999
205	8002	4	107#5000	6000110#100	0	16#100	80203	1#999
206	8002	5	107#6000	null	80103	16#300	80204	1#999
207	8002	6	107#7000	6000110#100	0	16#100	80205	1#999
208	8002	7	107#8000	null	80104	16#100	80206	1#999
209	8002	8	107#9000	6000110#100	0	16#100	80207	1#999
210	8002	9	107#10000	null	80105	16#100	80208	1#999
211	8002	10	107#12000	null	81301	16#100	82202	1#999
212	8002	11	107#14000	null	80106	16#100	80209	1#999
213	8002	12	107#16000	6000110#200	0	16#100	80210	1#999
214	8002	13	107#18000	null	80107	16#300	80211	1#999
215	8002	14	107#20000	6000110#200	0	16#100	80212	1#999
216	8002	15	107#22000	null	80108	16#100	82203	1#999
217	8002	16	107#24000	6000110#200	0	16#100	80213	1#999
218	8002	17	107#26000	null	80109	16#100	80214	1#999
219	8002	18	107#28000	6000110#200	0	16#300	80215	1#999
220	8002	19	107#30000	null	80110	16#100	80216	1#999
221	8002	20	107#32000	null	81302	16#100	82204	1#999
222	8002	21	107#34000	null	80111	16#100	80217	1#999
