Id	ActivityId	Type	TaskType	TaskValue	Integral	TaskRefreshType	TaskRefreshWeight	Group	OpenLevel	IsShow
int	int	int	int	mut,int#int,2	mut,int#int,2	int	int	int	int	int
10101	8001	1	1022	0|2	106#100	1	0	0	0	1
10102	8001	1	116	0|1	106#100	1	0	0	0	1
10103	8001	1	1012	0|2	106#100	1	0	0	0	1
10104	8001	1	47	4|1	106#100	2	100	1	0	1
10105	8001	1	22	0|1	106#100	2	100	1	0	1
10106	8001	1	1017	2|1	106#100	2	100	1	0	1
10107	8001	1	100	0|1	106#100	2	100	2	0	1
10108	8001	1	1013	0|1	106#100	2	100	2	0	1
10109	8001	1	52	59|1	106#100	2	100	3	0	1
10110	8001	1	52	2|3	106#100	2	100	3	0	1
10111	8001	1	1019	63|1	106#100	2	100	3	0	1
10112	8001	1	1020	79|10000	106#100	2	100	4	0	1
10113	8001	1	77	0|5	106#100	2	100	4	0	1
10114	8001	1	1040	0|1	106#100	2	100	5	0	1
10115	8001	1	1084	0|1	106#100	2	100	6	70	1
10116	8001	1	1082	10030|2	106#100	2	100	6	70	1
10117	8001	1	1064	0|1	106#100	2	100	6	60	1
10118	8001	1	1085	0|2	106#100	2	100	6	90	1
10119	8001	1	1082	10032|1	106#100	2	100	6	90	1
10120	8001	1	1067	0|1	106#100	2	100	6	90	1
10121	8001	1	75	5|1	106#100	2	100	7	0	1
10122	8001	1	75	4|1	106#100	2	100	7	0	1
10123	8001	1	75	1|1	106#100	2	100	7	0	1
10124	8001	1	1088	0|1	106#100	2	100	8	0	1
10125	8001	1	1089	0|1	106#100	2	100	8	70	1
10126	8001	1	1090	0|1	106#100	2	100	8	80	1
10127	8001	1	1047	0|1	106#100	2	100	9	0	1
10128	8001	1	1048	0|1	106#100	2	100	9	0	1
10129	8001	1	1042	1|1	106#100	2	100	10	0	1
10130	8001	1	1007	0|1	106#100	2	100	10	0	1
10201	8001	2	1022	0|20	106#500	1	0	0	0	1
10202	8001	2	116	0|10	106#500	1	0	0	0	1
10203	8001	2	1012	0|120	106#500	1	0	0	0	1
10204	8001	2	47	5|5	106#650	2	100	1	0	1
10205	8001	2	1017	3|2	106#650	2	100	1	0	1
10206	8001	2	22	0|20	106#650	2	100	1	0	1
10207	8001	2	100	0|20	106#650	2	100	2	0	1
10208	8001	2	1013	0|20	106#650	2	100	2	0	1
10209	8001	2	52	4|1	106#650	2	100	3	0	1
10210	8001	2	52	12|1	106#650	2	100	3	0	1
10211	8001	2	52	60|1	106#650	2	100	3	0	1
10212	8001	2	52	61|1	106#650	2	100	3	0	1
10213	8001	2	1020	79|50000	106#650	2	100	4	0	1
10214	8001	2	76	4|10	106#650	2	100	4	0	1
10215	8001	2	1040	0|10	106#650	2	100	5	0	1
10216	8001	2	1064	0|10	106#650	2	100	6	60	1
10217	8001	2	1085	0|10	106#650	2	100	6	90	1
10218	8001	2	1082	10032|10	106#650	2	100	6	90	1
10219	8001	2	1067	0|10	106#650	2	100	6	90	1
10220	8001	2	1084	0|50	106#650	2	100	7	70	1
10221	8001	2	1082	10030|10	106#650	2	100	7	70	1
10222	8001	2	1057	0|20	106#650	2	100	7	40	1
10223	8001	2	1059	31|5	106#650	2	100	7	40	1
10224	8001	2	1059	43|5	106#650	2	100	7	40	1
