Id	Name	PiecesId	PiecesCount	Quality	MaxStar	CanChange	Hp	Attack	PhysicalDefence	MagicDefence	SkillArray	CoinReturn	PiecesCoinReturn	MaxLevel	InVersion	ReturnCost
int	string	int	int	int	int	int	float	float	float	float	mut,int#int,2	mut,int#int,1	mut,int#int,1	int	int	mut,int#int,1
20001	伏羲扇	21001	20	3	5	0	3200.0	480.0	160.0	160.0	0#200010|1#200011|2#200012|3#200013|4#200014|5#200015	1205#120	1205#6	200	1	16#100
20002	盘古戟	21002	20	3	5	0	3200.0	480.0	160.0	160.0	0#200020|1#200021|2#200022|3#200023|4#200024|5#200025	1205#120	1205#6	200	1	16#100
20003	蚩尤剑	21003	30	4	5	0	4800.0	720.0	240.0	240.0	0#200030|1#200031|2#200032|3#200033|4#200034|5#200035	1205#720	1205#24	200	1	16#300
20004	天帝剑	21004	30	4	5	0	4800.0	720.0	240.0	240.0	0#200040|1#200041|2#200042|3#200043|4#200044|5#200045	1205#720	1205#24	200	1	16#300
20005	灵龙钻	21005	80	5	5	1	8000.0	1200.0	400.0	400.0	0#200050|1#200051|2#200052|3#200053|4#200054|5#200055	1205#9600	1205#120	200	1	16#500
20006	八卦牌	21006	80	5	5	1	8000.0	1200.0	400.0	400.0	0#200060|1#200061|2#200062|3#200063|4#200064|5#200065	1205#9600	1205#120	200	1	16#500
20007	太皇扇	21007	80	5	5	1	8000.0	1200.0	400.0	400.0	0#200070|1#200071|2#200072|3#200073|4#200074|5#200075	1205#9600	1205#120	200	1	16#500
20008	烈日剑	21008	80	5	5	1	8000.0	1200.0	400.0	400.0	0#200080|1#200081|2#200082|3#200083|4#200084|5#200085	1205#9600	1205#120	200	1	16#500
20009	巨鲲	21009	80	5	5	1	8000.0	1200.0	400.0	400.0	0#200090|1#200091|2#200092|3#200093|4#200094|5#200095	1205#9600	1205#120	200	1	16#500
