Id	Level	Quality	CharacterLevelPara	Consume	SumConsume
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2
1	1	3	1#0|2#0|4#0|3#0	1202#200	null
2	2	3	1#64|2#9|4#3|3#3	1202#400	1202#200
3	3	3	1#128|2#19|4#6|3#6	1202#600	1202#600
4	4	3	1#192|2#28|4#9|3#9	1202#800	1202#1200
5	5	3	1#256|2#38|4#12|3#12	1202#1000	1202#2000
6	6	3	1#320|2#48|4#16|3#16	1202#1200	1202#3000
7	7	3	1#384|2#57|4#19|3#19	1202#1400	1202#4200
8	8	3	1#448|2#67|4#22|3#22	1202#1600	1202#5600
9	9	3	1#512|2#76|4#25|3#25	1202#1800	1202#7200
10	10	3	1#576|2#86|4#28|3#28	1202#2000	1202#9000
11	11	3	1#640|2#96|4#32|3#32	1202#2200	1202#11000
12	12	3	1#704|2#105|4#35|3#35	1202#2400	1202#13200
13	13	3	1#768|2#115|4#38|3#38	1202#2600	1202#15600
14	14	3	1#832|2#124|4#41|3#41	1202#2800	1202#18200
15	15	3	1#896|2#134|4#44|3#44	1202#3000	1202#21000
16	16	3	1#960|2#144|4#48|3#48	1202#3200	1202#24000
17	17	3	1#1024|2#153|4#51|3#51	1202#3400	1202#27200
18	18	3	1#1088|2#163|4#54|3#54	1202#3600	1202#30600
19	19	3	1#1152|2#172|4#57|3#57	1202#3800	1202#34200
20	20	3	1#1216|2#182|4#60|3#60	1202#4000	1202#38000
21	21	3	1#1280|2#192|4#64|3#64	1202#4200	1202#42000
22	22	3	1#1344|2#201|4#67|3#67	1202#4400	1202#46200
23	23	3	1#1408|2#211|4#70|3#70	1202#4600	1202#50600
24	24	3	1#1472|2#220|4#73|3#73	1202#4800	1202#55200
25	25	3	1#1536|2#230|4#76|3#76	1202#5000	1202#60000
26	26	3	1#1600|2#240|4#80|3#80	1202#5200	1202#65000
27	27	3	1#1664|2#249|4#83|3#83	1202#5400	1202#70200
28	28	3	1#1728|2#259|4#86|3#86	1202#5600	1202#75600
29	29	3	1#1792|2#268|4#89|3#89	1202#5800	1202#81200
30	30	3	1#1856|2#278|4#92|3#92	1202#6000	1202#87000
31	31	3	1#1920|2#288|4#96|3#96	1202#6080	1202#93000
32	32	3	1#1984|2#297|4#99|3#99	1202#6160	1202#99080
33	33	3	1#2048|2#307|4#102|3#102	1202#6240	1202#105240
34	34	3	1#2112|2#316|4#105|3#105	1202#6320	1202#111480
35	35	3	1#2176|2#326|4#108|3#108	1202#6400	1202#117800
36	36	3	1#2240|2#336|4#112|3#112	1202#6480	1202#124200
37	37	3	1#2304|2#345|4#115|3#115	1202#6560	1202#130680
38	38	3	1#2368|2#355|4#118|3#118	1202#6640	1202#137240
39	39	3	1#2432|2#364|4#121|3#121	1202#6720	1202#143880
40	40	3	1#2496|2#374|4#124|3#124	1202#6800	1202#150600
41	41	3	1#2624|2#393|4#131|3#131	1202#6880	1202#157400
42	42	3	1#2752|2#412|4#137|3#137	1202#6960	1202#164280
43	43	3	1#2880|2#432|4#144|3#144	1202#7040	1202#171240
44	44	3	1#3008|2#451|4#150|3#150	1202#7120	1202#178280
