Id	SpiritAnimalMatch	StarMatch	SkillIDList	ReleasePoint	ReleaseLimit	WarEffectCount	TurnEffectCount
int	int	int	mut,int#int,1	mut,int#int,1	mut,int#int,2	mut,int#int,1	mut,int#int,1
200010	20001	0	2000101	2	1#2#6000	1	1
200011	20001	1	2000111	2	1#2#6000	2	1
200012	20001	2	2000121	2	1#2#6000	3	1
200013	20001	3	2000131	2	1#2#6000	4	1
200014	20001	4	2000141	2	1#2#6000	5	1
200015	20001	5	2000151	2	1#2#6000	6	1
200020	20002	0	2000201	8	0#0#0	99	1
200021	20002	1	2000211	8	0#0#0	99	1
200022	20002	2	2000221	8	0#0#0	99	1
200023	20002	3	2000231	8	0#0#0	99	1
200024	20002	4	2000241	8	0#0#0	99	1
200025	20002	5	2000251	8	0#0#0	99	1
200030	20003	0	2000301	9	0#0#0	99	1
200031	20003	1	2000311	9	0#0#0	99	1
200032	20003	2	2000321	9	0#0#0	99	1
200033	20003	3	2000331	9	0#0#0	99	1
200034	20003	4	2000341	9	0#0#0	99	1
200035	20003	5	2000351	9	0#0#0	99	1
200040	20004	0	2000401	9	0#0#0	99	1
200041	20004	1	2000411	9	0#0#0	99	1
200042	20004	2	2000421	9	0#0#0	99	1
200043	20004	3	2000431	9	0#0#0	99	1
200044	20004	4	2000441	9	0#0#0	99	1
200045	20004	5	2000451	9	0#0#0	99	1
200050	20005	0	2000501	8	0#0#0	99	1
200051	20005	1	2000511	8	0#0#0	99	1
200052	20005	2	2000521	8	0#0#0	99	1
200053	20005	3	2000531	8	0#0#0	99	1
200054	20005	4	2000541	8	0#0#0	99	1
200055	20005	5	2000551	8	0#0#0	99	1
200060	20006	0	2000601	8	0#0#0	99	1
200061	20006	1	2000611	8	0#0#0	99	1
200062	20006	2	2000621	8	0#0#0	99	1
200063	20006	3	2000631	8	0#0#0	99	1
200064	20006	4	2000641	8	0#0#0	99	1
200065	20006	5	2000651	8	0#0#0	99	1
200070	20007	0	2000701#2000702	5#10	0#0#0|3#1#1#5000	1#99	1#1
200071	20007	1	2000711#2000712	5#10	0#0#0|3#1#1#5000	1#99	1#1
200072	20007	2	2000721#2000722	5#10	0#0#0|3#1#1#5000	1#99	1#1
200073	20007	3	2000731#2000732	5#10	0#0#0|3#1#1#5000	1#99	1#1
200074	20007	4	2000741#2000742	5#10	0#0#0|3#1#1#5000	1#99	1#1
200075	20007	5	2000751#2000752	5#10	0#0#0|3#1#1#5000	1#99	1#1
200080	20008	0	2000801	12	4#3#5	1#99	1
200081	20008	1	2000811	12	4#3#5	1#99	1
200082	20008	2	2000821	12	4#3#5	1#99	1
200083	20008	3	2000831	12	4#3#5	1#99	1
200084	20008	4	2000841	12	4#3#5	1#99	1
200085	20008	5	2000851	12	4#3#5	1#99	1
