Id	Name	Number	StoreType	RefreshItem	RefreshPrivilege	RefreshType	IfManualRefresh	StoreOpenRule	StartTime	EndTime	OpenLevel
int	string	int	int	mut,int#int,2	int	mut,int#int,1	mut,int#int,1	int	string	string	mut,int#int,1
17	39010023	9	17	69|0#0#0#200	0	1#0	0#0	1	0	0	3#64
56	39010026	4	15	16|0#0#20#0	0	1#0	0#0	1	0	0	null
57	39010026	3	57	null	0	2#0#9#19	0#0	1	0	0	2#1
23	39010027	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
24	39010027	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
5	39010039	6	5	24|0#0#0#500	0	1#0	0#0	1	0	0	2#1
15	39010022	7	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
18	39010024	10	18	26|0#0#0#5000	0	1#0	0#0	6	0	4320	2#999
7	39010017	32	7	14|0#0#0#10000	0	2#0	0#0	1	0	0	null
33	39010019	1	33	26|0#0#0#5000	0	2#0	0#0	1	0	0	null
34	39010020	2	34	26|0#0#0#5000	0	1#0	0#0	1	0	0	null
20	39010025	19	20	16|0#0#20#0	0	1#0	0#0	1	0	0	null
10	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
50	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
51	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
52	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
53	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
54	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
55	39010021	3	10	16|0#0#20#0	0	1#0	0#0	5	0	0	null
2	39010028	6	2	16|0#0#0#20	10	1#0	5#2	1	0	0	2#9
59	39010029	13	59	null	0	2#0	0#0	1	0	0	2#1
1	39010030	12	1	26|0#0#0#5000	11	1#0	0#1	1	0	0	3#24
60	39010031	11	60	null	0	3#168	0#0	1	0	0	3#83
4	39010032	11	4	null	0	3#168	0#0	1	0	0	3#8
12	39010034	16	12	null	0	3#168	0#0	1	0	0	3#4
61	39010035	8	61	7|0#0#0#50	11	2#0	0#1	1	0	0	3#61
62	39010036	14	62	null	0	2#0	0#0	1	0	0	2#1
63	39010037	6	63	6000110|0#0#0#200	13	1#0	3#8	1	0	0	2#27
67	39010042	10	67	null	0	1#0	0#0	1	0	0	3#81
68	39010043	8	68	null	0	1#0	0#0	1	0	0	3#81
69	39010044	8	69	null	0	1#0	0#0	1	0	0	3#81
70	39010045	8	70	null	0	1#0	0#0	1	0	0	3#81
71	39010046	8	71	null	0	1#0	0#0	1	0	0	3#81
72	39010047	8	72	null	0	1#0	0#0	1	0	0	3#81
73	39010048	8	73	null	0	1#0	0#0	1	0	0	3#81
74	39010049	8	74	null	0	1#0	0#0	1	0	0	3#81
75	39010050	8	75	null	0	1#0	0#0	1	0	0	3#81
76	39010051	8	76	null	0	1#0	0#0	1	0	0	3#81
77	39010052	8	77	null	0	1#0	0#0	1	0	0	3#81
78	39010053	8	78	null	0	1#0	0#0	1	0	0	3#81
102	39010056	5	102	null	0	1#0	0#0	1	0	0	3#76
64	39010038	11	64	null	0	2#0	0#0	1	0	0	2#1
65	39010040	5	65	null	0	5#1	0#0	1	0	0	3#73
66	39010041	3	66	null	0	4#1	0#0	1	0	0	3#73
79	39010092	10	79	null	0	3#168	0#0	1	0	0	2#65
19	39010033	9	19	null	0	4#1	0#0	1	0	0	3#33
191	39010059	10	191	null	0	2#0	0#0	1	0	0	3#33
193	39010061	8	193	null	0	2#0	0#0	1	0	0	3#33
192	39010060	11	192	null	0	2#0	0#0	1	0	0	3#33
194	39010062	10	194	null	0	2#0	0#0	1	0	0	3#33
195	39010063	9	195	null	0	2#0	0#0	1	0	0	3#33
8	39010018	200	8	14|0#0#0#10000	0	1#0	0#0	1	0	0	3#30
100	39010054	12	100	null	0	4#1	0#0	1	0	0	3#91
104	39010057	100	104	null	0	1#0	0#0	1	0	0	null
105	39010058	100	105	null	0	2#0	0#0	1	0	0	null
801	39010064	7	801	null	0	2#0	0#0	1	0	0	3#77
802	39010064	7	802	null	0	2#0	0#0	1	0	0	null
803	39010064	7	803	null	0	2#0	0#0	1	0	0	null
804	39010064	8	804	null	0	2#0	0#0	1	0	0	null
805	39010064	7	805	null	0	2#0	0#0	1	0	0	3#90
500	39010019	1	500	26|0#0#0#5000	0	2#0	0#0	1	0	0	null
58	39010027	38	58	null	0	1#0	0#0	5	0	0	null
11	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
22	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
44	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
45	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
111	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
112	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
113	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
114	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
115	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
116	39010067	12	11	16|0#0#20#0	0	1#0	0#0	5	0	0	3#42
101	39010055	33	101	50003|0#0#0#100	0	1#0	0#0	5	0	0	null
103	39010055	20	103	50003|0#0#0#100	0	1#0	0#0	5	0	0	null
106	39010055	20	106	50003|0#0#0#100	0	1#0	0#0	5	0	0	null
200	39010065	7	200	null	0	1#0	0#0	5	0	0	null
201	39010065	7	201	null	0	1#0	0#0	5	0	0	null
203	39010065	7	203	null	0	1#0	0#0	5	0	0	null
208	39010065	7	208	null	0	1#0	0#0	5	0	0	null
202	39010066	8	202	null	0	1#0	0#0	5	0	0	null
204	39010066	9	204	null	0	1#0	0#0	5	0	0	null
