Id	Rank	Level	LevUP	Hp	Attack	PhysicalDefence	MagicDefence	Speed	Hit	Dodge	CritFactor	CritDamageFactor	DamageBocusFactor	DamageReduceFactor	CureFacter	TreatFacter
int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
1	1	1	0	0	0	0	0	0	10	0	0	0	0	0	0	0
2	1	2	1	810	140	12	0	8	10	0	0	0	0	0	0	0
3	1	3	1	1630	280	22	0	16	10	0	0	0	0	0	0	0
4	1	4	2	1720	295	26	0	20	10	0	0	0	0	0	0	0
5	1	5	2	1810	310	28	0	22	10	0	0	0	0	0	0	0
6	1	6	3	1900	325	32	0	24	10	0	0	0	0	0	0	0
7	1	7	3	1990	340	36	0	26	10	0	0	0	0	0	0	0
8	1	8	4	2090	355	38	0	30	10	0	0	0	0	0	0	0
9	1	9	4	2180	370	42	0	32	10	0	0	0	0	0	0	0
10	1	10	5	2270	385	44	0	34	20	10	50	50	50	50	50	50
11	1	11	5	2360	400	48	0	38	20	0	0	0	0	0	0	0
12	1	12	6	2450	410	52	0	40	20	0	0	0	0	0	0	0
13	1	13	6	2550	425	54	0	42	20	0	0	0	0	0	0	0
14	1	14	7	2640	440	58	0	46	20	0	0	0	0	0	0	0
15	1	15	7	2730	455	60	0	48	20	0	0	0	0	0	0	0
16	1	16	8	2820	470	64	0	52	20	0	0	0	0	0	0	0
17	1	17	8	2910	485	66	0	54	20	0	0	0	0	0	0	0
18	1	18	9	3010	500	70	0	56	20	0	0	0	0	0	0	0
19	1	19	9	3100	515	74	0	58	30	0	0	0	0	0	0	0
20	1	20	10	3190	530	76	0	62	30	20	100	100	100	100	100	100
21	1	21	10	3280	540	80	0	64	30	0	0	0	0	0	0	0
22	1	22	11	3370	555	82	0	66	30	0	0	0	0	0	0	0
23	1	23	11	3470	570	86	0	70	30	0	0	0	0	0	0	0
24	1	24	12	3560	585	90	0	72	30	0	0	0	0	0	0	0
25	1	25	12	3650	600	92	0	74	30	0	0	0	0	0	0	0
26	1	26	13	3980	645	96	0	78	30	0	0	0	0	0	0	0
27	1	27	13	4310	685	98	0	80	30	0	0	0	0	0	0	0
28	1	28	14	4400	700	102	0	84	40	0	0	0	0	0	0	0
29	1	29	14	4490	715	104	0	86	40	0	0	0	0	0	0	0
30	1	30	15	4590	730	108	0	88	40	30	150	150	150	150	150	150
31	1	31	15	4680	745	112	0	90	40	0	0	0	0	0	0	0
32	1	32	16	4770	760	114	0	94	40	0	0	0	0	0	0	0
33	1	33	16	4860	770	118	0	96	40	0	0	0	0	0	0	0
34	1	34	17	4950	785	120	0	98	40	0	0	0	0	0	0	0
35	1	35	17	5050	800	124	0	102	40	0	0	0	0	0	0	0
36	1	36	18	5140	815	128	0	104	40	0	0	0	0	0	0	0
37	1	37	18	5230	830	130	0	106	50	0	0	0	0	0	0	0
38	1	38	19	5320	845	134	0	110	50	0	0	0	0	0	0	0
39	1	39	19	5410	860	136	0	112	50	0	0	0	0	0	0	0
40	1	40	20	8460	1285	140	0	120	50	40	200	200	200	200	200	200
41	1	41	20	11500	1715	142	0	126	50	0	0	0	0	0	0	0
42	1	42	21	13080	1970	154	0	134	50	0	0	0	0	0	0	0
43	1	43	21	14670	2230	164	0	142	50	0	0	0	0	0	0	0
44	1	44	22	14780	2245	168	0	146	50	0	0	0	0	0	0	0
45	1	45	22	14900	2265	172	0	148	50	0	0	0	0	0	0	0
46	1	46	23	15020	2285	174	0	150	60	0	0	0	0	0	0	0
47	1	47	23	15140	2300	178	0	154	60	0	0	0	0	0	0	0
48	1	48	24	15250	2320	180	0	156	60	0	0	0	0	0	0	0
49	1	49	24	15370	2340	184	0	158	60	0	0	0	0	0	0	0
50	1	50	25	15490	2360	188	0	162	60	50	250	250	250	250	250	250
51	1	51	25	15610	2375	190	0	164	60	0	0	0	0	0	0	0
52	1	52	26	15720	2395	194	0	166	60	0	0	0	0	0	0	0
53	1	53	26	15840	2410	196	0	170	60	0	0	0	0	0	0	0
54	1	54	27	16430	2510	200	0	172	60	0	0	0	0	0	0	0
55	1	55	27	17030	2605	202	0	174	70	0	0	0	0	0	0	0
56	1	56	28	17140	2625	206	0	178	70	0	0	0	0	0	0	0
57	1	57	28	17260	2640	210	0	180	70	0	0	0	0	0	0	0
58	1	58	29	17380	2660	212	0	182	70	0	0	0	0	0	0	0
59	1	59	29	17490	2680	216	0	184	70	0	0	0	0	0	0	0
60	1	60	30	17610	2700	218	0	188	70	60	300	300	300	300	300	300
61	1	61	30	17730	2715	222	0	190	70	0	0	0	0	0	0	0
62	1	62	31	17850	2735	226	0	194	70	0	0	0	0	0	0	0
63	1	63	31	17960	2755	228	0	196	70	0	0	0	0	0	0	0
64	1	64	32	18080	2770	232	0	198	80	0	0	0	0	0	0	0
65	1	65	32	18200	2790	234	0	200	80	0	0	0	0	0	0	0
66	1	66	33	18320	2810	238	0	204	80	0	0	0	0	0	0	0
67	1	67	33	18430	2825	240	0	206	80	0	0	0	0	0	0	0
68	1	68	34	18550	2845	244	0	210	80	0	0	0	0	0	0	0
69	1	69	34	18670	2865	246	0	212	80	0	0	0	0	0	0	0
70	1	70	35	18790	2885	250	0	214	80	70	350	350	350	350	350	350
71	1	71	35	18900	2900	254	0	216	80	0	0	0	0	0	0	0
