Id	TaskType	TaskValue	Reward	Jump
int	int	mut,int#int,2	mut,int#int,2	mut,int#int,1
10011	14	1031|1	16#20	26078
10012	1	0|2	16#20	1023
10013	3	20|1	16#20	22001
10014	9	0|3	16#20	26078
10021	14	1201|1	16#30	26078
10022	9	0|15	16#30	26078
10023	77	0|3	16#30	60001
10024	57	0|5	16#30	1011
10031	14	4101|1	16#30	26078
10032	10	0|60000	16#30	22001
10033	77	0|10	16#30	60001
10034	57	0|15	16#30	1011
10041	14	5201|1	16#40	26078
10042	10	0|100000	16#40	22001
10043	76	5|1	16#40	60001
10044	57	0|30	16#40	1011
10051	14	7101|1	16#40	26078
10052	10	0|170000	16#40	22001
10053	76	5|3	16#40	60001
10054	57	0|50	16#40	1011
10061	14	8201|1	16#50	26078
10062	10	0|320000	16#50	22001
10063	76	5|6	16#50	60001
10064	57	0|70	16#50	1011
10071	14	10101|1	16#50	26078
10072	10	0|600000	16#50	22001
10073	76	5|10	16#50	60001
10074	57	0|100	16#50	1011
10081	14	12101|1	16#60	26078
10082	10	0|1150000	16#60	22001
10083	76	5|20	16#60	60001
10084	57	0|140	16#60	1011
10091	14	14151|1	16#60	26078
10092	10	0|2000000	16#60	22001
10093	76	5|30	16#60	60001
10094	57	0|200	16#60	1011
10101	14	1252|1	16#70	26078
10102	10	0|3000000	16#70	22001
10103	76	5|50	16#70	60001
10104	57	0|300	16#70	1011
10111	14	3202|1	16#80	26078
10112	10	0|4500000	16#80	22001
10113	76	5|90	16#80	60001
10114	57	0|380	16#80	1011
10121	14	5202|1	16#90	26078
10122	10	0|5900000	16#90	22001
10123	76	5|120	16#90	60001
10124	57	0|480	16#90	1011
10131	14	7302|1	16#100	26078
10132	10	0|7700000	16#100	22001
10133	76	5|180	16#100	60001
10134	57	0|570	16#100	1011
10135	14	1101|1	16#50	26082
10136	14	1161|1	16#50	26082
10137	14	1201|1	16#50	26082
10138	14	2101|1	16#50	26082
10139	14	2201|1	16#50	26082
10140	9	0|70	16#50	26082
10141	9	0|8	16#50	26082
10142	9	0|10	16#50	26082
10143	9	0|15	16#50	26082
10144	9	0|18	16#50	26082
10145	9	0|22	16#50	26082
10146	110	0|5	16#50	null
10147	3	30|1	16#50	22001
10148	7	0|3	16#50	8002
10149	36	0|1	16#50	26079
10150	83	0|1	16#50	1027
10151	10	0|40000	16#50	22001
10152	55	10|2	16#50	22001
10153	1	0|1	16#50	1001
10154	76	0|1	16#50	60001
10155	52	2|1	16#50	7801
10156	1039	1|10	16#50	8401
10157	2	5|2	16#50	22001
10158	88	0|20	16#50	1002
20001	76	4|10	16#50	60001
20002	55	10|5	16#50	22001
20003	10	0|500000	16#50	22001
20004	9	0|120	16#50	26082
30011	14	5101|1	4#50	26078
30012	71	0|2	3#10000	25001
30013	76	0|2	14#50000	60001
30021	14	5201|1	91#2	26078
30022	1039	1|25	3#10000	77006
30023	3	80|1	23#1	22001
30031	14	6101|1	91#2	26078
30032	22	0|4	80#1	77001
30033	52	2|3	60#1	7801
30041	14	6201|1	69#50	26078
30042	87	0|5	14#50000	67001
30043	7	0|5	3#10000	8001
30051	14	7101|1	23#1	26078
30052	1039	1|35	60#1	77006
30053	29	0|10	91#2	12001
30061	14	7201|1	80#1	26078
30062	3	60|3	4#50	22001
30063	125	0|3	23#1	8201
30071	14	8101|1	60#1	26078
30072	52	2|10	4#50	7801
30073	1037	1|4	69#50	67001
30081	1039	1|45	14#50000	77006
30082	3	80|2	80#1	22001
30083	79	0|1	14#50000	74001
30091	14	8201|1	4#50	26078
30092	1045	0|30	91#2	1011
30093	20	0|10	3#10000	30002
30101	1039	1|60	23#1	77006
30102	53	0|3	80#1	25001
30103	1026	1|2	60#1	7901
30111	14	9101|1	14#50000	26078
30112	3	80|3	23#1	22001
30113	1023	5|1	80#1	77001
30121	1045	0|50	91#2	1011
30122	83	0|15	60#1	1027
30123	7	0|10	3#10000	8001
30131	14	9201|1	4#50	26078
30132	55	6|1	4#50	22001
30133	36	0|10	3#10000	26079
30141	1039	1|75	14#50000	77006
30142	116	0|2	91#2	80004
30143	1026	2|2	3#10000	7901
30151	14	10101|1	23#1	26078
30152	3	100|2	91#2	22001
30153	125	0|6	80#1	8201
30161	1045	0|75	60#1	1011
30162	29	0|20	69#50	1004
30163	49	0|20	14#50000	1023
30171	14	10201|1	3#10000	26078
30172	55	6|2	23#1	22001
30173	79	0|3	60#1	74001
30181	1039	1|100	91#2	77006
30182	1058	0|2	80#1	30001
30183	1075	6|1	4#50	77001
30191	14	11101|1	23#1	26078
30192	3	100|3	60#1	22001
30193	1076	6|1	4#50	77001
30201	1045	0|100	69#50	1011
30202	1017	0|2	14#50000	77002
30203	1077	6|1	80#1	77001
30211	14	11201|1	14#50000	26078
30212	1051	0|10	4#50	73001
30213	1078	6|1	91#2	77001
30221	1058	0|5	3#10000	30001
30222	55	6|3	23#1	22001
30223	33	0|3	80#1	1002
30231	14	12101|1	60#1	26078
30232	1026	1|5	14#50000	7901
30233	1005	0|5	23#1	8101
30241	1039	1|125	80#1	77006
30242	76	6|1	91#2	60001
30243	3	145|2	60#1	22001
30251	14	12201|1	3#10000	26078
30252	1037	0|6	4#50	67001
30253	29	0|40	4#50	1004
30261	1045	0|130	3#10000	1011
30262	3	145|3	14#50000	22001
30263	10	0|300000	91#2	22001
30271	14	13101|1	3#10000	26078
30272	1039	1|150	23#1	77006
30273	3	165|1	91#2	22001
30281	1058	0|10	80#1	30001
30282	1045	0|140	60#1	1011
30283	136	0|10	69#50	8101
30291	14	13201|1	14#50000	26078
30292	83	2|2	3#10000	1027
30293	49	0|30	23#1	1023
30301	1039	1|165	60#1	77006
30302	76	6|2	91#2	60001
30303	1075	8|1	80#1	77001
30311	14	14101|1	4#50	26078
30312	3	165|2	23#1	22001
30313	1076	8|1	60#1	77001
30321	1045	0|160	4#50	1011
30322	33	0|8	69#50	1002
30323	1077	8|1	14#50000	77001
30331	14	14201|1	80#1	26078
30332	1039	1|180	14#50000	77006
30333	1078	8|1	4#50	77001
30341	1058	0|20	91#2	30001
30342	1045	0|170	3#10000	1011
30343	1017	0|5	23#1	77002
30351	14	15101|1	80#1	26078
30352	1037	0|7	60#1	67001
30353	3	185|2	14#50000	22001
30361	1039	1|195	23#1	77006
30362	1051	0|20	80#1	73001
30363	10	0|500000	91#2	22001
30371	14	15201|1	60#1	26078
30372	76	6|3	3#10000	60001
30373	3	185|3	4#50	22001
30381	1045	0|190	4#50	1011
30382	1026	1|10	3#10000	7901
30383	1064	0|2	14#50000	21600
30391	14	1102|1	91#2	26078
30392	1039	1|210	3#10000	77006
30393	49	0|40	23#1	1023
30401	1058	0|25	91#2	30001
30402	1045	0|200	80#1	1011
30403	1037	0|8	60#1	67001
30411	14	1202|1	69#50	26078
30412	83	2|5	14#50000	1027
30413	3	205|1	3#10000	22001
30421	1039	1|225	23#1	77006
30422	33	0|15	60#1	1002
30423	1064	0|5	91#2	21600
30431	14	1302|1	80#1	26078
30432	1045	0|215	4#50	1011
30433	79	0|7	23#1	74001
30441	14	2102|1	60#1	26078
30442	1058	0|30	4#50	30001
30443	1039	1|240	69#50	77006
30451	14	2202|1	14#50000	26078
30452	1039	1|250	80#1	77006
30453	3	205|2	14#50000	22001
30461	14	2302|1	4#50	26078
30462	1045	0|230	91#2	1011
30463	10	0|800000	3#10000	22001
30471	14	3102|1	23#1	26078
30472	1039	1|270	80#1	77006
30473	1026	1|15	60#1	7901
30481	14	3202|1	14#50000	26078
30482	1045	0|240	23#1	1011
30483	1051	0|30	80#1	73001
30491	14	3302|1	91#2	26078
30492	1058	0|35	60#1	30001
30493	49	0|50	3#10000	1023
30501	14	4102|1	4#50	26078
30502	1039	1|300	23#1	77006
30503	1045	0|250	14#50000	1011
