Id	Round	NextRound	LvRequire	CurrentLotteryID	SpecialLotteryID1	SpecialLotteryID2	SpecialLotteryID3	PurpleLotteryID1	PurpleLotteryID2	PurpleLotteryID3
int	int	int	int	int	int	int	int	int	int	int
1	1	2	14	1000	1008	1015	1023	1110	1120	1130
2	2	3	18	1000	1510	1520	1530	1110	1120	1130
3	3	4	28	1000	1210	1220	1230	1110	1120	1130
4	4	5	38	1000	1310	1320	1330	1110	1120	1130
5	5	6	48	1000	1510	1620	1540	1110	1120	1130
6	6	7	58	1000	1610	1540	1530	1110	1120	1130
7	7	8	68	1000	1610	1320	1430	1110	1120	1130
8	8	9	78	1000	1540	1520	1630	1110	1120	1130
9	9	10	88	1000	1510	1620	1540	1110	1120	1130
10	10	11	98	1000	1410	1620	1330	1110	1120	1130
11	11	12	106	1000	1610	1540	1530	1110	1120	1130
12	12	13	114	1000	1540	1520	1630	1110	1120	1130
13	13	14	122	1000	1310	1420	1630	1110	1120	1130
14	14	15	130	1000	1610	1620	1630	1110	1120	1130
15	15	16	138	1000	1510	1620	1540	1110	1120	1130
16	16	17	146	1000	1610	1540	1530	1110	1120	1130
17	17	18	154	1000	1610	1320	1430	1110	1120	1130
18	18	19	162	1000	1540	1520	1630	1110	1120	1130
19	19	20	170	1000	1510	1620	1540	1110	1120	1130
20	20	21	178	1000	1410	1620	1330	1110	1120	1130
21	21	22	186	1000	1610	1540	1530	1110	1120	1130
22	22	23	194	1000	1540	1520	1630	1110	1120	1130
23	23	24	202	1000	1310	1420	1630	1110	1120	1130
24	24	25	210	1000	1610	1620	1630	1110	1120	1130
25	25	26	218	1000	1510	1620	1540	1110	1120	1130
26	26	27	226	1000	1610	1540	1530	1110	1120	1130
27	27	28	234	1000	1610	1320	1430	1110	1120	1130
28	28	29	242	1000	1540	1520	1630	1110	1120	1130
29	29	30	250	1000	1510	1620	1540	1110	1120	1130
30	30	31	258	1000	1410	1620	1330	1110	1120	1130
31	31	32	266	1000	1610	1540	1530	1110	1120	1130
32	32	33	274	1000	1540	1520	1630	1110	1120	1130
33	33	34	282	1000	1310	1420	1630	1110	1120	1130
34	34	0	290	1000	1610	1620	1630	1110	1120	1130
