Id	ActivityId	Type	TaskType	TaskValue	Integral	Weight	IsShow
int	int	int	int	mut,int#int,2	mut,int#int,2	int	int
10101	8	1	73	0|1	68#100	100	1
10102	8	1	54	0|5	68#50	100	1
10103	8	1	107	0|5	68#100	100	1
10104	8	1	87	0|10	68#100	100	1
10105	8	1	76	0|5	68#50	100	1
10106	8	1	36	0|8	68#100	100	1
10107	8	1	7	0|10	68#100	100	1
10108	8	1	125	0|5	68#100	100	1
10109	8	1	79	0|1	68#50	100	1
10110	8	1	134	0|5	68#100	100	1
10111	8	1	135	0|3	68#50	100	1
10112	8	1	20	0|5	68#100	100	1
10113	8	1	108	14|1000000	68#100	100	1
10114	8	1	83	0|5	68#50	100	1
10115	8	1	117	0|1	68#100	100	1
10201	8	2	150	0|600	68#400	100	1
10202	8	2	108	14|10000000	68#400	100	1
10203	8	2	108	3|5000000	68#400	100	1
10204	8	2	2	5|5	68#400	100	1
10205	8	2	83	0|100	68#400	100	1
10206	8	2	76	6|2	68#500	100	1
10207	8	2	111	0|20	68#500	100	1
10208	8	2	113	0|32	68#500	100	1
10209	8	2	55	6|1	68#800	100	1
10210	8	2	108	16|3000	68#800	100	1
10301	8	3	22	0|100	68#2000	100	1
10302	8	3	76	0|300	68#2000	100	1
10303	8	3	76	6|15	68#2000	100	1
10304	8	3	108	3|80000000	68#2000	100	1
10305	8	3	55	9|1	68#2000	100	1
10306	8	3	83	0|500	68#2000	100	1
10307	8	3	28	0|400	68#2000	100	1
10308	8	3	28	0|500	68#2000	100	1
10309	8	3	135	0|100	68#2000	100	1
10310	8	3	108	16|20000	68#2000	100	1
11101	801	1	73	0|1	68#100	100	1
11102	801	1	54	0|5	68#50	100	1
11103	801	1	107	0|5	68#100	100	1
11104	801	1	87	0|10	68#100	100	1
11105	801	1	76	0|5	68#50	100	1
11106	801	1	36	0|8	68#100	100	1
11107	801	1	7	0|10	68#100	100	1
11108	801	1	125	0|5	68#100	100	1
11109	801	1	79	0|1	68#50	100	1
11110	801	1	134	0|5	68#100	100	1
11111	801	1	135	0|3	68#50	100	1
11112	801	1	20	0|5	68#100	100	1
11113	801	1	108	14|1000000	68#100	100	1
11114	801	1	83	0|5	68#50	100	1
11115	801	1	117	0|1	68#100	100	1
11201	801	2	150	0|600	68#400	100	1
11202	801	2	108	14|10000000	68#400	100	1
11203	801	2	108	3|5000000	68#400	100	1
11204	801	2	2	5|5	68#400	100	1
11205	801	2	83	0|100	68#400	100	1
11206	801	2	76	6|2	68#500	100	1
11207	801	2	111	0|20	68#500	100	1
11208	801	2	113	0|32	68#500	100	1
11209	801	2	55	6|1	68#800	100	1
11210	801	2	108	16|3000	68#800	100	1
11301	801	3	22	0|100	68#2000	100	1
11302	801	3	76	0|300	68#2000	100	1
11303	801	3	76	6|15	68#2000	100	1
11304	801	3	108	3|80000000	68#2000	100	1
11305	801	3	55	9|1	68#2000	100	1
11306	801	3	83	0|500	68#2000	100	1
11307	801	3	28	0|400	68#2000	100	1
11308	801	3	28	0|500	68#2000	100	1
11309	801	3	135	0|100	68#2000	100	1
11310	801	3	108	16|20000	68#2000	100	1
12101	802	1	73	0|1	68#100	100	1
12102	802	1	54	0|5	68#50	100	1
12103	802	1	107	0|5	68#100	100	1
12104	802	1	87	0|10	68#100	100	1
12105	802	1	76	0|5	68#50	100	1
12106	802	1	36	0|8	68#100	100	1
12107	802	1	7	0|10	68#100	100	1
12108	802	1	125	0|5	68#100	100	1
12109	802	1	79	0|1	68#50	100	1
12110	802	1	134	0|5	68#100	100	1
12111	802	1	135	0|3	68#50	100	1
12112	802	1	20	0|5	68#100	100	1
