Id	ActivityId	TaskType	TaskValue	Points	Times	DayNum	Reward
int	int	int	mut,int#int,2	int	int	int	mut,int#int,2
1	10	73	1|1	1	1	1	50004#20|16#100|4#100
2	10	108	16|3000	1	1	1	50004#20|19#1|60#5
3	10	14	1201|1	1	1	1	50004#10|4#20|14#20000
4	10	14	2101|1	1	1	1	50004#10|4#30|14#30000
5	10	14	2201|1	1	1	1	50004#10|4#30|14#50000
6	10	14	3101|1	1	1	1	50004#10|4#50|14#80000
7	10	14	3201|1	1	1	1	50004#10|4#50|14#100000
8	10	14	4201|1	1	1	1	50004#10|4#100|14#100000
9	10	75	5|10	1	1	1	50004#10|6001010#5|14#20000
10	10	75	5|20	1	1	1	50004#10|6001010#5|14#30000
11	10	1	0|5	1	1	1	50004#10|6001010#5|14#50000
12	10	1	0|10	1	1	1	50004#10|6001010#5|14#80000
13	10	1	0|20	1	1	1	50004#10|6001010#10|14#100000
14	10	1	0|40	1	1	1	50004#10|6001010#10|14#100000
15	10	73	2|1	1	1	2	50004#20|16#150|19#1
16	10	108	16|6000	1	1	2	50004#20|4#300|60#5
17	10	1039	1|10	1	1	2	50004#10|23#2|14#20000
18	10	1039	1|15	1	1	2	50004#10|23#2|14#30000
19	10	1039	1|20	1	1	2	50004#10|6000086#1|14#50000
20	10	1039	1|25	1	1	2	50004#10|23#2|14#80000
21	10	1039	1|30	1	1	2	50004#10|23#2|14#100000
22	10	1039	1|35	1	1	2	50004#10|6000087#1|14#100000
23	10	79	0|1	1	1	2	50004#10|4#50|14#20000
24	10	79	0|3	1	1	2	50004#10|6000110#80|14#30000
25	10	79	0|5	1	1	2	50004#10|4#80|14#50000
26	10	125	0|2	1	1	2	50004#10|6000110#100|14#80000
27	10	125	0|5	1	1	2	50004#10|4#150|14#100000
28	10	125	0|10	1	1	2	50004#10|6000110#200|14#100000
29	10	73	3|1	1	1	3	50004#20|16#200|23#5
30	10	108	16|10000	1	1	3	50004#20|19#3|60#5
31	10	7	0|5	1	1	3	50004#10|23#2|14#20000
32	10	7	0|10	1	1	3	50004#10|60#1|14#30000
33	10	7	0|15	1	1	3	50004#10|23#3|14#50000
34	10	7	0|20	1	1	3	50004#10|60#2|14#80000
35	10	7	0|30	1	1	3	50004#10|23#5|14#100000
36	10	7	0|40	1	1	3	50004#10|60#2|14#100000
37	10	55	5|1	1	1	3	50004#10|6001010#5|14#20000
38	10	55	5|2	1	1	3	50004#10|6001010#5|14#30000
39	10	55	5|3	1	1	3	50004#10|6001010#5|14#50000
40	10	55	5|4	1	1	3	50004#10|6001010#5|14#80000
41	10	55	6|1	1	1	3	50004#10|6001010#10|14#100000
42	10	55	6|2	1	1	3	50004#10|6001010#10|14#100000
43	10	73	4|1	1	1	4	50004#20|16#250|80#5
44	10	108	16|15000	1	1	4	50004#20|6000110#1000|60#5
45	10	76	0|10	1	1	4	50004#10|6001010#5|14#20000
46	10	76	0|20	1	1	4	50004#10|6001010#5|14#30000
47	10	76	0|30	1	1	4	50004#10|6001010#5|14#50000
48	10	76	0|40	1	1	4	50004#10|6001010#5|14#80000
49	10	76	4|5	1	1	4	50004#10|6001010#5|14#100000
50	10	76	4|10	1	1	4	50004#10|6001010#5|14#100000
51	10	77	0|5	1	1	4	50004#10|72001#5|14#20000
52	10	77	0|10	1	1	4	50004#10|72001#10|14#30000
53	10	77	0|15	1	1	4	50004#10|72001#10|14#50000
54	10	77	0|20	1	1	4	50004#10|72001#10|14#80000
55	10	77	0|30	1	1	4	50004#10|72001#15|14#100000
56	10	77	0|40	1	1	4	50004#10|72001#15|14#100000
57	10	73	5|1	1	1	5	50004#20|16#300|60100#1
58	10	108	16|20000	1	1	5	50004#40|61#1|60#5
59	10	54	0|2	1	1	5	50004#10|72001#10|14#20000
60	10	54	0|5	1	1	5	50004#10|72001#10|14#30000
61	10	54	0|10	1	1	5	50004#10|72001#15|14#50000
62	10	54	0|15	1	1	5	50004#10|72001#15|14#80000
63	10	54	0|20	1	1	5	50004#10|6001010#10|14#100000
64	10	54	0|25	1	1	5	50004#10|6001010#10|14#100000
65	10	87	0|8	1	1	5	50004#10|6001010#5|14#20000
66	10	87	0|16	1	1	5	50004#10|6001010#5|14#30000
67	10	87	0|24	1	1	5	50004#10|6001010#10|14#50000
68	10	87	0|32	1	1	5	50004#10|6001010#10|14#80000
69	10	87	0|40	1	1	5	50004#10|6001010#15|14#100000
70	10	87	0|48	1	1	5	50004#10|6001010#15|14#100000
71	10	73	6|1	1	1	6	50004#30|16#350|60#5
72	10	108	16|25000	1	1	6	50004#40|20#1|60#5
73	10	33	0|1	1	1	6	50004#10|60#2|14#20000
74	10	33	0|2	1	1	6	50004#10|60#2|14#30000
75	10	33	0|3	1	1	6	50004#10|60#2|14#50000
76	10	33	0|4	1	1	6	50004#10|60#3|14#80000
77	10	33	0|5	1	1	6	50004#10|60#3|14#100000
78	10	33	0|6	1	1	6	50004#10|60#3|14#100000
79	10	83	0|10	1	1	6	50004#10|60#1|14#20000
80	10	83	0|20	1	1	6	50004#10|91#3|14#30000
81	10	83	0|30	1	1	6	50004#10|60#2|14#50000
82	10	83	0|40	1	1	6	50004#10|91#3|14#80000
83	10	83	0|60	1	1	6	50004#10|19#1|14#100000
84	10	83	0|80	1	1	6	50004#10|19#1|14#100000
85	10	73	7|1	1	1	7	50004#30|16#400|20#1
86	10	108	16|30000	1	1	7	50004#40|99005#1|60#5
87	10	116	0|1	1	1	7	50004#10|3#100000|14#20000
88	10	116	0|2	1	1	7	50004#10|3#100000|14#30000
89	10	116	0|3	1	1	7	50004#10|3#150000|14#50000
90	10	116	0|4	1	1	7	50004#10|3#150000|14#80000
91	10	116	0|5	1	1	7	50004#10|3#200000|14#100000
92	10	116	0|6	1	1	7	50004#10|3#200000|14#100000
93	10	8	0|1100	1	1	7	50004#10|4#50|14#20000
94	10	8	0|1200	1	1	7	50004#10|6000110#80|14#30000
95	10	8	0|1300	1	1	7	50004#10|4#80|14#50000
96	10	8	0|1400	1	1	7	50004#10|6000110#100|14#80000
97	10	8	0|1500	1	1	7	50004#10|4#150|14#100000
98	10	8	0|1600	1	1	7	50004#10|6000110#200|14#100000
99	10	86	10|1	1	1	0	null
100	10	86	10|2	1	1	0	null
101	10	86	10|3	1	1	0	null
102	10	86	50|1	1	1	0	null
103	10	86	50|2	1	1	0	null
104	10	86	50|3	1	1	0	null
105	10	86	51|1	1	1	0	null
106	10	86	51|2	1	1	0	null
107	10	86	51|3	1	1	0	null
108	10	86	52|1	1	1	0	null
109	10	86	52|2	1	1	0	null
110	10	86	52|3	1	1	0	null
111	10	86	53|1	1	1	0	null
112	10	86	53|2	1	1	0	null
113	10	86	53|3	1	1	0	null
114	10	86	54|1	1	1	0	null
115	10	86	54|2	1	1	0	null
116	10	86	54|3	1	1	0	null
117	10	86	55|1	1	1	0	null
118	10	86	55|2	1	1	0	null
119	10	86	55|3	1	1	0	null
120	10	38	0|20	0	1	0	19#1
121	10	38	0|50	0	1	0	50004#100
122	10	38	0|70	0	1	0	61#1
123	10	38	0|100	0	1	0	16#3000
