Id	Type	Answer	TrueAnswer	TrueReward	FalseReward
int	int	String	mut,int#int,1	mut,int#int,2	mut,int#int,2
1	13	43020003	1#0	60#1	14#66666
2	13	43020004	0#1#0#0	6001020#1	14#66666
3	13	43020005	0#0#0#1	6001020#1	14#66666
4	13	43020006	1#0#0	60#2	14#66666
5	13	43020007	1#0#0	60#2	14#66666
6	13	43020008	0#1	60#1	14#66666
7	13	43020009	0#1#0	60#2	14#66666
8	13	43020010	0#0#1	60#2	14#66666
9	13	43020011	0#1	60#1	14#66666
10	13	43020012	0#1#0	60#2	14#66666
11	13	43020013	1#0	60#1	14#66666
12	13	43020014	1#0	60#1	14#66666
13	13	43020015	0#0#1#0	6001020#1	14#66666
14	13	43020016	1#0#0	60#2	14#66666
15	13	43020017	0#1	60#1	14#66666
16	13	43020018	0#1#0#0	6001020#1	14#66666
17	13	43020019	0#1#0	60#2	14#66666
18	13	43020020	0#1	60#1	14#66666
19	13	43020021	0#1	60#1	14#66666
20	13	43020022	0#0#1	60#2	14#66666
21	13	43020023	0#0#1	60#2	14#66666
22	13	43020024	1#0	60#1	14#66666
23	13	43020025	0#1#0	60#2	14#66666
24	13	43020026	1#0#0	60#2	14#66666
25	13	43020027	0#1#0#0	6001020#1	14#66666
26	13	43020028	0#1	60#1	14#66666
27	13	43020029	1#0#0	60#2	14#66666
28	13	43020030	0#1#0	60#2	14#66666
29	13	43020031	0#0#1	60#2	14#66666
30	13	43020032	0#0#1	60#2	14#66666
31	13	43020033	0#1#0	60#2	14#66666
32	13	43020034	1#0#0	60#2	14#66666
33	13	43020035	1#0	60#1	14#66666
34	13	43020036	0#1	60#1	14#66666
35	13	43020037	1#0	60#1	14#66666
36	13	43020038	1#0	60#1	14#66666
37	13	43020039	1#0	60#1	14#66666
38	13	43020040	0#1	60#1	14#66666
39	13	43020041	0#0#0#1	6001020#1	14#66666
40	13	43020042	0#1#0	60#2	14#66666
41	13	43020043	1#0	60#1	14#66666
42	13	43020044	1#0	60#1	14#66666
43	13	43020045	1#0#0	60#2	14#66666
44	13	43020046	1#0	60#1	14#66666
45	13	43020047	0#1#0	60#2	14#66666
46	13	43020048	1#0#0	60#2	14#66666
47	13	43020049	0#0#1	60#2	14#66666
48	13	43020050	0#1#0	60#2	14#66666
49	13	43020051	0#1	60#1	14#66666
50	13	43020052	1#0#0	60#2	14#66666
51	13	43020053	0#0#0#1	6001020#1	14#66666
52	13	43020054	1#0	60#1	14#66666
53	13	43020055	1#0	60#1	14#66666
54	13	43020056	0#0#0#1	6001020#1	14#66666
55	13	43020057	0#1#0	60#2	14#66666
56	13	43020058	1#0#0	60#2	14#66666
57	13	43020059	0#0#1	60#2	14#66666
58	13	43020060	0#1#0	60#2	14#66666
59	13	43020061	1#0	60#1	14#66666
60	13	43020062	0#1	60#1	14#66666
61	13	43020063	1#0#0	60#2	14#66666
62	13	43020064	0#1	60#1	14#66666
63	13	43020065	0#1	60#1	14#66666
64	13	43020066	0#1#0	60#2	14#66666
65	13	43020067	0#1#0	60#2	14#66666
66	13	43020068	0#0#0#1	6001020#1	14#66666
67	13	43020069	0#1	60#1	14#66666
68	13	43020070	0#1	60#1	14#66666
69	13	43020071	1#0#0	60#2	14#66666
70	13	43020072	0#1	60#1	14#66666
71	13	43020073	0#1	60#1	14#66666
72	13	43020074	1#0	60#1	14#66666
73	13	43020075	1#0#0	60#2	14#66666
74	13	43020076	1#0#0	60#2	14#66666
75	13	43020077	0#1#0	60#2	14#66666
76	13	43020078	1#0#0	60#2	14#66666
77	13	43020079	1#0#0#0	6001020#1	14#66666
78	13	43020080	1#0#0	60#2	14#66666
79	13	43020081	1#0	60#1	14#66666
80	13	43020082	0#1	60#1	14#66666
81	13	43020083	1#0	60#1	14#66666
82	13	43020084	1#0	60#1	14#66666
83	13	43020085	1#0#0	60#2	14#66666
84	13	43020086	0#1#0#0	6001020#1	14#66666
85	13	43020087	0#0#1	60#2	14#66666
86	13	43020088	1#0	60#1	14#66666
87	13	43020089	0#0#1	60#2	14#66666
88	13	43020090	1#0	60#1	14#66666
89	13	43020091	0#1#0	60#2	14#66666
90	13	43020092	1#0#0	60#2	14#66666
91	13	43020093	0#0#1	60#2	14#66666
92	13	43020094	1#0	60#1	14#66666
93	13	43020095	1#0#0#0	6001020#1	14#66666
94	13	43020096	0#0#1	60#2	14#66666
95	13	43020097	1#0#0	60#2	14#66666
96	13	43020098	1#0#0	60#2	14#66666
97	13	43020099	1#0	60#1	14#66666
98	13	43020100	1#0#0#0	6001020#1	14#66666
99	13	43020101	0#1#0	60#2	14#66666
100	13	43020102	0#1	60#1	14#66666
101	13	43020103	1#0	60#1	14#66666
102	13	43020104	1#0	60#1	14#66666
103	13	43020105	0#0#0#1	6001020#1	14#66666
104	13	43020106	0#1#0	60#2	14#66666
105	13	43020107	1#0	60#1	14#66666
106	13	43020108	1#0#0	60#2	14#66666
107	13	43020109	0#1	60#1	14#66666
108	13	43020110	1#0#0	60#2	14#66666
109	13	43020111	0#0#1	60#2	14#66666
110	13	43020112	0#1	60#1	14#66666
111	13	43020113	0#1#0	60#2	14#66666
