Id	Section	MapId	GameType	GameCount	BoxReward	BoxPosition
int	mut,int#int,1	int	mut,int#int,2	mut,int#int,1	mut,int#int,3	mut,int#int,2
1	1#20	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#50	2#3|6#2|10#4|5#10
2	21#40	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#51	2#3|6#2|10#4|5#10
3	41#50	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#52	2#3|6#2|10#4|5#10
4	51#60	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#53	2#3|6#2|10#4|5#10
5	61#70	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#54	2#3|6#2|10#4|5#10
6	71#80	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#55	2#3|6#2|10#4|5#10
7	81#100	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#56	2#3|6#2|10#4|5#10
8	101#120	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#57	2#3|6#2|10#4|5#10
9	121#150	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#58	2#3|6#2|10#4|5#10
10	151#200	2000	1#2000005|2#2000008|3#2000007	2#2#2	14#1000|3#500,4#200,19#2,16#59	2#3|6#2|10#4|5#10
