Id	Monster	BattleTime	FirstAwards	Awards	NextLevel
int	int	int	mut,int#int,1	mut,int#int,2	int
1	1000001	20	4#10	14#5000|3#2000	2
2	1000002	20	4#11	14#2500|3#1000	3
3	1000003	20	4#12	14#3000|3#1200	4
4	1000004	20	4#13	14#3000|3#1200	5
5	1000005	20	4#14	14#3500|3#1400	6
6	1000006	20	4#15	14#3500|3#1400	7
7	1000007	20	4#16	14#4000|3#1600	8
8	1000008	20	4#17	14#4000|3#1600	9
9	1000009	20	4#18	14#4500|3#1800	10
10	1000010	20	4#19	14#4500|3#1800	11
11	1000011	20	4#20	14#5100|3#2000	12
12	1000012	20	4#20	14#5100|3#2000	13
13	1000013	20	4#21	14#5600|3#2200	14
14	1000014	20	4#21	14#5600|3#2200	15
15	1000015	20	4#22	14#6100|3#2400	16
16	1000016	20	4#22	14#6100|3#2400	17
17	1000017	20	4#23	14#6600|3#2600	18
18	1000018	20	4#23	14#6600|3#2600	19
19	1000019	20	4#24	14#7100|3#2800	20
20	1000020	20	4#24	14#7100|3#2800	21
21	1000021	20	4#25	14#7600|3#3000	22
22	1000022	20	4#25	14#7600|3#3000	23
23	1000023	20	4#26	14#8100|3#3200	24
24	1000024	20	4#26	14#8100|3#3200	25
25	1000025	20	4#27	14#8600|3#3400	26
26	1000026	20	4#27	14#8600|3#3400	27
27	1000027	20	4#28	14#9100|3#3600	28
28	1000028	20	4#28	14#9100|3#3600	29
29	1000029	20	4#29	14#9600|3#3800	30
30	1000030	20	4#29	14#9600|3#3800	31
31	1000031	20	4#30	14#10000|3#4000	32
32	1000032	20	4#30	14#10000|3#4000	33
33	1000033	20	4#31	14#11000|3#4200	34
34	1000034	20	4#31	14#11000|3#4200	35
35	1000035	20	4#32	14#11000|3#4400	36
36	1000036	20	4#32	14#11000|3#4400	37
37	1000037	20	4#33	14#12000|3#4600	38
38	1000038	20	4#33	14#12000|3#4600	39
39	1000039	20	4#34	14#12000|3#4800	40
40	1000040	20	4#34	14#12000|3#4800	41
41	1000041	20	4#35	14#13000|3#5100	42
42	1000042	20	4#35	14#13000|3#5100	43
43	1000043	20	4#36	14#13000|3#5300	44
44	1000044	20	4#36	14#13000|3#5300	45
45	1000045	20	4#37	14#14000|3#5500	46
46	1000046	20	4#37	14#14000|3#5500	47
47	1000047	20	4#38	14#14000|3#5700	48
48	1000048	20	4#38	14#14000|3#5700	49
49	1000049	20	4#39	14#15000|3#5900	50
50	1000050	20	4#39	14#15000|3#5900	51
51	1000051	20	4#40	14#15000|3#6100	52
52	1000052	20	4#40	14#15000|3#6100	53
53	1000053	20	4#41	14#16000|3#6300	54
