Id	Monster	BattleTime	FirstAwards	Awards	StarCondition	NextLevel	Challenge
int	int	int	mut,int#int,2	mut,int#int,2	mut,int#int,2	int	int
1	1100001	20	17014#5|17013#15	17013#3|14#110000	7#0|2#1#1#3|3#6	2	0
2	1100002	20	16#50|17013#15	17013#3|14#110000	7#0|2#2#1#3|3#6	3	0
3	1100003	20	16#50|17013#15	17013#3|14#110000	7#0|2#3#1#3|3#6	4	0
4	1100004	20	16#50|17013#15	17013#3|14#110500	7#0|6#2|3#6	5	0
5	1100005	20	17014#5|17013#15	17013#3|14#110500	7#0|2#4#1#3|4#5000	6	1
6	1100006	20	16#50|17013#15	17013#3|14#110500	7#0|2#5#1#3|3#6	7	0
7	1100007	20	16#50|17013#15	17013#3|14#111000	7#0|1#3#1#3|3#6	8	0
8	1100008	20	16#50|17013#15	17013#3|14#111000	7#0|1#1#1#3|3#6	9	0
9	1100009	20	16#50|17013#15	17013#3|14#111000	7#0|1#2#1#3|3#6	10	0
10	1100010	20	17014#5|17013#15	17013#3|14#111500	7#0|1#4#1#3|5#0	11	1
11	1100011	20	16#50|17013#15	17013#3|14#111500	7#0|2#1#2#1|3#6	12	0
12	1100012	20	16#50|17013#15	17013#3|14#111500	7#0|2#2#2#1|3#6	13	0
13	1100013	20	16#50|17013#15	17013#3|14#112000	7#0|2#3#2#1|3#6	14	0
14	1100014	20	16#50|17013#15	17013#3|14#112000	7#0|6#3|3#6	15	0
15	1100015	20	17014#5|17013#15	17013#3|14#112000	7#0|2#4#2#1|4#5000	16	1
16	1100016	20	16#50|17013#15	17013#3|14#112500	7#0|2#5#2#1|3#6	17	0
17	1100017	20	16#50|17013#15	17013#3|14#112500	7#0|1#3#2#1|3#6	18	0
18	1100018	20	16#50|17013#15	17013#3|14#112500	7#0|1#1#2#1|3#6	19	0
19	1100019	20	16#50|17013#15	17013#3|14#113000	7#0|1#2#2#1|3#6	20	0
20	1100020	20	17014#5|17013#15	17013#3|14#113000	7#0|1#4#2#1|5#0	21	1
