Id	StoreId	VisibleStar	BuyStar
int	int	int	int
1	50101	0	15
2	50102	15	45
3	50103	15	45
4	50104	45	75
5	50105	45	75
6	50106	75	105
7	50107	75	105
8	50108	105	135
9	50109	105	135
10	50110	135	165
11	50111	135	165
12	50112	165	195
13	50113	165	195
14	50114	195	225
15	50115	195	225
16	50116	225	255
17	50117	225	255
18	50118	255	285
19	50119	255	285
20	50120	285	315
21	50121	285	315
22	50122	315	345
23	50123	315	345
24	50124	345	375
25	50125	345	375
26	50126	375	405
27	50127	375	405
28	50128	405	435
29	50129	405	435
30	50130	435	465
31	50131	435	465
32	50132	465	495
33	50133	465	495
34	50134	495	525
35	50135	495	525
36	50136	525	555
37	50137	525	555
38	50138	555	585
39	50139	555	585
40	50140	585	615
41	50141	585	615
42	50142	615	645
43	50143	615	645
44	50144	645	675
45	50145	645	675
46	50146	675	705
47	50147	675	705
48	50148	705	735
49	50149	705	735
50	50150	735	765
51	50151	735	765
52	50152	765	795
53	50153	765	795
54	50154	795	825
55	50155	795	825
56	50156	825	855
57	50157	825	855
58	50158	855	885
59	50159	855	885
60	50160	885	915
61	50161	885	915
62	50162	915	945
63	50163	915	945
64	50164	945	975
65	50165	945	975
66	50166	975	1005
67	50167	975	1005
68	50168	1005	1035
69	50169	1005	1035
70	50170	1035	1065
71	50171	1035	1065
72	50172	1065	1095
73	50173	1065	1095
74	50174	1095	1125
75	50175	1095	1125
76	50176	1125	1155
77	50177	1125	1155
78	50178	1155	1185
79	50179	1155	1185
80	50180	1185	1215
81	50181	1185	1215
82	50182	1215	1245
83	50183	1215	1245
84	50184	1245	1275
85	50185	1245	1275
86	50186	1275	1305
87	50187	1275	1305
88	50188	1305	1335
89	50189	1305	1335
90	50190	1335	1365
91	50191	1335	1365
92	50192	1365	1395
93	50193	1365	1395
94	50194	1395	1425
95	50195	1395	1425
96	50196	1425	1455
97	50197	1425	1455
98	50198	1455	1485
99	50199	1455	1485
100	50200	1485	1500
101	50201	0	1
102	50202	1	30
103	50203	30	120
104	50204	120	210
105	50205	210	390
106	50206	390	570
107	50207	570	750
108	50208	750	930
109	50209	930	1110
110	50210	1110	1290
111	50211	1290	1470
112	50212	9999	1500
113	50213	9999	1500
114	50214	9999	1500
115	50215	9999	1500
116	50216	9999	1500
117	50217	9999	1500
118	50218	9999	1500
119	50219	9999	1500
120	50220	9999	1500
121	50221	9999	1500
122	50222	9999	1500
123	50223	9999	1500
124	50224	9999	1500
125	50225	9999	1500
126	50226	9999	1500
127	50227	9999	1500
128	50228	9999	1500
129	50229	9999	1500
130	50230	9999	1500
131	50231	9999	1500
132	50232	9999	1500
133	50233	9999	1500
134	50234	9999	1500
135	50235	9999	1500
136	50236	9999	1500
137	50237	9999	1500
138	50238	9999	1500
139	50239	9999	1500
140	50240	9999	1500
141	50241	9999	1500
142	50242	9999	1500
143	50243	9999	1500
144	50244	9999	1500
145	50245	9999	1500
146	50246	9999	1500
147	50247	9999	1500
148	50248	9999	1500
149	50249	9999	1500
150	50250	9999	1500
151	50251	9999	1500
152	50252	9999	1500
153	50253	9999	1500
154	50254	9999	1500
155	50255	9999	1500
156	50256	9999	1500
157	50257	9999	1500
158	50258	9999	1500
159	50259	9999	1500
160	50260	9999	1500
161	50261	9999	1500
162	50262	9999	1500
163	50263	9999	1500
164	50264	9999	1500
165	50265	9999	1500
166	50266	9999	1500
167	50267	9999	1500
168	50268	9999	1500
169	50269	9999	1500
170	50270	9999	1500
171	50271	9999	1500
172	50272	9999	1500
173	50273	9999	1500
174	50274	9999	1500
175	50275	9999	1500
176	50276	9999	1500
177	50277	9999	1500
178	50278	9999	1500
179	50279	9999	1500
180	50280	9999	1500
181	50281	9999	1500
182	50282	9999	1500
183	50283	9999	1500
184	50284	9999	1500
185	50285	9999	1500
186	50286	9999	1500
187	50287	9999	1500
188	50288	9999	1500
189	50289	9999	1500
190	50290	9999	1500
191	50291	9999	1500
192	50292	9999	1500
193	50293	9999	1500
194	50294	9999	1500
195	50295	9999	1500
196	50296	9999	1500
197	50297	9999	1500
198	50298	9999	1500
199	50299	9999	1500
200	50300	9999	1500
