Id	Star	StarReward	PurchaseLevelReward
int	int	mut,int#int,2	mut,int#int,2
1	10	17013#5	null
2	20	17013#5	null
3	30	17013#5|17014#5	null
4	40	17013#6	null
5	50	17013#6	null
6	60	17013#6|17014#5	null
7	70	17013#7	null
8	80	17013#7	null
9	90	17013#7|17014#5	null
10	100	17013#8	null
11	110	17013#8	null
12	120	17013#8|17014#6	null
13	130	17013#9	null
14	140	17013#9	null
15	150	17013#9|17014#6	null
16	160	17013#10	null
17	170	17013#10	null
18	180	17013#10|17014#6	null
19	190	17013#11	null
20	200	17013#11	null
21	210	17013#11|17014#7	null
22	220	17013#12	null
23	230	17013#12	null
24	240	17013#12|17014#7	null
25	250	17013#13	null
26	260	17013#13	null
27	270	17013#13|17014#7	null
28	280	17013#14	null
29	290	17013#14	null
30	300	17013#14|17014#8	null
31	310	17013#15	null
32	320	17013#15	null
33	330	17013#15|17014#8	null
34	340	17013#16	null
35	350	17013#16	null
36	360	17013#16|17014#8	null
37	370	17013#17	null
38	375	null	17014#50|6000110#100|19#5
39	380	17013#17	null
40	390	17013#17|17014#9	null
41	400	17013#18	17013#100|6000110#100
42	410	17013#18	null
43	420	17013#18|17014#9	null
44	425	null	17013#100|6000110#100
45	430	17013#19	null
46	440	17013#19	null
47	450	17013#19|17014#9	17013#100|6000110#100
48	460	17013#20	null
49	470	17013#20	null
50	475	null	17013#100|6000110#100
51	480	17013#20|17014#10	null
52	490	17013#21	null
53	500	17013#21	17014#50|6000110#100|19#5
54	510	17013#21|17014#10	null
55	520	17013#22	null
56	525	null	17013#100|6000110#100
57	530	17013#22	null
58	540	17013#22|17014#10	null
59	550	17013#23	17013#100|6000110#100
60	560	17013#23	null
61	570	17013#23|17014#11	null
62	575	null	17013#100|6000110#100
63	580	17013#24	null
64	590	17013#24	null
65	600	17013#24|17014#11	17013#100|6000110#100
66	610	17013#25	null
67	620	17013#25	null
68	625	null	17014#50|6000110#100|19#5
69	630	17013#25|17014#11	null
70	640	17013#26	null
71	650	17013#26	17013#100|6000110#100
72	660	17013#26|17014#12	null
73	670	17013#27	null
74	675	null	17013#100|6000110#100
75	680	17013#27	null
76	690	17013#27|17014#12	null
77	700	17013#28	17013#100|6000110#100
78	710	17013#28	null
79	720	17013#28|17014#12	null
80	725	null	17013#100|6000110#100
81	730	17013#29	null
82	740	17013#29	null
83	750	17013#29|17014#13	17014#50|6000110#100|19#5
84	760	17013#30	null
85	770	17013#30	null
86	775	null	17013#100|6000110#100
87	780	17013#30|17014#13	null
88	790	17013#31	null
89	800	17013#31	17013#100|6000110#100
90	810	17013#31|17014#13	null
91	820	17013#32	null
92	825	null	17013#100|6000110#100
93	830	17013#32	null
94	840	17013#32|17014#14	null
95	850	17013#33	17013#100|6000110#100
96	860	17013#33	null
97	870	17013#33|17014#14	null
98	875	null	17014#50|6000110#100|19#5
99	880	17013#34	null
100	890	17013#34	null
101	900	17013#34|17014#14	17013#100|6000110#100
102	910	17013#35	null
103	920	17013#35	null
104	925	null	17013#100|6000110#100
105	930	17013#35|17014#15	null
106	940	17013#36	null
107	950	17013#36	17013#100|6000110#100
108	960	17013#36|17014#15	null
109	970	17013#37	null
110	975	null	17013#100|6000110#100
111	980	17013#37	null
112	990	17013#37|17014#15	null
113	1000	17013#38	17014#50|6000110#100|19#5
114	1010	17013#38	null
115	1020	17013#38|17014#16	null
116	1025	null	17013#100|6000110#100
117	1030	17013#39	null
118	1040	17013#39	null
119	1050	17013#39|17014#16	17013#100|6000110#100
120	1060	17013#40	null
121	1070	17013#40	null
122	1075	null	17013#100|6000110#100
123	1080	17013#40|17014#16	null
124	1090	17013#41	null
125	1100	17013#41	17013#100|6000110#100
126	1110	17013#41|17014#17	null
127	1120	17013#42	null
128	1125	null	17014#50|6000110#100|19#5
129	1130	17013#42	null
130	1140	17013#42|17014#17	null
131	1150	17013#43	17013#100|6000110#100
132	1160	17013#43	null
133	1170	17013#43|17014#17	null
134	1175	null	17013#100|6000110#100
135	1180	17013#44	null
136	1190	17013#44	null
137	1200	17013#44|17014#18	17013#100|6000110#100
138	1210	17013#45	null
139	1220	17013#45	null
140	1225	null	17013#100|6000110#100
141	1230	17013#45|17014#18	null
142	1240	17013#46	null
143	1250	17013#46	17014#50|6000110#100|19#5
144	1260	17013#46|17014#18	null
145	1270	17013#47	null
146	1275	null	17013#100|6000110#100
147	1280	17013#47	null
148	1290	17013#47|17014#19	null
149	1300	17013#48	17013#100|6000110#100
150	1310	17013#48	null
151	1320	17013#48|17014#19	null
152	1325	null	17013#100|6000110#100
153	1330	17013#49	null
154	1340	17013#49	null
155	1350	17013#49|17014#19	17013#100|6000110#100
156	1360	17013#50	null
157	1370	17013#50	null
158	1375	null	17014#50|6000110#100|19#5
159	1380	17013#50|17014#20	null
160	1390	17013#51	null
161	1400	17013#51	17013#100|6000110#100
162	1410	17013#51|17014#20	null
163	1420	17013#52	null
164	1425	null	17013#100|6000110#100
165	1430	17013#52	null
166	1440	17013#52|17014#20	null
167	1450	17013#53	17013#100|6000110#100
168	1460	17013#53	null
169	1470	17013#53|17014#21	null
170	1475	null	17013#100|6000110#100
171	1480	17013#54	null
172	1490	17013#54	null
173	1500	17013#54|17014#21	17014#50|6000110#100|19#5
