ID	Level	TankStarLimit	UpgradeCost	Forget	ForgetCost	SkillId	WarWayGroup
int	int	int	mut,int#int,2	mut,int#int,1	mut,int#int,1	int	int
60011	1	0	18001#1	6000110#1250	16#100	60011	6001
60021	1	0	18002#1	6000110#1250	16#100	60021	6002
60031	1	0	18003#1	6000110#1250	16#100	60031	6003
60041	1	0	18004#1	6000110#1250	16#100	60041	6004
60051	1	0	18005#1	6000110#1250	16#100	60051	6005
60061	1	0	18006#1	6000110#1250	16#100	60061	6006
60071	1	0	18007#1	6000110#1250	16#100	60071	6007
60081	1	0	18008#1	6000110#1250	16#100	60081	6008
60091	1	0	18009#1	6000110#1250	16#100	60091	6009
60101	1	0	18010#1	6000110#1250	16#100	60101	6010
60111	1	0	18011#1	6000110#1250	16#100	60111	6011
60121	1	0	18012#1	6000110#1250	16#100	60121	6012
60131	1	0	18013#1	6000110#1250	16#100	60131	6013
60141	1	0	18014#1	6000110#1250	16#100	60141	6014
60151	1	0	18015#1	6000110#1250	16#100	60151	6015
60161	1	0	18016#1	6000110#1250	16#100	60161	6016
60171	1	0	18017#1	6000110#1250	16#100	60171	6017
60181	1	0	18018#1	6000110#1250	16#100	60181	6018
60191	1	0	18019#1	6000110#1250	16#100	60191	6019
60201	1	0	18020#1	6000110#1250	16#100	60201	6020
60211	1	0	18021#1	6000110#1250	16#100	60211	6021
60221	1	0	18022#1	6000110#1250	16#100	60221	6022
60231	1	0	18023#1	6000110#1250	16#100	60231	6023
60241	1	0	18024#1	6000110#1250	16#100	60241	6024
60251	1	0	18025#1	6000110#1250	16#100	60251	6025
60261	1	0	18026#1	6000110#1250	16#100	60261	6026
60271	1	0	18027#1	6000110#1250	16#100	60271	6027
60281	1	0	18028#1	6000110#1250	16#100	60281	6028
60291	1	0	18029#1	6000110#1250	16#100	60291	6029
60301	1	0	18030#1	6000110#1250	16#100	60301	6030
60311	1	0	18031#1	6000110#1250	16#100	60311	6031
60321	1	0	18032#1	6000110#1250	16#100	60321	6032
60331	1	0	18033#1	6000110#1250	16#100	60331	6033
60341	1	0	18034#1	6000110#1250	16#100	60341	6034
60351	1	0	18035#1	6000110#1250	16#100	60351	6035
60361	1	0	18036#1	6000110#1250	16#100	60361	6036
60371	1	0	18037#1	6000110#1250	16#100	60371	6037
60381	1	0	18038#1	6000110#1250	16#100	60381	6038
60391	1	0	18039#1	6000110#1250	16#100	60391	6039
60401	1	0	18040#1	6000110#1250	16#100	60401	6040
60411	1	0	18041#1	6000110#1250	16#100	60411	6041
60421	1	0	18042#1	6000110#1250	16#100	60421	6042
60431	1	0	18043#1	6000110#1250	16#100	60431	6043
60012	2	0	18001#3|6000110#10000	6000110#11000	16#200	60012	6001
60022	2	0	18002#3|6000110#10000	6000110#11000	16#200	60022	6002
60032	2	0	18003#3|6000110#10000	6000110#11000	16#200	60032	6003
60042	2	0	18004#3|6000110#10000	6000110#11000	16#200	60042	6004
60052	2	0	18005#3|6000110#10000	6000110#11000	16#200	60052	6005
60062	2	0	18006#3|6000110#10000	6000110#11000	16#200	60062	6006
60072	2	0	18007#3|6000110#10000	6000110#11000	16#200	60072	6007
60082	2	0	18008#3|6000110#10000	6000110#11000	16#200	60082	6008
60092	2	0	18009#3|6000110#10000	6000110#11000	16#200	60092	6009
60102	2	0	18010#3|6000110#10000	6000110#11000	16#200	60102	6010
60112	2	0	18011#3|6000110#10000	6000110#11000	16#200	60112	6011
60122	2	0	18012#3|6000110#10000	6000110#11000	16#200	60122	6012
60132	2	0	18013#3|6000110#10000	6000110#11000	16#200	60132	6013
60142	2	0	18014#3|6000110#10000	6000110#11000	16#200	60142	6014
60152	2	0	18015#3|6000110#10000	6000110#11000	16#200	60152	6015
60162	2	0	18016#3|6000110#10000	6000110#11000	16#200	60162	6016
60172	2	0	18017#3|6000110#10000	6000110#11000	16#200	60172	6017
60182	2	0	18018#3|6000110#10000	6000110#11000	16#200	60182	6018
60192	2	0	18019#3|6000110#10000	6000110#11000	16#200	60192	6019
60202	2	0	18020#3|6000110#10000	6000110#11000	16#200	60202	6020
60212	2	0	18021#3|6000110#10000	6000110#11000	16#200	60212	6021
60222	2	0	18022#3|6000110#10000	6000110#11000	16#200	60222	6022
60232	2	0	18023#3|6000110#10000	6000110#11000	16#200	60232	6023
60242	2	0	18024#3|6000110#10000	6000110#11000	16#200	60242	6024
60252	2	0	18025#3|6000110#10000	6000110#11000	16#200	60252	6025
60262	2	0	18026#3|6000110#10000	6000110#11000	16#200	60262	6026
60272	2	0	18027#3|6000110#10000	6000110#11000	16#200	60272	6027
60282	2	0	18028#3|6000110#10000	6000110#11000	16#200	60282	6028
60292	2	0	18029#3|6000110#10000	6000110#11000	16#200	60292	6029
60302	2	0	18030#3|6000110#10000	6000110#11000	16#200	60302	6030
60312	2	0	18031#3|6000110#10000	6000110#11000	16#200	60312	6031
60322	2	0	18032#3|6000110#10000	6000110#11000	16#200	60322	6032
60332	2	0	18033#3|6000110#10000	6000110#11000	16#200	60332	6033
60342	2	0	18034#3|6000110#10000	6000110#11000	16#200	60342	6034
60352	2	0	18035#3|6000110#10000	6000110#11000	16#200	60352	6035
60362	2	0	18036#3|6000110#10000	6000110#11000	16#200	60362	6036
60372	2	0	18037#3|6000110#10000	6000110#11000	16#200	60372	6037
60382	2	0	18038#3|6000110#10000	6000110#11000	16#200	60382	6038
60392	2	0	18039#3|6000110#10000	6000110#11000	16#200	60392	6039
60402	2	0	18040#3|6000110#10000	6000110#11000	16#200	60402	6040
60412	2	0	18041#3|6000110#10000	6000110#11000	16#200	60412	6041
60422	2	0	18042#3|6000110#10000	6000110#11000	16#200	60422	6042
60432	2	0	18043#3|6000110#10000	6000110#11000	16#200	60432	6043
60013	3	11	18001#5|6000110#20000	6000110#20000	16#300	60013	6001
60023	3	11	18002#5|6000110#20000	6000110#20000	16#300	60023	6002
60033	3	11	18003#5|6000110#20000	6000110#20000	16#300	60033	6003
60043	3	11	18004#5|6000110#20000	6000110#20000	16#300	60043	6004
60053	3	11	18005#5|6000110#20000	6000110#20000	16#300	60053	6005
60063	3	11	18006#5|6000110#20000	6000110#20000	16#300	60063	6006
60073	3	11	18007#5|6000110#20000	6000110#20000	16#300	60073	6007
60083	3	11	18008#5|6000110#20000	6000110#20000	16#300	60083	6008
60093	3	11	18009#5|6000110#20000	6000110#20000	16#300	60093	6009
60103	3	11	18010#5|6000110#20000	6000110#20000	16#300	60103	6010
60113	3	11	18011#5|6000110#20000	6000110#20000	16#300	60113	6011
60123	3	11	18012#5|6000110#20000	6000110#20000	16#300	60123	6012
60133	3	11	18013#5|6000110#20000	6000110#20000	16#300	60133	6013
60143	3	11	18014#5|6000110#20000	6000110#20000	16#300	60143	6014
60153	3	11	18015#5|6000110#20000	6000110#20000	16#300	60153	6015
60163	3	11	18016#5|6000110#20000	6000110#20000	16#300	60163	6016
60173	3	11	18017#5|6000110#20000	6000110#20000	16#300	60173	6017
60183	3	11	18018#5|6000110#20000	6000110#20000	16#300	60183	6018
