Id	ActivityId	Integral	Reward	TreasureReward
int	mut,int#int,1	int	mut,int#int,2	mut,int#int,2
1	1	0	81117#1	81120#1|16#600
2	1	40	29#50	29#200|16#100
3	1	80	29#50	29#200|16#100
4	1	120	29#50	29#200|16#100
5	1	160	29#50	29#200|16#100
6	1	200	81117#2	81120#1|16#600
7	1	240	29#100	29#400|16#100
8	1	280	29#100	29#400|16#100
9	1	320	29#100	29#400|16#100
10	1	360	29#100	29#400|16#100
11	1	400	81117#3	81125#1|16#600
12	1	440	29#150	29#600|16#100
13	1	480	29#150	29#600|16#100
14	1	520	29#150	29#600|16#100
15	1	560	29#150	29#600|16#100
16	1	600	81117#4	81120#1|16#600
17	1	640	29#200	29#800|16#100
18	1	680	29#200	29#800|16#100
19	1	720	29#200	29#800|16#100
20	1	760	29#200	29#800|16#100
21	1	800	81117#5	81125#1|16#600
22	1	840	29#250	29#1000|16#100
23	1	880	29#250	29#1000|16#100
24	1	920	29#250	29#1000|16#100
25	1	960	29#250	29#1000|16#100
26	1	1000	81117#6	81120#1|16#600
27	1	1040	29#300	29#1200|16#100
28	1	1080	29#300	29#1200|16#100
29	1	1120	29#300	29#1200|16#100
30	1	1160	29#300	29#1200|16#100
31	1	1200	81125#1	81126#1|16#600
